Country_num,ISO,Country,Irrigated_Crops,Year,Month,Area,Crop_Area
C004,AFG,Afghanistan,Grapes,2011,01,61,3.217299578
C004,AFG,Afghanistan,Sunflower,2011,01,10,0
C004,AFG,Afghanistan,Wheat,2011,01,1303,68.72362869
C004,AFG,Afghanistan,Rice,2011,01,208,0
C004,AFG,Afghanistan,Barley,2011,01,116,6.11814346
C004,AFG,Afghanistan,Vegetables,2011,01,69,0
C004,AFG,Afghanistan,Fruits,2011,01,137,7.225738397
C004,AFG,Afghanistan,Maize,2011,01,183,0
C004,AFG,Afghanistan,Pulses,2011,01,27,0
C004,AFG,Afghanistan,Sugar beets,2011,01,2,0
C004,AFG,Afghanistan,Sesame,2011,01,10,0
C004,AFG,Afghanistan,Potatoes,2011,01,15,0.791139241
C004,AFG,Afghanistan,Sugarcane,2011,01,2,0.105485232
C004,AFG,Afghanistan,AEItot,2011,01,3208.48,3208.48
C004,AFG,Afghanistan,AEIfull,2011,01,3208.48,3208.48
C004,AFG,Afghanistan,Actually_Irrigated,2011,01,59.09340248,59.09340248
C004,AFG,Afghanistan,Cotton,2011,01,33,0
C004,AFG,Afghanistan,AHIfull,2011,01,2176,0
C004,AFG,Afghanistan,Cropping_Intensity,2011,01,114.7679325,114.7679325
C004,AFG,Afghanistan,AAIfull,2011,01,1896,86.1814346
C004,AFG,Afghanistan,Actually_Irrigated,2011,02,59.09340248,59.09340248
C004,AFG,Afghanistan,AEItot,2011,02,3208.48,3208.48
C004,AFG,Afghanistan,AEIfull,2011,02,3208.48,3208.48
C004,AFG,Afghanistan,Wheat,2011,02,1303,68.72362869
C004,AFG,Afghanistan,Cropping_Intensity,2011,02,114.7679325,114.7679325
C004,AFG,Afghanistan,Maize,2011,02,183,0
C004,AFG,Afghanistan,Vegetables,2011,02,69,0
C004,AFG,Afghanistan,Barley,2011,02,116,6.11814346
C004,AFG,Afghanistan,Rice,2011,02,208,0
C004,AFG,Afghanistan,AAIfull,2011,02,1896,86.1814346
C004,AFG,Afghanistan,Fruits,2011,02,137,7.225738397
C004,AFG,Afghanistan,AHIfull,2011,02,2176,0
C004,AFG,Afghanistan,Cotton,2011,02,33,0
C004,AFG,Afghanistan,Sugarcane,2011,02,2,0.105485232
C004,AFG,Afghanistan,Pulses,2011,02,27,0
C004,AFG,Afghanistan,Sugar beets,2011,02,2,0
C004,AFG,Afghanistan,Grapes,2011,02,61,3.217299578
C004,AFG,Afghanistan,Potatoes,2011,02,15,0.791139241
C004,AFG,Afghanistan,Sesame,2011,02,10,0
C004,AFG,Afghanistan,Sunflower,2011,02,10,0
C004,AFG,Afghanistan,Vegetables,2011,03,69,0
C004,AFG,Afghanistan,Maize,2011,03,183,0
C004,AFG,Afghanistan,Wheat,2011,03,1303,68.72362869
C004,AFG,Afghanistan,Rice,2011,03,208,0
C004,AFG,Afghanistan,Barley,2011,03,116,6.11814346
C004,AFG,Afghanistan,Actually_Irrigated,2011,03,59.09340248,59.09340248
C004,AFG,Afghanistan,AEItot,2011,03,3208.48,3208.48
C004,AFG,Afghanistan,Fruits,2011,03,137,7.225738397
C004,AFG,Afghanistan,Sunflower,2011,03,10,0
C004,AFG,Afghanistan,Potatoes,2011,03,15,0.791139241
C004,AFG,Afghanistan,Pulses,2011,03,27,0
