iso_o_num,iso_d_num,contig,dist,distcap
C826,C533,0,7541.243,7541.243
C690,C533,0,13989.59,13989.59
C670,C533,0,964.7043,964.7043
C092,C533,0,881.2882,881.2882
C807,C533,0,9214.088,9214.088
C654,C533,0,7763.898,7763.898
C356,C533,0,14258.17,14258.17
C222,C533,0,2070.009,2070.009
C108,C533,0,11120.47,11120.47
C233,C533,0,9088.512,9088.512
,C533,0,9082.858,9082.858
C724,C533,0,7121.524,7121.524
C162,C533,0,19519.52,19519.52
C076,C533,0,4759.608,3988.915
C196,C533,0,10403.22,10403.22
C392,C533,0,13815.84,13815.84
C178,C533,0,9613.901,9613.901
C324,C533,0,5940.813,5940.813
C788,C533,0,8328.585,8328.585
C084,C533,0,2076.216,2076.216
C530,C533,0,136.3848,136.3848
C662,C533,0,1000.846,1000.846
C764,C533,0,16930.21,16930.21
C496,C533,0,13299.1,13299.1
C504,C533,0,6782.739,6782.739
C512,C533,0,13155.52,13155.52
C254,C533,0,2128.791,2128.791
C060,C533,0,2263.787,2263.787
C705,C533,0,8601.009,8601.009
C578,C533,0,8301.125,8301.125
C166,C533,0,18614.29,18614.29
C780,C533,0,959.7569,959.7569
C446,C533,0,16137.89,16137.89
C044,C533,0,1588.515,1588.515
C266,C533,0,8868.927,8868.927
C140,C533,0,9771.96,9771.96
C360,C533,0,19240.39,19240.39
C304,C533,0,5921.006,5921.006
,C533,0,9622.77,9622.77
C702,C533,0,18355.38,18355.38
C440,C533,0,9223.909,9223.909
C800,C533,0,11386.03,11386.03
C580,C533,0,15020.25,15020.25
C036,C533,0,15237.5,15354.32
C052,C533,0,1139.24,1139.24
C056,C533,0,7847.07,7847.07
C574,C533,0,13783.12,13783.12
C132,C533,0,5036.386,5036.386
C116,C533,0,17292,17292
C152,C533,0,5125.68,5125.68
,C533,0,10625.24,10625.24
C612,C533,0,7735.013,7735.013
C716,C533,0,11603.47,11603.47
C686,C533,0,5688.13,5688.13
C344,C533,0,16131.13,16131.13
C860,C533,0,12732.29,12732.29
C666,C533,0,4015.755,4015.755
C643,C533,0,9942.475,9942.475
C104,C533,0,16436.57,16436.57
C474,C533,0,1001.726,1001.726
C348,C533,0,8927.636,8927.636
C380,C533,0,8480.133,8480.133
C674,C533,0,8461.912,8461.912
C624,C533,0,5912.736,5912.736
C262,C533,0,12186.87,12186.87
C352,C533,0,6827.22,6827.22
C414,C533,0,11922.28,11922.28
C144,C533,0,16067.56,16067.56
C090,C533,0,14562.64,14562.64
C340,C533,0,1863.05,1863.05
C170,C533,0,1036.634,1036.634
C388,C533,0,938.3511,938.3511
C660,C533,0,983.2682,983.2682
C258,C533,0,9348.107,9348.107
C760,C533,0,10720.53,10720.53
C296,C533,0,12879.52,12879.52
C706,C533,0,12721.27,12721.27
C616,C533,0,8990.023,8990.023
C554,C533,0,12981.52,12981.52
C600,C533,0,4418.076,4418.076
,C533,0,9528.119,9528.119
C292,C533,0,6937.016,6937.016
C591,C533,0,1102.975,1102.975
C540,C533,0,13964.53,13964.53
C408,C533,0,14063.87,14063.87
C462,C533,0,15595.96,15595.96
C024,C533,0,9516.913,9516.913
C384,C533,0,7293.883,7124.627
C762,C533,0,12917.73,12917.73
C032,C533,0,5396.22,5396.22
C694,C533,0,6222.756,6222.756
C158,C533,0,15659.13,15659.13
C558,C533,0,1761.929,1761.929
C070,C533,0,8936.664,8936.664
C300,C533,0,9491.157,9491.157
C072,C533,0,11196.28,11196.28
C012,C533,0,7686.407,7686.407
C188,C533,0,1550.772,1550.772
C226,C533,0,8721.603,8721.603
C434,C533,0,8638.483,8638.483
C480,C533,0,14395.81,14395.81
C840,C533,0,3161.668,3007.269
C604,C533,0,2848.861,2848.861
C328,C533,0,1458.406,1458.406
C404,C533,0,11887.17,11887.17
C120,C533,0,9014.291,9014.291
C418,C533,0,16543.05,16543.05
C798,C533,0,12456.92,12456.92
C804,C533,0,9678.449,9678.449
C776,C533,0,12067.62,12067.62
C238,C533,0,7248.144,7248.144
C876,C533,0,12049.83,12049.83
C050,C533,0,15473.46,15473.46
C638,C533,0,14183.83,14183.83
C862,C533,0,408.8065,408.8065
C428,C533,0,9100.948,9100.948
C585,C533,0,16527.85,16527.85
C422,C533,0,10635.64,10635.64
C768,C533,0,7858.3,7858.3
C710,C533,0,10662.36,11441.71
C548,C533,0,13756.36,13756.36
C064,C533,0,15070.87,15070.87
C732,C533,0,6124.013,6124.013
C372,C533,0,7174.017,7174.017
C028,C533,0,1024.995,1024.995
C450,C533,0,13342.62,13342.62
C458,C533,0,18066.89,18066.89
C400,C533,0,10744.01,10744.01
C772,C533,0,11515.18,11515.18
C250,C533,0,7685.884,7685.884
C882,C533,0,13348.89,13348.89
C004,C533,0,13257.81,13257.81
C231,C533,0,11817.33,11817.33
C498,C533,0,9662.548,9662.548
,C533,0,18262.52,18262.52
C454,C533,0,11828.46,11828.46
C020,C533,0,7572.788,7572.788
