cnum,iso3,area,dis_int,lat,lon,landlocked
533,ABW,193,5.225315,12.55,-70.1,0
4,AFG,652225,303.7614,34.51667,69.2,1
24,AGO,1246700,419.9666,-8.833333,13.25,0
660,AIA,102,3.79869,18.21667,-63.06667,0
8,ALB,28748,63.77311,41.33333,19.81667,0
20,AND,453,8.005398,42.5,1.5,0
530,ANT,960,11.65385,12.1,-68.93333,0
784,ARE,83657,108.789,24.46667,54.41667,0
32,ARG,2766889,625.6475,-34.66667,-58.5,0
51,ARM,29800,64.92948,40.18333,44.5,1
260,ATF,7829,33.28028,-66.66666,-140,0
28,ATG,442,7.907605,17.13333,-61.83333,0
36,AUS,7686848,1042.817,-33.88334,151.1667,0
36,AUS,7686848,1042.817,-35.3,149.133,0
40,AUT,83858,108.9196,48.21667,16.36667,1
31,AZE,86600,110.686,40.36666,49.88334,1
108,BDI,27834,62.75114,-3.366667,29.31667,1
58,BEL,33114,68.44467,50.83333,4.35,0
204,BEN,112622,126.225,6.4,2.517,0
204,BEN,112622,126.225,6.5,2.783333,0
854,BFA,274200,196.9552,12.33333,-1.666667,1
50,BGD,143998,142.7289,23.7,90.36667,0
100,BGR,110994,125.3094,42.66667,23.3,0
48,BHR,678,9.793742,26.2,50.63334,0
44,BHS,13939,44.40681,25.08333,-77.33334,0
70,BIH,51233,85.13511,43.86666,18.43333,0
112,BLR,207595,171.3729,53.85,27.5,0
84,BLZ,22963,56.99649,17.21667,-88.8,0
60,BMU,53,2.738241,32.3,-64.8,0
68,BOL,1098581,394.2302,-16.5,-68.16666,1
68,BOL,1098581,394.2302,-19.083,-65.25,1
76,BRA,8511920,1097.356,-23.53,-46.63,0
76,BRA,8511920,1097.356,-15.78,-47.91,0
52,BRB,431,7.808587,13.1,-59.61666,0
96,BRN,5765,28.55837,4.933333,114.9667,0
64,BTN,46620,81.21195,27.53333,89.75,1
72,BWA,600372,291.4366,-24.75,25.91667,1
140,CAF,622984,296.8741,4.383333,18.61667,1
124,CAN,9976139,1187.996,43.65,-79.38,0
124,CAN,9976139,1187.996,45.42,-75.71,0
166,CCK,14,1.407336,-12.5,96.83334,0
757,CHE,41288,76.42681,46.95,7.433333,1
152,CHL,756945,327.2397,-33.5,-70.66666,0
156,CHN,9572378,1163.707,39.91667,116.4333,0
384,CIV,322463,213.5865,6.82,-5.28,0
384,CIV,322463,213.5865,5.316667,-4.016667,0
120,CMR,475442,259.3478,3.85,11.51667,0
178,COG,342000,219.9616,-4.233333,15.23333,0
184,COK,240,5.826925,-21.2,-159.7667,0
170,COL,1141748,401.9008,4.633333,-75.06667,0
174,COM,1862,16.23019,-11.66667,43.26667,0
132,CPV,4033,23.88625,14.91667,-23.5,0
188,CRI,51076,85.00456,9.983334,-84.06667,0
192,CUB,110861,125.2343,23.11667,-82.41666,0
162,CXR,135,4.370194,-10.41667,105.7167,0
136,CYM,262,6.088138,19.3,-81.38333,0
196,CYP,9251,36.17663,35.15,33.35,0
203,CZE,78864,105.6266,50.1,14.43333,1
276,DEU,357325,224.8358,52.533,13.417,0
276,DEU,357325,224.8358,51.467,6.983,0
262,DJI,23200,57.28986,11.6,43.15,0
212,DMA,751,10.30751,15.3,-61.38334,0
208,DNK,43094,78.08043,55.66667,12.58333,0
214,DOM,48734,83.03283,18.5,-69.78333,0
12,DZA,2381741,580.4717,36.83333,3,0
218,ECU,275716,197.4989,-0.2333333,-78.5,0
818,EGY,1001449,376.3988,30.05,31.25,0
232,ERI,121320,131.0087,15.33333,38.88334,0
732,ESH,266000,193.9879,27.16667,-13.18333,0
724,ESP,505954,267.5404,40.41667,-3.716667,0
233,EST,45227,79.98945,59.41667,24.75,0
231,ETH,1127127,399.3192,9.05,38.83333,1
246,FIN,336593,218.2159,60.13334,25,0
242,FJI,18333,50.92729,-18.13333,178.4167,0
238,FLK,12173,41.49852,-51.7,-57.85,0
251,FRA,547026,278.1876,48.86666,2.333333,0
234,FRO,1399,14.06833,62.01667,-6.766667,0
583,FSM,707,10.001,6.916667,158.25,0
266,GAB,267667,194.5948,0.3833333,9.416667,0
826,GBR,244110,185.8346,51.5,-0.1666667,0
268,GEO,69700,99.30022,41.71667,44.81667,0
288,GHA,238538,183.7014,5.55,-0.25,0
292,GIB,7,0.9951369,36.13334,-5.35,0
324,GIN,245857,186.4984,9.516666,-15.71667,0
312,GLP,1780,15.86879,16,-61.73333,0
270,GMB,11295,39.97394,13.46667,-16.65,0
624,GNB,36125,71.48875,11.86667,-15.65,0
226,GNQ,28051,62.99527,3.75,8.8,0
300,GRC,131621,136.4572,38,23.73333,0
308,GRD,345,6.986238,12.06667,-61.73333,0
304,GRL,2166086,553.5688,64.18333,-51.73333,0
320,GTM,108889,124.1154,14.63333,-90.51667,0
254,GUF,91000,113.4631,4.933333,-52.33333,0
328,GUY,214970,174.3905,6.766667,-58.16667,0
344,HKG,1092,12.42926,22.26667,114.15,0
340,HND,112088,125.9254,14.08333,-87.23333,0
191,HRV,56538,89.43428,45.8,15.96667,0
332,HTI,27750,62.65638,18.55,-72.33334,0
348,HUN,93032,114.7229,47.5,19.05,1
360,IDN,1933658,523.0264,-6.133333,106.75,0
699,IND,3287590,681.9816,28.61667,77.21667,0
372,IRL,70285,99.71606,53.33333,-6.25,0
364,IRN,1648100,482.8648,35.66667,51.43333,0
368,IRQ,437072,248.6625,33.33333,44.43333,0
352,ISL,102819,120.6064,64.15,-21.96667,0
376,ISR,21621,55.30593,32.08333,34.76667,0
381,ITA,301323,206.4667,41.88334,12.5,0
388,JAM,10991,39.43233,17.96667,-76.8,0
400,JOR,91862,113.9992,31.95,35.93333,0
392,JPN,377801,231.188,35.66667,139.75,0
398,KAZ,2717300,620.0156,51.17,71.47,1
398,KAZ,2717300,620.0156,43.25,76.95,1
404,KEN,582646,287.102,-1.283333,36.83333,0
417,KGZ,198500,167.5769,42.9,74.6,1
116,KHM,181035,160.035,11.58333,104.9167,0
296,KIR,717,10.07148,1.383333,173.15,0
659,KNA,269,6.168931,17.28333,-62.71667,0
410,KOR,99484,118.6343,37.5,127,0
414,KWT,17818,50.20689,29.33333,48,0
418,LAO,236800,183.031,17.98333,102.6333,1
422,LBN,10452,38.45329,33.86666,35.5,0
430,LBR,111369,125.5209,6.333333,-10.76667,0
434,LBY,1759540,498.9228,32.73333,13.11667,0
662,LCA,617,9.342786,14.01667,-60.98333,0
144,LKA,65610,96.3427,6.916667,79.86667,0
426,LSO,30355,65.53132,-29.31667,27.48333,1
440,LTU,65300,96.11483,54.68333,25.31667,0
442,LUX,2586,19.12705,49.6,6.15,1
428,LVA,64589,95.59013,56.95,24.1,0
446,MAC,25,1.880632,22.27,113.56,0
504,MAR,710850,317.1194,34.03333,-6.85,0
498,MDA,33700,69.04763,47,28.83333,0
