Country_iso,Country_num,Hemisphere,Hemisphere_Code
AND,C020,northern,1
ARE,C784,northern,1
AFG,C004,northern,1
ATG,C028,northern,1
AIA,C660,northern,1
ALB,C008,northern,1
ARM,C051,northern,1
AGO,C024,southern,0
ATA,C010,southern,0
ARG,C032,southern,0
ASM,C016,southern,0
AUT,C040,northern,1
AUS,C036,southern,0
ABW,C533,northern,1
ALA,C248,northern,1
AZE,C031,northern,1
BIH,C070,northern,1
BRB,C052,northern,1
BGD,C050,northern,1
BEL,C056,northern,1
BFA,C854,northern,1
BGR,C100,northern,1
BHR,C048,northern,1
BDI,C108,southern,0
BEN,C204,northern,1
BLM,C652,northern,1
BMU,C060,northern,1
BRN,C096,northern,1
BOL,C068,southern,0
BRA,C076,southern,0
BHS,C044,northern,1
BTN,C064,northern,1
BVT,C074,southern,0
BWA,C072,southern,0
BLR,C112,northern,1
BLZ,C084,northern,1
CAN,C124,northern,1
CCK,C166,southern,0
COD,C180,southern,0
CAF,C140,northern,1
COG,C178,southern,0
CHE,C756,northern,1
CIV,C384,northern,1
COK,C184,southern,0
CHL,C152,southern,0
CMR,C120,northern,1
CHN,C156,northern,1
COL,C170,northern,1
CRI,C188,northern,1
CUB,C192,northern,1
CPV,C132,northern,1
CXR,C162,southern,0
CYP,C196,northern,1
CZE,C203,northern,1
DEU,C276,northern,1
DJI,C262,northern,1
DNK,C208,northern,1
DMA,C212,northern,1
DOM,C214,northern,1
DZA,C012,northern,1
ECU,C218,southern,0
EST,C233,northern,1
EGY,C818,northern,1
ESH,C732,northern,1
ERI,C232,northern,1
ESP,C724,northern,1
ETH,C231,northern,1
FIN,C246,northern,1
FJI,C242,southern,0
FLK,C238,southern,0
FSM,C583,northern,1
FRO,C234,northern,1
FRA,C250,northern,1
GAB,C266,southern,0
GBR,C826,northern,1
GRD,C308,northern,1
GEO,C268,northern,1
GUF,C254,northern,1
GGY,C831,northern,1
GHA,C288,northern,1
GIB,C292,northern,1
GRL,C304,northern,1
GMB,C270,northern,1
GIN,C324,southern,0
GLP,C312,northern,1
GNQ,C226,northern,1
GRC,C300,northern,1
SGS,C239,southern,0
GTM,C320,northern,1
GUM,C316,northern,1
GNB,C624,northern,1
GUY,C328,northern,1
HKG,C344,northern,1
HMD,C334,southern,0
HND,C340,northern,1
HRV,C191,northern,1
HTI,C332,northern,1
HUN,C348,northern,1
IDN,C360,southern,0
IRL,C372,northern,1
ISR,C376,northern,1
IMN,C833,northern,1
IND,C356,northern,1
IOT,C086,southern,0
IRQ,C368,northern,1
IRN,C364,northern,1
ISL,C352,northern,1
ITA,C380,northern,1
JEY,C832,northern,1
JAM,C388,northern,1
JOR,C400,northern,1
JPN,C392,northern,1
KEN,C404,northern,1
KGZ,C417,northern,1
KHM,C116,northern,1
KIR,C296,southern,0
COM,C174,southern,0
KNA,C659,northern,1
PRK,C408,northern,1
KOR,C410,northern,1
KWT,C414,northern,1
CYM,C136,northern,1
KAZ,C398,northern,1
LAO,C418,northern,1
LBN,C422,northern,1
LCA,C662,northern,1
LIE,C438,northern,1
LKA,C144,northern,1
LBR,C430,northern,1
LSO,C426,southern,0
LTU,C440,northern,1
LUX,C442,northern,1
LVA,C428,northern,1
LBY,C434,northern,1
MAR,C504,northern,1
MCO,C492,northern,1
MDA,C498,northern,1
MNE,C499,northern,1
MAF,C663,northern,1
MDG,C450,southern,0
MHL,C584,northern,1
MKD,C807,northern,1
MLI,C466,northern,1
MMR,C104,northern,1
MNG,C496,northern,1
MAC,C446,northern,1
MNP,C580,southern,0
MTQ,C474,northern,1
MRT,C478,northern,1
MSR,C500,northern,1
MLT,C470,northern,1
MUS,C480,southern,0
MDV,C462,northern,1
MWI,C454,southern,0
MEX,C484,northern,1
MYS,C458,northern,1
MOZ,C508,southern,0
NCL,C540,southern,0
NER,C562,northern,1
NFK,C574,southern,0
NGA,C566,northern,1
NIC,C558,northern,1
NLD,C528,northern,1
NOR,C578,northern,1
NPL,C524,northern,1
NRU,C520,southern,0
NIU,C570,southern,0
NZL,C554,southern,0
OMN,C512,northern,1
PAN,C591,northern,1
PER,C604,southern,0
PYF,C258,southern,0
PNG,C598,southern,0
PHL,C608,northern,1
PAK,C586,northern,1
POL,C616,northern,1
SPM,C666,northern,1
PCN,C612,southern,0
PRI,C630,northern,1
PSE,C275,northern,1
PRT,C620,northern,1
PLW,C585,northern,1
PRY,C600,southern,0
QAT,C634,northern,1
REU,C638,southern,0
ROU,C642,northern,1
SRB,C688,northern,1
RUS,C643,northern,1
RWA,C646,southern,0
SAU,C682,northern,1
SLB,C090,southern,0
SYC,C690,southern,0
SDN,C736,northern,1
SWE,C752,northern,1
SGP,C702,northern,1
SHN,C654,southern,0
SVN,C705,northern,1
SJM,C744,northern,1
SVK,C703,northern,1
SLE,C694,northern,1
SMR,C674,northern,1
SEN,C686,northern,1
SOM,C706,northern,1
SUR,C740,northern,1
STP,C678,northern,1
SLV,C222,northern,1
SYR,C760,northern,1
SWZ,C748,southern,0
TCA,C796,northern,1
TCD,C148,northern,1
ATF,C260,southern,0
TGO,C768,northern,1
THA,C764,northern,1
TJK,C762,northern,1
TKL,C772,southern,0
TLS,C626,southern,0
TKM,C795,northern,1
TUN,C788,northern,1
TON,C776,southern,0
TUR,C792,northern,1
TTO,C780,northern,1
TUV,C798,southern,0
TWN,C158,northern,1
TZA,C834,southern,0
UKR,C804,northern,1
UGA,C800,northern,1
UMI,C581,northern,1
USA,C840,northern,1
URY,C858,southern,0
UZB,C860,northern,1
VAT,C336,northern,1
VCT,C670,northern,1
VEN,C862,northern,1
VGB,C092,northern,1
VIR,C850,northern,1
VNM,C704,northern,1
VUT,C548,southern,0
WLF,C876,southern,0
WSM,C882,southern,0
YEM,C887,northern,1
MYT,C175,southern,0
ZAF,C710,southern,0
ZMB,C894,southern,0
ZWE,C716,southern,0
NAM,C516,southern,0
