ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
ALB,Albania,2006,Wheat,3.1,3.019382488,3.019382488,3.019382488,3.019382488,3.019382488,0,0,0,0,0,3.019382488,3.019382488
ALB,Albania,2006,Maize ,28.5,0,0,0,27.758839,27.758839,27.758839,27.758839,27.758839,0,0,0,0
ALB,Albania,2006,Other cereals,4.2,0,0,0,4.090776273,4.090776273,4.090776273,4.090776273,4.090776273,0,0,0,0
ALB,Albania,2006,Vegetables ,19.5,0,0,0,18.99288984,18.99288984,18.99288984,18.99288984,18.99288984,0,0,0,0
ALB,Albania,2006,Fruits,8.3,8.084153112,8.084153112,8.084153112,8.084153112,8.084153112,8.084153112,8.084153112,8.084153112,8.084153112,8.084153112,8.084153112,8.084153112
ALB,Albania,2006,Rapeseed,9,0,0,0,8.765949157,8.765949157,8.765949157,8.765949157,8.765949157,0,0,0,0
ALB,Albania,2006,Potatoes,2.9,0,0,0,2.824583617,2.824583617,2.824583617,2.824583617,2.824583617,0,0,0,0
ALB,Albania,2006,Pulses,13.1,0,0,0,12.759326,12.759326,12.759326,12.759326,12.759326,0,0,0,0
ALB,Albania,2006,Fodder temporary,14,13.63592091,13.63592091,13.63592091,13.63592091,0,0,0,0,0,0,13.63592091,13.63592091
ALB,Albania,2006,AHIfull,102.6,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,2006,AAIfull,102.67,24.73945651,24.73945651,24.73945651,99.9318204,86.29589948,83.276517,83.276517,83.276517,8.084153112,8.084153112,24.73945651,24.73945651
ALB,Albania,2006,Cropping_Intensity,99.9318204,99.9318204,99.9318204,99.9318204,99.9318204,99.9318204,99.9318204,99.9318204,99.9318204,99.9318204,99.9318204,99.9318204,99.9318204
ALB,Albania,2006,AEIfull,188.45,188.45,188.45,188.45,188.45,188.45,188.45,188.45,188.45,188.45,188.45,188.45,188.45
ALB,Albania,2006,Actually_Irrigated,54.48129477,54.48129477,54.48129477,54.48129477,54.48129477,54.48129477,54.48129477,54.48129477,54.48129477,54.48129477,54.48129477,54.48129477,54.48129477
ALB,Albania,2006,AEItot,340,340,340,340,340,340,340,340,340,340,340,340,340
