ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
ARG,Argentina,2008,Wheat,60,0,0,0,0,0,2.775079784,2.775079784,2.775079784,2.775079784,2.775079784,2.775079784,2.775079784
ARG,Argentina,2008,Rice,164,7.585218075,7.585218075,7.585218075,0,0,0,0,0,0,0,7.585218075,7.585218075
ARG,Argentina,2008,Maize,198,9.157763286,9.157763286,9.157763286,0,0,0,0,0,0,0,9.157763286,9.157763286
ARG,Argentina,2008,Sorghum,108,4.99514361,4.99514361,4.99514361,0,0,0,0,0,0,0,4.99514361,4.99514361
ARG,Argentina,2008,Vegetables ,312,14.43041487,14.43041487,14.43041487,0,0,0,0,0,0,0,14.43041487,14.43041487
ARG,Argentina,2008,Fruits,537,24.83696406,24.83696406,24.83696406,24.83696406,24.83696406,24.83696406,24.83696406,24.83696406,24.83696406,24.83696406,24.83696406,24.83696406
ARG,Argentina,2008,Citrus,22,1.017529254,1.017529254,1.017529254,1.017529254,1.017529254,1.017529254,1.017529254,1.017529254,1.017529254,1.017529254,1.017529254,1.017529254
ARG,Argentina,2008,Oil crops,9,0.416261968,0.416261968,0.416261968,0,0,0,0,0,0,0,0.416261968,0.416261968
ARG,Argentina,2008,Potatoes,29,1.341288562,1.341288562,1.341288562,0,0,0,0,0,0,0,1.341288562,1.341288562
ARG,Argentina,2008,Pulses,208,9.620276583,9.620276583,9.620276583,0,0,0,0,0,0,0,9.620276583,9.620276583
ARG,Argentina,2008,Sugarcane,246,11.37782711,11.37782711,11.37782711,11.37782711,11.37782711,11.37782711,11.37782711,11.37782711,11.37782711,11.37782711,11.37782711,11.37782711
ARG,Argentina,2008,Cotton,17,0.786272605,0.786272605,0.786272605,0.786272605,0,0,0,0,0,0.786272605,0.786272605,0.786272605
ARG,Argentina,2008,Tobacco,10,0.462513297,0.462513297,0.462513297,0,0,0,0,0,0,0,0.462513297,0.462513297
ARG,Argentina,2008,Fodder temporary,380,0,0,0,0,0,17.5755053,17.5755053,17.5755053,17.5755053,17.5755053,0,0
ARG,Argentina,2008,AHIfull,2300,0,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,2008,AAIfull,2162.1,86.02747329,86.02747329,86.02747329,38.01859303,37.23232043,57.58290551,57.58290551,57.58290551,57.58290551,58.36917811,88.80255307,88.80255307
ARG,Argentina,2008,Cropping_Intensity,106.3780584,106.3780584,106.3780584,106.3780584,106.3780584,106.3780584,106.3780584,106.3780584,106.3780584,106.3780584,106.3780584,106.3780584,106.3780584
ARG,Argentina,2008,AEIfull,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357
ARG,Argentina,2008,Actually_Irrigated,91.731014,91.731014,91.731014,91.731014,91.731014,91.731014,91.731014,91.731014,91.731014,91.731014,91.731014,91.731014,91.731014
ARG,Argentina,2008,AEItot,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357
