ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
ARM,Armenia,2006,Wheat winter,17.5,9.943181818,9.943181818,9.943181818,9.943181818,0,0,0,0,0,9.943181818,9.943181818,9.943181818
ARM,Armenia,2006,Wheat spring,17.5,0,0,0,0,9.943181818,9.943181818,9.943181818,9.943181818,9.943181818,0,0,0
ARM,Armenia,2006,Barley winter,2.95,1.676136364,1.676136364,1.676136364,1.676136364,0,0,0,0,0,0,1.676136364,1.676136364
ARM,Armenia,2006,Barley spring,2.95,0,0,0,0,1.676136364,1.676136364,1.676136364,1.676136364,1.676136364,0,0,0
ARM,Armenia,2006,Maize,3.1,0,0,0,0,1.761363636,1.761363636,1.761363636,1.761363636,1.761363636,0,0,0
ARM,Armenia,2006,Vegetables,23.2,0,0,0,0,13.18181818,13.18181818,13.18181818,13.18181818,13.18181818,0,0,0
ARM,Armenia,2006,Fruits,35.2,20,20,20,20,20,20,20,20,20,20,20,20
ARM,Armenia,2006,Vineyards,15.7,8.920454545,8.920454545,8.920454545,8.920454545,8.920454545,8.920454545,8.920454545,8.920454545,8.920454545,8.920454545,8.920454545,8.920454545
ARM,Armenia,2006,Rapeseed ,5.9,0,0,0,0,3.352272727,3.352272727,3.352272727,3.352272727,3.352272727,0,0,0
ARM,Armenia,2006,Potatoes ,24,0,0,0,0,13.63636364,13.63636364,13.63636364,13.63636364,13.63636364,0,0,0
ARM,Armenia,2006,Pulses,2,0,0,0,0,1.136363636,1.136363636,1.136363636,1.136363636,1.136363636,0,0,0
ARM,Armenia,2006,Fodder temporary,26,14.77272727,14.77272727,14.77272727,14.77272727,0,0,0,0,0,0,14.77272727,14.77272727
ARM,Armenia,2006,AHIfull,176,0,0,0,0,0,0,0,0,0,0,0,0
ARM,Armenia,2006,AAIfull,176,55.3125,55.3125,55.3125,55.3125,73.60795455,73.60795455,73.60795455,73.60795455,73.60795455,38.86363636,55.3125,55.3125
ARM,Armenia,2006,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
ARM,Armenia,2006,AEIfull,273.5,273.5,273.5,273.5,273.5,273.5,273.5,273.5,273.5,273.5,273.5,273.5,273.5
ARM,Armenia,2006,Actually_Irrigated,64.35100548,64.35100548,64.35100548,64.35100548,64.35100548,64.35100548,64.35100548,64.35100548,64.35100548,64.35100548,64.35100548,64.35100548,64.35100548
ARM,Armenia,2006,AEItot,273.5,273.5,273.5,273.5,273.5,273.5,273.5,273.5,273.5,273.5,273.5,273.5,273.5
