ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
AUT,Austria,2007,Maize ,7.4,0,0,0,17.03499079,17.03499079,17.03499079,17.03499079,17.03499079,0,0,0,0
AUT,Austria,2007,Other cereals,8.5,0,0,0,19.56721915,19.56721915,19.56721915,19.56721915,19.56721915,0,0,0,0
AUT,Austria,2007,Vegetables ,2.2,0,0,0,5.064456722,5.064456722,5.064456722,5.064456722,5.064456722,0,0,0,0
AUT,Austria,2007,Fruits,4.7,10.81952118,10.81952118,10.81952118,10.81952118,10.81952118,10.81952118,10.81952118,10.81952118,10.81952118,10.81952118,10.81952118,10.81952118
AUT,Austria,2007,Oil crops,4.2,0,0,0,9.668508287,9.668508287,9.668508287,9.668508287,9.668508287,0,0,0,0
AUT,Austria,2007,Potatoes,3.2,0,0,0,7.366482505,7.366482505,7.366482505,7.366482505,7.366482505,0,0,0,0
AUT,Austria,2007,Pulses,6.5,0,0,0,14.96316759,14.96316759,14.96316759,14.96316759,14.96316759,0,0,0,0
AUT,Austria,2007,Sugar beet,6.7,0,0,15.42357274,15.42357274,15.42357274,15.42357274,15.42357274,15.42357274,0,0,0,0
AUT,Austria,2007,AHIfull,43.4,0,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,2007,AAIfull,43.44,10.81952118,10.81952118,26.24309392,99.90791897,99.90791897,99.90791897,99.90791897,99.90791897,10.81952118,10.81952118,10.81952118,10.81952118
AUT,Austria,2007,Cropping_Intensity,99.90791897,99.90791897,99.90791897,99.90791897,99.90791897,99.90791897,99.90791897,99.90791897,99.90791897,99.90791897,99.90791897,99.90791897,99.90791897
AUT,Austria,2007,AEIfull,116.07,116.07,116.07,116.07,116.07,116.07,116.07,116.07,116.07,116.07,116.07,116.07,116.07
AUT,Austria,2007,Actually_Irrigated,37.42569139,37.42569139,37.42569139,37.42569139,37.42569139,37.42569139,37.42569139,37.42569139,37.42569139,37.42569139,37.42569139,37.42569139,37.42569139
AUT,Austria,2007,AEItot,116.07,116.07,116.07,116.07,116.07,116.07,116.07,116.07,116.07,116.07,116.07,116.07,116.07
