ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
BDI,Burundi,2000,Rice one,2.1,0,47.08520179,47.08520179,47.08520179,47.08520179,47.08520179,0,0,0,0,0,0
BDI,Burundi,2000,Rice two,2.1,47.08520179,0,0,0,0,0,0,0,47.08520179,47.08520179,47.08520179,47.08520179
BDI,Burundi,2000,Vegetables one,0.4,0,8.968609865,8.968609865,8.968609865,8.968609865,8.968609865,0,0,0,0,0,0
BDI,Burundi,2000,Vegetables two,0.4,8.968609865,0,0,0,0,0,0,0,8.968609865,8.968609865,8.968609865,8.968609865
BDI,Burundi,2000,Coffee ,0.5,11.21076233,11.21076233,11.21076233,11.21076233,11.21076233,11.21076233,11.21076233,11.21076233,11.21076233,11.21076233,11.21076233,11.21076233
BDI,Burundi,2000,Sugarcane ,1.45,32.51121076,32.51121076,32.51121076,32.51121076,32.51121076,32.51121076,32.51121076,32.51121076,32.51121076,32.51121076,32.51121076,32.51121076
BDI,Burundi,2000,AHIfull,6.95,0,0,0,0,0,0,0,0,0,0,0,0
BDI,Burundi,2000,AAIfull,4.46,99.77578475,99.77578475,99.77578475,99.77578475,99.77578475,99.77578475,43.72197309,43.72197309,99.77578475,99.77578475,99.77578475,99.77578475
BDI,Burundi,2000,Cropping_Intensity,155.8295964,155.8295964,155.8295964,155.8295964,155.8295964,155.8295964,155.8295964,155.8295964,155.8295964,155.8295964,155.8295964,155.8295964,155.8295964
BDI,Burundi,2000,AEIfull,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96
BDI,Burundi,2000,Actually_Irrigated,64.08045977,64.08045977,64.08045977,64.08045977,64.08045977,64.08045977,64.08045977,64.08045977,64.08045977,64.08045977,64.08045977,64.08045977,64.08045977
BDI,Burundi,2000,AEItot,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43
