ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
BFA,Burkina Faso,2011,Rice one ,4.431,17.53462604,17.53462604,17.53462604,0,0,0,0,0,0,0,17.53462604,17.53462604
BFA,Burkina Faso,2011,Rice two,10.569,0,0,0,0,0,41.82429759,41.82429759,41.82429759,41.82429759,41.82429759,0,0
BFA,Burkina Faso,2011,Maize,2.739,10.83893945,10.83893945,10.83893945,0,0,0,0,0,0,0,10.83893945,10.83893945
BFA,Burkina Faso,2011,Fruits,2.29,9.062129007,9.062129007,9.062129007,0,0,0,0,0,0,0,9.062129007,9.062129007
BFA,Burkina Faso,2011,Vegetables one,5,0,0,0,0,0,0,0,0,0,19.78630787,19.78630787,19.78630787
BFA,Burkina Faso,2011,Vegetables two,5,19.78630787,19.78630787,19.78630787,0,0,0,0,0,0,0,0,0
BFA,Burkina Faso,2011,Sugarcane,3.9,15.43332014,15.43332014,15.43332014,15.43332014,15.43332014,15.43332014,15.43332014,15.43332014,15.43332014,15.43332014,15.43332014,15.43332014
BFA,Burkina Faso,2011,Roots,3.724,14.73684211,14.73684211,14.73684211,0,0,0,0,0,0,0,14.73684211,14.73684211
BFA,Burkina Faso,2011,AHIfull,37.653,0,0,0,0,0,0,0,0,0,0,0,0
BFA,Burkina Faso,2011,AAIfull,25.27,87.39216462,87.39216462,87.39216462,15.43332014,15.43332014,57.25761773,57.25761773,57.25761773,57.25761773,77.0439256,87.39216462,87.39216462
BFA,Burkina Faso,2011,Cropping_Intensity,149.0027701,149.0027701,149.0027701,149.0027701,149.0027701,149.0027701,149.0027701,149.0027701,149.0027701,149.0027701,149.0027701,149.0027701,149.0027701
BFA,Burkina Faso,2011,AEIfull,29.73,29.73,29.73,29.73,29.73,29.73,29.73,29.73,29.73,29.73,29.73,29.73,29.73
BFA,Burkina Faso,2011,Actually_Irrigated,84.9983182,84.9983182,84.9983182,84.9983182,84.9983182,84.9983182,84.9983182,84.9983182,84.9983182,84.9983182,84.9983182,84.9983182,84.9983182
BFA,Burkina Faso,2011,AEItot,54.275,54.275,54.275,54.275,54.275,54.275,54.275,54.275,54.275,54.275,54.275,54.275,54.275
