ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
BGR,Bulgaria,2007,Maize ,17,0,0,0,23.4030837,23.4030837,23.4030837,23.4030837,23.4030837,0,0,0,0
BGR,Bulgaria,2007,Rice,4.2,0,0,0,5.781938326,5.781938326,5.781938326,5.781938326,5.781938326,0,0,0,0
BGR,Bulgaria,2007,Vegetables ,20.2,0,0,0,27.80837004,27.80837004,27.80837004,27.80837004,27.80837004,0,0,0,0
BGR,Bulgaria,2007,Fruits,5,6.883259912,6.883259912,6.883259912,6.883259912,6.883259912,6.883259912,6.883259912,6.883259912,6.883259912,6.883259912,6.883259912,6.883259912
BGR,Bulgaria,2007,Rapeseed,2.2,0,0,0,3.028634361,3.028634361,3.028634361,3.028634361,3.028634361,0,0,0,0
BGR,Bulgaria,2007,Sunflower,4.9,0,0,0,6.745594714,6.745594714,6.745594714,6.745594714,6.745594714,0,0,0,0
BGR,Bulgaria,2007,Potatoes,3.7,0,0,0,5.093612335,5.093612335,5.093612335,5.093612335,5.093612335,0,0,0,0
BGR,Bulgaria,2007,Pulses,4.3,0,0,0,5.919603524,5.919603524,5.919603524,5.919603524,5.919603524,0,0,0,0
BGR,Bulgaria,2007,Fodder temporary,2.74,0,0,0,3.772026432,3.772026432,3.772026432,3.772026432,3.772026432,0,0,0,0
BGR,Bulgaria,2007,Cotton,1.4,0,0,0,1.927312775,1.927312775,1.927312775,1.927312775,1.927312775,1.927312775,1.927312775,0,0
BGR,Bulgaria,2007,Tobacco,7,0,0,0,9.636563877,9.636563877,9.636563877,9.636563877,9.636563877,0,0,0,0
BGR,Bulgaria,2007,AHIfull,72.64,0,0,0,0,0,0,0,0,0,0,0,0
BGR,Bulgaria,2007,AAIfull,72.64,6.883259912,6.883259912,6.883259912,100,100,100,100,100,8.810572687,8.810572687,6.883259912,6.883259912
BGR,Bulgaria,2007,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
BGR,Bulgaria,2007,AEIfull,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6
BGR,Bulgaria,2007,Actually_Irrigated,69.44550669,69.44550669,69.44550669,69.44550669,69.44550669,69.44550669,69.44550669,69.44550669,69.44550669,69.44550669,69.44550669,69.44550669,69.44550669
BGR,Bulgaria,2007,AEItot,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6
