ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
BLZ,Belize,2005,Rice ,1.338,0,0,0,37.7113867,37.7113867,37.7113867,37.7113867,37.7113867,0,0,0,0
BLZ,Belize,2005,Vegetables,0.074,2.085682074,2.085682074,2.085682074,0,0,0,0,0,0,0,2.085682074,2.085682074
BLZ,Belize,2005,Fruits,1.936,54.56595265,54.56595265,54.56595265,54.56595265,54.56595265,54.56595265,54.56595265,54.56595265,54.56595265,54.56595265,54.56595265,54.56595265
BLZ,Belize,2005,Sugarcane,0.2,5.636978579,5.636978579,5.636978579,5.636978579,5.636978579,5.636978579,5.636978579,5.636978579,5.636978579,5.636978579,5.636978579,5.636978579
BLZ,Belize,2005,AHIfull,3.548,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,Belize,2005,AAIfull,3.548,62.2886133,62.2886133,62.2886133,97.91431793,97.91431793,97.91431793,97.91431793,97.91431793,60.20293123,60.20293123,62.2886133,62.2886133
BLZ,Belize,2005,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
BLZ,Belize,2005,AEIfull,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548
BLZ,Belize,2005,Actually_Irrigated,100,100,100,100,100,100,100,100,100,100,100,100,100
BLZ,Belize,2005,AEItot,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548
