ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
CAN,Canada,2010,Wheat,70.302,0,0,0,9.12835162,9.12835162,9.12835162,9.12835162,9.12835162,0,0,0,0
CAN,Canada,2010,Barley,36.124,0,0,0,4.690514835,4.690514835,4.690514835,4.690514835,4.690514835,0,0,0,0
CAN,Canada,2010,Maize ,287.455,0,0,0,37.32454717,37.32454717,37.32454717,37.32454717,37.32454717,0,0,0,0
CAN,Canada,2010,Vegetables ,36.416,0,0,0,4.728429527,4.728429527,4.728429527,4.728429527,4.728429527,0,0,0,0
CAN,Canada,2010,Fruits,31.968,4.150879699,4.150879699,4.150879699,4.150879699,4.150879699,4.150879699,4.150879699,4.150879699,4.150879699,4.150879699,4.150879699,4.150879699
CAN,Canada,2010,Oil crops ,7.704,0,0,0,1.000324612,1.000324612,1.000324612,1.000324612,1.000324612,0,0,0,0
CAN,Canada,2010,Soybeans,127.582,0,0,0,16.56586379,16.56586379,16.56586379,16.56586379,16.56586379,0,0,0,0
CAN,Canada,2010,Potatoes,71.479,0,0,0,9.281178991,9.281178991,9.281178991,9.281178991,9.281178991,0,0,0,0
CAN,Canada,2010,Pulses,16.1,0,0,0,2.09050185,2.09050185,2.09050185,2.09050185,2.09050185,0,0,0,0
CAN,Canada,2010,Sugar beet,6,0,0,0,0.779069013,0.779069013,0.779069013,0.779069013,0.779069013,0,0,0,0
CAN,Canada,2010,Fodder temporary,79.018,0,0,0,10.26007921,10.26007921,10.26007921,10.26007921,10.26007921,0,0,0,0
CAN,Canada,2010,AHIfull,770.148,0,0,0,0,0,0,0,0,0,0,0,0
CAN,Canada,2010,AAIfull,770.15,4.150879699,4.150879699,4.150879699,99.99974031,99.99974031,99.99974031,99.99974031,99.99974031,4.150879699,4.150879699,4.150879699,4.150879699
CAN,Canada,2010,Cropping_Intensity,99.99974031,99.99974031,99.99974031,99.99974031,99.99974031,99.99974031,99.99974031,99.99974031,99.99974031,99.99974031,99.99974031,99.99974031,99.99974031
CAN,Canada,2010,AEIfull,770.15,770.15,770.15,770.15,770.15,770.15,770.15,770.15,770.15,770.15,770.15,770.15,770.15
CAN,Canada,2010,Actually_Irrigated,100,100,100,100,100,100,100,100,100,100,100,100,100
CAN,Canada,2010,AEItot,770.15,770.15,770.15,770.15,770.15,770.15,770.15,770.15,770.15,770.15,770.15,770.15,770.15
