ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
CHE,Switzerland,2010,Maize,2.027,0,0,0,5.602078324,5.602078324,5.602078324,5.602078324,5.602078324,0,0,0,0
CHE,Switzerland,2010,Other cereals,2.425,0,0,0,6.702042396,6.702042396,6.702042396,6.702042396,6.702042396,0,0,0,0
CHE,Switzerland,2010,Vegetables,7.327,0,0,0,20.24984109,20.24984109,20.24984109,20.24984109,20.24984109,0,0,0,0
CHE,Switzerland,2010,Fruits,4.61,12.74078987,12.74078987,12.74078987,12.74078987,12.74078987,12.74078987,12.74078987,12.74078987,12.74078987,12.74078987,12.74078987,12.74078987
CHE,Switzerland,2010,Grapes,2.502,6.914849515,6.914849515,6.914849515,6.914849515,6.914849515,6.914849515,6.914849515,6.914849515,6.914849515,6.914849515,6.914849515,6.914849515
CHE,Switzerland,2010,Oil crops,0.437,0,0,0,1.207749496,1.207749496,1.207749496,1.207749496,1.207749496,0,0,0,0
CHE,Switzerland,2010,Potatoes,3.652,0,0,0,10.09313766,10.09313766,10.09313766,10.09313766,10.09313766,0,0,0,0
CHE,Switzerland,2010,Sugar beet,0.676,0,0,1.868280684,1.868280684,1.868280684,1.868280684,1.868280684,1.868280684,0,0,0,0
CHE,Switzerland,2010,Pasture permanent,12.527,34.62123096,34.62123096,34.62123096,34.62123096,34.62123096,34.62123096,34.62123096,34.62123096,34.62123096,34.62123096,34.62123096,34.62123096
CHE,Switzerland,2010,AHIfull,36.183,0,0,0,0,0,0,0,0,0,0,0,0
CHE,Switzerland,2010,AAIfull,36.183,54.27687035,54.27687035,56.14515104,100,100,100,100,100,54.27687035,54.27687035,54.27687035,54.27687035
CHE,Switzerland,2010,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
CHE,Switzerland,2010,AEIfull,55,55,55,55,55,55,55,55,55,55,55,55,55
CHE,Switzerland,2010,Actually_Irrigated,65.78727273,65.78727273,65.78727273,65.78727273,65.78727273,65.78727273,65.78727273,65.78727273,65.78727273,65.78727273,65.78727273,65.78727273,65.78727273
CHE,Switzerland,2010,AEItot,55,55,55,55,55,55,55,55,55,55,55,55,55
