ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
CHL,Chile,2007,Wheat,48.241,0,0,0,0,0,4.410351678,4.410351678,4.410351678,4.410351678,4.410351678,4.410351678,4.410351678
CHL,Chile,2007,Rice,21.58,1.972914932,1.972914932,1.972914932,0,0,0,0,0,0,0,1.972914932,1.972914932
CHL,Chile,2007,Maize,101.11,9.243810414,9.243810414,9.243810414,0,0,0,0,0,0,0,9.243810414,9.243810414
CHL,Chile,2007,Barley,1.716,0,0,0,0,0,0.156882392,0.156882392,0.156882392,0.156882392,0.156882392,0.156882392,0
CHL,Chile,2007,Other cereals,8.429,0.770607042,0.770607042,0.770607042,0,0,0,0,0,0,0,0.770607042,0.770607042
CHL,Chile,2007,Vegetables ,103.511,9.46331777,9.46331777,9.46331777,0,0,0,0,0,0,0,9.46331777,9.46331777
CHL,Chile,2007,Fruits,246.166,22.50530941,22.50530941,22.50530941,22.50530941,22.50530941,22.50530941,22.50530941,22.50530941,22.50530941,22.50530941,22.50530941,22.50530941
CHL,Chile,2007,Grapes,104.2115,9.527359796,9.527359796,9.527359796,9.527359796,9.527359796,9.527359796,9.527359796,9.527359796,9.527359796,9.527359796,9.527359796,9.527359796
CHL,Chile,2007,Citrus,16.587,1.516438367,1.516438367,1.516438367,1.516438367,1.516438367,1.516438367,1.516438367,1.516438367,1.516438367,1.516438367,1.516438367,1.516438367
CHL,Chile,2007,Oil crops,5.741,0.524861197,0.524861197,0.524861197,0,0,0,0,0,0,0,0.524861197,0.524861197
CHL,Chile,2007,Potatoes,21.845,1.997142107,1.997142107,1.997142107,0,0,0,0,0,0,0,1.997142107,1.997142107
CHL,Chile,2007,Pulses,9.93,0.907833423,0.907833423,0.907833423,0,0,0,0,0,0,0,0.907833423,0.907833423
CHL,Chile,2007,Sugar beet,19.008,1.73777419,1.73777419,1.73777419,0,0,0,0,0,0,1.73777419,1.73777419,1.73777419
CHL,Chile,2007,Fodder temporary,283,0,0,0,0,0,25.87279544,25.87279544,25.87279544,25.87279544,25.87279544,25.87279544,0
CHL,Chile,2007,Tobacco,2.737,0.250225587,0.250225587,0.250225587,0,0,0,0,0,0,0,0.250225587,0.250225587
CHL,Chile,2007,Pasture permanent,100,9.142330545,9.142330545,9.142330545,9.142330545,9.142330545,9.142330545,9.142330545,9.142330545,9.142330545,9.142330545,9.142330545,9.142330545
CHL,Chile,2007,AHIfull,1093.8125,0,0,0,0,0,0,0,0,0,0,0,0
CHL,Chile,2007,AAIfull,1093.813,69.55992478,69.55992478,69.55992478,42.69143812,42.69143812,73.13146763,73.13146763,73.13146763,73.13146763,74.86924182,99.99995429,73.97027645
CHL,Chile,2007,Cropping_Intensity,99.99995429,99.99995429,99.99995429,99.99995429,99.99995429,99.99995429,99.99995429,99.99995429,99.99995429,99.99995429,99.99995429,99.99995429,99.99995429
CHL,Chile,2007,AEIfull,1108.559,1108.559,1108.559,1108.559,1108.559,1108.559,1108.559,1108.559,1108.559,1108.559,1108.559,1108.559,1108.559
CHL,Chile,2007,Actually_Irrigated,98.66980467,98.66980467,98.66980467,98.66980467,98.66980467,98.66980467,98.66980467,98.66980467,98.66980467,98.66980467,98.66980467,98.66980467,98.66980467
CHL,Chile,2007,AEItot,1108.559,1108.559,1108.559,1108.559,1108.559,1108.559,1108.559,1108.559,1108.559,1108.559,1108.559,1108.559,1108.559
