ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
CHN,China (Northeast),2006,Wheat,15595,56.28031676,56.28031676,56.28031676,56.28031676,0,0,0,0,0,56.28031676,56.28031676,56.28031676
CHN,China (Northeast),2006,Rice (Keng),5048,0,0,0,0,18.21757223,18.21757223,18.21757223,18.21757223,18.21757223,0,0,0
CHN,China (Northeast),2006,Maize ,10489,0,0,0,0,37.8534301,37.8534301,37.8534301,37.8534301,37.8534301,0,0,0
CHN,China (Northeast),2006,Other cereals,649,0,0,0,0,2.342156177,2.342156177,2.342156177,2.342156177,2.342156177,0,0,0
CHN,China (Northeast),2006,Vegetables one,4020,0,0,0,0,0,14.50765459,14.50765459,14.50765459,14.50765459,0,0,0
CHN,China (Northeast),2006,Vegetables two,300,0,1.08266079,1.08266079,1.08266079,1.08266079,0,0,0,0,0,0,0
CHN,China (Northeast),2006,Fruits,1440,5.196771794,5.196771794,5.196771794,5.196771794,5.196771794,5.196771794,5.196771794,5.196771794,5.196771794,5.196771794,5.196771794,5.196771794
CHN,China (Northeast),2006,Citrus,220,0.793951246,0.793951246,0.793951246,0.793951246,0.793951246,0.793951246,0.793951246,0.793951246,0.793951246,0.793951246,0.793951246,0.793951246
CHN,China (Northeast),2006,Soybeans ,1548,0,0,0,0,5.586529679,5.586529679,5.586529679,5.586529679,5.586529679,0,0,0
CHN,China (Northeast),2006,Groundnuts,1002,0,0,0,0,3.61608704,3.61608704,3.61608704,3.61608704,3.61608704,0,0,0
CHN,China (Northeast),2006,Rapeseed,2880,10.39354359,10.39354359,10.39354359,10.39354359,0,0,0,0,0,10.39354359,10.39354359,10.39354359
CHN,China (Northeast),2006,Oil crops,109,0,0,0,0,0.393366754,0.393366754,0.393366754,0.393366754,0.393366754,0,0,0
CHN,China (Northeast),2006,Sunflower,151,0,0,0,0,0.544939265,0.544939265,0.544939265,0.544939265,0.544939265,0,0,0
CHN,China (Northeast),2006,Sesame,122,0,0,0,0,0.440282055,0.440282055,0.440282055,0.440282055,0.440282055,0,0,0
CHN,China (Northeast),2006,Potatoes and other roots,291,0,0,0,0,1.050180967,1.050180967,1.050180967,1.050180967,1.050180967,0,0,0
