ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
CMR,Cameroon,2000,Rice one,5,0,0,0,0,22.27171492,22.27171492,22.27171492,22.27171492,22.27171492,0,0,0
CMR,Cameroon,2000,Rice two,5,22.27171492,22.27171492,22.27171492,22.27171492,0,0,0,0,0,0,0,22.27171492
CMR,Cameroon,2000,Maize,7.54,0,0,0,0,33.5857461,33.5857461,33.5857461,33.5857461,33.5857461,0,0,0
CMR,Cameroon,2000,Vegetables ,11.176,49.78173719,49.78173719,49.78173719,49.78173719,0,0,0,0,0,0,0,49.78173719
CMR,Cameroon,2000,Bananas,5.43,24.18708241,24.18708241,24.18708241,24.18708241,24.18708241,24.18708241,24.18708241,24.18708241,24.18708241,24.18708241,24.18708241,24.18708241
CMR,Cameroon,2000,AHIfull,34.146,0,0,0,0,0,0,0,0,0,0,0,0
CMR,Cameroon,2000,AAIfull,22.45,96.24053452,96.24053452,96.24053452,96.24053452,80.04454343,80.04454343,80.04454343,80.04454343,80.04454343,24.18708241,24.18708241,96.24053452
CMR,Cameroon,2000,Cropping_Intensity,152.0979955,152.0979955,152.0979955,152.0979955,152.0979955,152.0979955,152.0979955,152.0979955,152.0979955,152.0979955,152.0979955,152.0979955,152.0979955
CMR,Cameroon,2000,AEIfull,22.45,22.45,22.45,22.45,22.45,22.45,22.45,22.45,22.45,22.45,22.45,22.45,22.45
CMR,Cameroon,2000,Actually_Irrigated,100,100,100,100,100,100,100,100,100,100,100,100,100
CMR,Cameroon,2000,AEItot,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65
