ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
CYP,Cyprus,2007,Barley and other cereals,2.7,0,0,0,8.637236084,8.637236084,8.637236084,8.637236084,8.637236084,0,0,0,0
CYP,Cyprus,2007,Vegetables,5.9,0,0,0,18.87396033,18.87396033,18.87396033,18.87396033,18.87396033,0,0,0,0
CYP,Cyprus,2007,Fruits,14.7,47.02495202,47.02495202,47.02495202,47.02495202,47.02495202,47.02495202,47.02495202,47.02495202,47.02495202,47.02495202,47.02495202,47.02495202
CYP,Cyprus,2007,Roots and tubers,7,0,0,0,22.39283429,22.39283429,22.39283429,22.39283429,22.39283429,0,0,0,0
CYP,Cyprus,2007,Pulses,1,0,0,0,3.198976328,3.198976328,3.198976328,3.198976328,3.198976328,0,0,0,0
CYP,Cyprus,2007,AHIfull,31.3,0,0,0,0,0,0,0,0,0,0,0,0
CYP,Cyprus,2007,AAIfull,31.26,47.02495202,47.02495202,47.02495202,100.1279591,100.1279591,100.1279591,100.1279591,100.1279591,47.02495202,47.02495202,47.02495202,47.02495202
CYP,Cyprus,2007,Cropping_Intensity,100.1279591,100.1279591,100.1279591,100.1279591,100.1279591,100.1279591,100.1279591,100.1279591,100.1279591,100.1279591,100.1279591,100.1279591,100.1279591
CYP,Cyprus,2007,AEIfull,45.79,45.79,45.79,45.79,45.79,45.79,45.79,45.79,45.79,45.79,45.79,45.79,45.79
CYP,Cyprus,2007,Actually_Irrigated,68.26818083,68.26818083,68.26818083,68.26818083,68.26818083,68.26818083,68.26818083,68.26818083,68.26818083,68.26818083,68.26818083,68.26818083,68.26818083
CYP,Cyprus,2007,AEItot,45.79,45.79,45.79,45.79,45.79,45.79,45.79,45.79,45.79,45.79,45.79,45.79,45.79
