ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
CZE,Czech Republic,2007,Vegetables ,3.3,0,0,0,16.57458564,16.57458564,16.57458564,16.57458564,16.57458564,0,0,0,0
CZE,Czech Republic,2007,Fruits,9.3,46.71019588,46.71019588,46.71019588,46.71019588,46.71019588,46.71019588,46.71019588,46.71019588,46.71019588,46.71019588,46.71019588,46.71019588
CZE,Czech Republic,2007,Potatoes,2.8,0,0,0,14.06328478,14.06328478,14.06328478,14.06328478,14.06328478,0,0,0,0
CZE,Czech Republic,2007,Sugar beet,4.5,0,0,22.60170768,22.60170768,22.60170768,22.60170768,22.60170768,22.60170768,0,0,0,0
CZE,Czech Republic,2007,AHIfull,19.9,0,0,0,0,0,0,0,0,0,0,0,0
CZE,Czech Republic,2007,AAIfull,19.91,46.71019588,46.71019588,69.31190357,99.94977398,99.94977398,99.94977398,99.94977398,99.94977398,46.71019588,46.71019588,46.71019588,46.71019588
CZE,Czech Republic,2007,Cropping_Intensity,99.94977398,99.94977398,99.94977398,99.94977398,99.94977398,99.94977398,99.94977398,99.94977398,99.94977398,99.94977398,99.94977398,99.94977398,99.94977398
CZE,Czech Republic,2007,AEIfull,38.53,38.53,38.53,38.53,38.53,38.53,38.53,38.53,38.53,38.53,38.53,38.53,38.53
CZE,Czech Republic,2007,Actually_Irrigated,51.67402024,51.67402024,51.67402024,51.67402024,51.67402024,51.67402024,51.67402024,51.67402024,51.67402024,51.67402024,51.67402024,51.67402024,51.67402024
CZE,Czech Republic,2007,AEItot,38.53,38.53,38.53,38.53,38.53,38.53,38.53,38.53,38.53,38.53,38.53,38.53,38.53
