ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
DNK,Denmark,2007,Wheat,34,0,0,0,13.38055884,13.38055884,13.38055884,13.38055884,13.38055884,0,0,0,0
DNK,Denmark,2007,Barley,41.1,0,0,0,16.17473436,16.17473436,16.17473436,16.17473436,16.17473436,0,0,0,0
DNK,Denmark,2007,Other cereals,7.2,0,0,0,2.833530106,2.833530106,2.833530106,2.833530106,2.833530106,0,0,0,0
DNK,Denmark,2007,Vegetables ,6,0,0,0,2.361275089,2.361275089,2.361275089,2.361275089,2.361275089,0,0,0,0
DNK,Denmark,2007,Rapeseed,5,0,0,0,1.96772924,1.96772924,1.96772924,1.96772924,1.96772924,0,0,0,0
DNK,Denmark,2007,Potatoes,25,0,0,0,9.838646202,9.838646202,9.838646202,9.838646202,9.838646202,0,0,0,0
DNK,Denmark,2007,Pulses,24,0,0,0,9.445100354,9.445100354,9.445100354,9.445100354,9.445100354,0,0,0,0
DNK,Denmark,2007,Sugar beet,37,0,0,0,14.56119638,14.56119638,14.56119638,14.56119638,14.56119638,0,0,0,0
DNK,Denmark,2007,Fodder temporary,74.8,0,0,0,29.43722944,29.43722944,29.43722944,29.43722944,29.43722944,0,0,0,0
DNK,Denmark,2007,AHIfull,254.1,0,0,0,0,0,0,0,0,0,0,0,0
DNK,Denmark,2007,AAIfull,254.1,0,0,0,100,100,100,100,100,0,0,0,0
DNK,Denmark,2007,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
DNK,Denmark,2007,AEIfull,435.4,435.4,435.4,435.4,435.4,435.4,435.4,435.4,435.4,435.4,435.4,435.4,435.4
DNK,Denmark,2007,Actually_Irrigated,58.36012862,58.36012862,58.36012862,58.36012862,58.36012862,58.36012862,58.36012862,58.36012862,58.36012862,58.36012862,58.36012862,58.36012862,58.36012862
DNK,Denmark,2007,AEItot,435.4,435.4,435.4,435.4,435.4,435.4,435.4,435.4,435.4,435.4,435.4,435.4,435.4
