ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
ESP,Spain,2009,Wheat ,248.369,8.028849278,8.028849278,8.028849278,8.028849278,8.028849278,0,0,0,0,0,8.028849278,8.028849278
ESP,Spain,2009,Barley,330.835,10.69466943,10.69466943,10.69466943,10.69466943,0,0,0,0,0,0,10.69466943,10.69466943
ESP,Spain,2009,Rice,116.646,0,0,0,3.770732873,3.770732873,3.770732873,3.770732873,3.770732873,0,0,0,0
ESP,Spain,2009,Maize,303.825,0,0,0,0,9.82153623,9.82153623,9.82153623,9.82153623,9.82153623,0,0,0
ESP,Spain,2009,Other cereals,65.055,0,0,0,2.102987047,2.102987047,2.102987047,2.102987047,2.102987047,0,0,0,0
ESP,Spain,2009,Vegetables,218.96,0,0,0,7.078165302,7.078165302,7.078165302,7.078165302,7.078165302,0,0,0,0
ESP,Spain,2009,Fruits,240.699,7.780906604,7.780906604,7.780906604,7.780906604,7.780906604,7.780906604,7.780906604,7.780906604,7.780906604,7.780906604,7.780906604,7.780906604
ESP,Spain,2009,Citrus,287.413,9.290997095,9.290997095,9.290997095,9.290997095,9.290997095,9.290997095,9.290997095,9.290997095,9.290997095,9.290997095,9.290997095,9.290997095
ESP,Spain,2009,Grapes,191.167,6.179720617,6.179720617,6.179720617,6.179720617,6.179720617,6.179720617,6.179720617,6.179720617,6.179720617,6.179720617,6.179720617,6.179720617
ESP,Spain,2009,Sunflower,71.495,0,0,0,2.311168379,2.311168379,2.311168379,2.311168379,2.311168379,0,0,0,0
ESP,Spain,2009,Olives,452.877,14.63983498,14.63983498,14.63983498,14.63983498,14.63983498,14.63983498,14.63983498,14.63983498,14.63983498,14.63983498,14.63983498,14.63983498
ESP,Spain,2009,Potatoes,38.223,0,0,0,1.23560793,1.23560793,1.23560793,1.23560793,1.23560793,0,0,0,0
ESP,Spain,2009,Pulses,38.656,0,0,0,1.249605215,1.249605215,1.249605215,1.249605215,1.249605215,0,0,0,0
ESP,Spain,2009,Sugar beet,39.572,0,0,1.2792161,1.2792161,1.2792161,1.2792161,1.2792161,1.2792161,0,0,0,0
ESP,Spain,2009,Fodder temporary,88.534,2.8619761,2.8619761,2.8619761,2.8619761,0,0,0,0,0,0,2.8619761,2.8619761
ESP,Spain,2009,Fodder permanent,133.413,4.312747842,4.312747842,4.312747842,4.312747842,4.312747842,4.312747842,4.312747842,4.312747842,4.312747842,4.312747842,4.312747842,4.312747842
ESP,Spain,2009,Cotton,49.647,0,0,0,1.604903511,1.604903511,1.604903511,1.604903511,1.604903511,1.604903511,1.604903511,0,0
ESP,Spain,2009,Flowers,15.868,0,0,0,0.512953631,0.512953631,0.512953631,0.512953631,0.512953631,0,0,0,0
ESP,Spain,2009,Tobacco,11.49,0,0,0,0,0.371429116,0.371429116,0.371429116,0.371429116,0.371429116,0,0,0
ESP,Spain,2009,Other temporary crops,20.237,0,0,0,0.654187209,0.654187209,0.654187209,0.654187209,0.654187209,0,0,0,0
ESP,Spain,2009,Other permanent crop,4.69,0.151610318,0.151610318,0.151610318,0.151610318,0.151610318,0.151610318,0.151610318,0.151610318,0.151610318,0.151610318,0.151610318,0.151610318
ESP,Spain,2009,Pasture permanent,125.807,4.066874051,4.066874051,4.066874051,4.066874051,4.066874051,4.066874051,4.066874051,4.066874051,4.066874051,4.066874051,4.066874051,4.066874051
ESP,Spain,2009,AHIfull,3093.478,0,0,0,0,0,0,0,0,0,0,0,0
ESP,Spain,2009,AAIfull,3093.457,68.00818631,68.00818631,69.28740241,89.80771351,86.44403333,78.41518405,78.41518405,78.41518405,58.22056036,48.02759502,68.00818631,68.00818631
ESP,Spain,2009,Cropping_Intensity,100.0006789,100.0006789,100.0006789,100.0006789,100.0006789,100.0006789,100.0006789,100.0006789,100.0006789,100.0006789,100.0006789,100.0006789,100.0006789
ESP,Spain,2009,AEIfull,3645.146,3645.146,3645.146,3645.146,3645.146,3645.146,3645.146,3645.146,3645.146,3645.146,3645.146,3645.146,3645.146
ESP,Spain,2009,Actually_Irrigated,84.86510554,84.86510554,84.86510554,84.86510554,84.86510554,84.86510554,84.86510554,84.86510554,84.86510554,84.86510554,84.86510554,84.86510554,84.86510554
ESP,Spain,2009,AEItot,3645.146,3645.146,3645.146,3645.146,3645.146,3645.146,3645.146,3645.146,3645.146,3645.146,3645.146,3645.146,3645.146
