ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
GBR,United Kingdom,2007,Maize ,4.34,0,0,0,3.140376266,3.140376266,3.140376266,3.140376266,3.140376266,0,0,0,0
GBR,United Kingdom,2007,Vegetables ,36.76,0,0,0,26.59913169,26.59913169,26.59913169,26.59913169,26.59913169,0,0,0,0
GBR,United Kingdom,2007,Fruits,5.02,3.632416787,3.632416787,3.632416787,3.632416787,3.632416787,3.632416787,3.632416787,3.632416787,3.632416787,3.632416787,3.632416787,3.632416787
GBR,United Kingdom,2007,Potatoes,72.36,0,0,0,52.35890014,52.35890014,52.35890014,52.35890014,52.35890014,0,0,0,0
GBR,United Kingdom,2007,Sugar beet,9.12,0,0,6.599131693,6.599131693,6.599131693,6.599131693,6.599131693,6.599131693,0,0,0,0
GBR,United Kingdom,2007,Pasture permanent,10.6,7.670043415,7.670043415,7.670043415,7.670043415,7.670043415,7.670043415,7.670043415,7.670043415,7.670043415,7.670043415,7.670043415,7.670043415
GBR,United Kingdom,2007,AHIfull,138.2,0,0,0,0,0,0,0,0,0,0,0,0
GBR,United Kingdom,2007,AAIfull,138.2,11.3024602,11.3024602,17.9015919,100,100,100,100,100,11.3024602,11.3024602,11.3024602,11.3024602
GBR,United Kingdom,2007,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
GBR,United Kingdom,2007,AEIfull,152,152,152,152,152,152,152,152,152,152,152,152,152
GBR,United Kingdom,2007,Actually_Irrigated,90.92105263,90.92105263,90.92105263,90.92105263,90.92105263,90.92105263,90.92105263,90.92105263,90.92105263,90.92105263,90.92105263,90.92105263,90.92105263
GBR,United Kingdom,2007,AEItot,152,152,152,152,152,152,152,152,152,152,152,152,152
