ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
HTI,Haiti,2009,Rice one ,36,0,0,45,45,45,45,45,0,0,0,0,0
HTI,Haiti,2009,Rice two,21.5,0,0,0,0,0,0,0,26.875,26.875,26.875,26.875,26.875
HTI,Haiti,2009,Maize ,13,0,0,16.25,16.25,16.25,16.25,16.25,0,0,0,0,0
HTI,Haiti,2009,Vegetables one,7,0,0,8.75,8.75,8.75,8.75,0,0,0,0,0,0
HTI,Haiti,2009,Vegetables two,7,0,0,0,0,0,0,0,8.75,8.75,8.75,8.75,0
HTI,Haiti,2009,Fruits,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
HTI,Haiti,2009,Citrus,8,10,10,10,10,10,10,10,10,10,10,10,10
HTI,Haiti,2009,Pulses,5,0,0,6.25,6.25,6.25,6.25,6.25,0,0,0,0,0
HTI,Haiti,2009,Sugarcane,10,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
HTI,Haiti,2009,Cotton,1,1.25,1.25,0,0,0,0,0,1.25,1.25,1.25,1.25,1.25
HTI,Haiti,2009,AHIfull,109.5,0,0,0,0,0,0,0,0,0,0,0,0
HTI,Haiti,2009,AAIfull,80,25,25,100,100,100,100,91.25,60.625,60.625,60.625,60.625,51.875
HTI,Haiti,2009,Cropping_Intensity,136.875,136.875,136.875,136.875,136.875,136.875,136.875,136.875,136.875,136.875,136.875,136.875,136.875
HTI,Haiti,2009,AEIfull,97.019,97.019,97.019,97.019,97.019,97.019,97.019,97.019,97.019,97.019,97.019,97.019,97.019
HTI,Haiti,2009,Actually_Irrigated,82.45807522,82.45807522,82.45807522,82.45807522,82.45807522,82.45807522,82.45807522,82.45807522,82.45807522,82.45807522,82.45807522,82.45807522,82.45807522
HTI,Haiti,2009,AEItot,97.019,97.019,97.019,97.019,97.019,97.019,97.019,97.019,97.019,97.019,97.019,97.019,97.019
