ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
ISR,Israel,2006,Wheat,8.6,4.738292011,4.738292011,4.738292011,4.738292011,0,0,0,0,0,4.738292011,4.738292011,4.738292011
ISR,Israel,2006,Other cereals,5,0,0,0,0,2.754820937,2.754820937,2.754820937,2.754820937,2.754820937,0,0,0
ISR,Israel,2006,Vegetables,53.94,0,0,0,0,29.71900826,29.71900826,29.71900826,29.71900826,29.71900826,0,0,0
ISR,Israel,2006,Fruits,53.53,29.49311295,29.49311295,29.49311295,29.49311295,29.49311295,29.49311295,29.49311295,29.49311295,29.49311295,29.49311295,29.49311295,29.49311295
ISR,Israel,2006,Citrus,16.31,8.986225895,8.986225895,8.986225895,8.986225895,8.986225895,8.986225895,8.986225895,8.986225895,8.986225895,8.986225895,8.986225895,8.986225895
ISR,Israel,2006,Sunflower,4,0,0,0,0,2.203856749,2.203856749,2.203856749,2.203856749,2.203856749,0,0,0
ISR,Israel,2006,Pulses,8,0,0,0,0,4.407713499,4.407713499,4.407713499,4.407713499,4.407713499,0,0,0
ISR,Israel,2006,Potatoes,18.01,0,0,0,0,9.922865014,9.922865014,9.922865014,9.922865014,9.922865014,0,0,0
ISR,Israel,2006,Cotton ,13.5,0,0,0,7.438016529,7.438016529,7.438016529,7.438016529,7.438016529,7.438016529,7.438016529,0,0
ISR,Israel,2006,Flowers,2.728,1.503030303,1.503030303,1.503030303,1.503030303,1.503030303,1.503030303,1.503030303,1.503030303,1.503030303,1.503030303,1.503030303,1.503030303
ISR,Israel,2006,AHIfull,183.618,0,0,0,0,0,0,0,0,0,0,0,0
ISR,Israel,2006,AAIfull,181.5,44.72066116,44.72066116,44.72066116,52.15867769,96.42865014,96.42865014,96.42865014,96.42865014,96.42865014,52.15867769,44.72066116,44.72066116
ISR,Israel,2006,Cropping_Intensity,101.1669421,101.1669421,101.1669421,101.1669421,101.1669421,101.1669421,101.1669421,101.1669421,101.1669421,101.1669421,101.1669421,101.1669421,101.1669421
ISR,Israel,2006,AEIfull,225,225,225,225,225,225,225,225,225,225,225,225,225
ISR,Israel,2006,Actually_Irrigated,80.66666667,80.66666667,80.66666667,80.66666667,80.66666667,80.66666667,80.66666667,80.66666667,80.66666667,80.66666667,80.66666667,80.66666667,80.66666667
ISR,Israel,2006,AEItot,225,225,225,225,225,225,225,225,225,225,225,225,225
