ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
ITA,Italy,2007,Wheat ,118,4.425766211,4.425766211,4.425766211,4.425766211,4.425766211,0,0,0,0,0,4.425766211,4.425766211
ITA,Italy,2007,Rice,241,0,0,0,9.039064888,9.039064888,9.039064888,9.039064888,9.039064888,0,0,0,0
ITA,Italy,2007,Maize,736,0,0,0,27.60477908,27.60477908,27.60477908,27.60477908,27.60477908,0,0,0,0
ITA,Italy,2007,Vegetables,225.7,0,0,0,8.46521554,8.46521554,8.46521554,8.46521554,8.46521554,0,0,0,0
ITA,Italy,2007,Fruits,384,14.40249343,14.40249343,14.40249343,14.40249343,14.40249343,14.40249343,14.40249343,14.40249343,14.40249343,14.40249343,14.40249343,14.40249343
ITA,Italy,2007,Citrus,122.6,4.59829608,4.59829608,4.59829608,4.59829608,4.59829608,4.59829608,4.59829608,4.59829608,4.59829608,4.59829608,4.59829608,4.59829608
ITA,Italy,2007,Grapes,197,7.388779182,7.388779182,7.388779182,7.388779182,7.388779182,7.388779182,7.388779182,7.388779182,7.388779182,7.388779182,7.388779182,7.388779182
ITA,Italy,2007,Soybeans,84.7,0,0,0,3.176799983,3.176799983,3.176799983,3.176799983,3.176799983,0,0,0,0
ITA,Italy,2007,Sunflower,20,0,0,0,0.750129866,0.750129866,0.750129866,0.750129866,0.750129866,0,0,0,0
ITA,Italy,2007,Olives,120,4.500779197,4.500779197,4.500779197,4.500779197,4.500779197,4.500779197,4.500779197,4.500779197,4.500779197,4.500779197,4.500779197,4.500779197
ITA,Italy,2007,Potatoes,31.5,0,0,0,1.181454539,1.181454539,1.181454539,1.181454539,1.181454539,0,0,0,0
ITA,Italy,2007,Sugar beet,96.5,0,0,3.619376605,3.619376605,3.619376605,3.619376605,3.619376605,3.619376605,0,0,0,0
ITA,Italy,2007,Fodder temporary,100,3.750649331,3.750649331,3.750649331,3.750649331,0,0,0,0,0,0,3.750649331,3.750649331
ITA,Italy,2007,Fodder permanent,189,7.088727236,7.088727236,7.088727236,7.088727236,7.088727236,7.088727236,7.088727236,7.088727236,7.088727236,7.088727236,7.088727236,7.088727236
ITA,Italy,2007,AHIfull,2666,0,0,0,0,0,0,0,0,0,0,0,0
ITA,Italy,2007,AAIfull,2666.205,46.15549067,46.15549067,49.77486727,99.99231117,96.24166184,91.81589563,91.81589563,91.81589563,37.97907513,37.97907513,46.15549067,46.15549067
ITA,Italy,2007,Cropping_Intensity,99.99231117,99.99231117,99.99231117,99.99231117,99.99231117,99.99231117,99.99231117,99.99231117,99.99231117,99.99231117,99.99231117,99.99231117,99.99231117
ITA,Italy,2007,AEIfull,3950.503,3950.503,3950.503,3950.503,3950.503,3950.503,3950.503,3950.503,3950.503,3950.503,3950.503,3950.503,3950.503
ITA,Italy,2007,Actually_Irrigated,67.49026643,67.49026643,67.49026643,67.49026643,67.49026643,67.49026643,67.49026643,67.49026643,67.49026643,67.49026643,67.49026643,67.49026643,67.49026643
ITA,Italy,2007,AEItot,3950.503,3950.503,3950.503,3950.503,3950.503,3950.503,3950.503,3950.503,3950.503,3950.503,3950.503,3950.503,3950.503
