ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
JAM,Jamaica,2010,Vegetables,8.682,0,0,28.2967212,28.2967212,28.2967212,28.2967212,28.2967212,0,0,0,0,0
JAM,Jamaica,2010,Bananas,2,6.51847989,6.51847989,6.51847989,6.51847989,6.51847989,6.51847989,6.51847989,6.51847989,6.51847989,6.51847989,6.51847989,6.51847989
JAM,Jamaica,2010,Citrus,8,26.07391956,26.07391956,26.07391956,26.07391956,26.07391956,26.07391956,26.07391956,26.07391956,26.07391956,26.07391956,26.07391956,26.07391956
JAM,Jamaica,2010,Sugarcane,12,39.11087934,39.11087934,39.11087934,39.11087934,39.11087934,39.11087934,39.11087934,39.11087934,39.11087934,39.11087934,39.11087934,39.11087934
JAM,Jamaica,2010,AHIfull,30.682,0,0,0,0,0,0,0,0,0,0,0,0
JAM,Jamaica,2010,AAIfull,30.682,71.7032788,71.7032788,100,100,100,100,100,71.7032788,71.7032788,71.7032788,71.7032788,71.7032788
JAM,Jamaica,2010,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
JAM,Jamaica,2010,AEIfull,30.682,30.682,30.682,30.682,30.682,30.682,30.682,30.682,30.682,30.682,30.682,30.682,30.682
JAM,Jamaica,2010,Actually_Irrigated,100,100,100,100,100,100,100,100,100,100,100,100,100
JAM,Jamaica,2010,AEItot,30.682,30.682,30.682,30.682,30.682,30.682,30.682,30.682,30.682,30.682,30.682,30.682,30.682
