ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
KEN,Kenya,2010,Rice,25,0,0,0,18.39587932,18.39587932,18.39587932,18.39587932,18.39587932,0,0,0,0
KEN,Kenya,2010,Maize,6,0,0,0,4.415011038,4.415011038,4.415011038,4.415011038,4.415011038,0,0,0,0
KEN,Kenya,2010,Vegetables One,23,0,0,0,0,0,0,0,0,16.92420898,16.92420898,16.92420898,16.92420898
KEN,Kenya,2010,Vegetables Two,22.2,16.33554084,16.33554084,16.33554084,16.33554084,0,0,0,0,0,0,0,0
KEN,Kenya,2010,Citrus,8,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383
KEN,Kenya,2010,Pineapple,8,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383
KEN,Kenya,2010,Bananas,1,0.735835173,0.735835173,0.735835173,0.735835173,0.735835173,0.735835173,0.735835173,0.735835173,0.735835173,0.735835173,0.735835173,0.735835173
KEN,Kenya,2010,Sugarcane,8,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383
KEN,Kenya,2010,Coffee,20,14.71670346,14.71670346,14.71670346,14.71670346,14.71670346,14.71670346,14.71670346,14.71670346,14.71670346,14.71670346,14.71670346,14.71670346
KEN,Kenya,2010,Tea,8,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383,5.886681383
KEN,Kenya,2010,Flowers,5,3.679175865,3.679175865,3.679175865,3.679175865,3.679175865,3.679175865,3.679175865,3.679175865,3.679175865,3.679175865,3.679175865,3.679175865
KEN,Kenya,2010,Cotton,6,4.415011038,4.415011038,4.415011038,0,0,0,0,0,4.415011038,4.415011038,4.415011038,4.415011038
KEN,Kenya,2010,AHIfull,140.2,0,0,0,0,0,0,0,0,0,0,0,0
KEN,Kenya,2010,AAIfull,135.9,63.42899191,63.42899191,63.42899191,81.82487123,65.48933039,65.48933039,65.48933039,65.48933039,64.01766004,64.01766004,64.01766004,64.01766004
KEN,Kenya,2010,Cropping_Intensity,103.1640912,103.1640912,103.1640912,103.1640912,103.1640912,103.1640912,103.1640912,103.1640912,103.1640912,103.1640912,103.1640912,103.1640912,103.1640912
KEN,Kenya,2010,AEIfull,144.1,144.1,144.1,144.1,144.1,144.1,144.1,144.1,144.1,144.1,144.1,144.1,144.1
KEN,Kenya,2010,Actually_Irrigated,94.30950729,94.30950729,94.30950729,94.30950729,94.30950729,94.30950729,94.30950729,94.30950729,94.30950729,94.30950729,94.30950729,94.30950729,94.30950729
KEN,Kenya,2010,AEItot,150.57,150.57,150.57,150.57,150.57,150.57,150.57,150.57,150.57,150.57,150.57,150.57,150.57
