ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
KWT,Kuwait,2006,Wheat and other cereals,1.553,22.02836879,22.02836879,22.02836879,22.02836879,22.02836879,22.02836879,0,0,0,0,0,22.02836879
KWT,Kuwait,2006,Vegetables,4.05,0,0,0,0,0,0,57.44680851,57.44680851,57.44680851,57.44680851,57.44680851,0
KWT,Kuwait,2006,Fruits,1.692,24,24,24,24,24,24,24,24,24,24,24,24
KWT,Kuwait,2006,Potatoes,0.76,0,0,0,0,0,0,10.78014184,10.78014184,10.78014184,10.78014184,10.78014184,0
KWT,Kuwait,2006,AHIfull,8.055,0,0,0,0,0,0,0,0,0,0,0,0
KWT,Kuwait,2006,AAIfull,7.05,46.02836879,46.02836879,46.02836879,46.02836879,46.02836879,46.02836879,92.22695035,92.22695035,92.22695035,92.22695035,92.22695035,46.02836879
KWT,Kuwait,2006,Cropping_Intensity,114.2553191,114.2553191,114.2553191,114.2553191,114.2553191,114.2553191,114.2553191,114.2553191,114.2553191,114.2553191,114.2553191,114.2553191,114.2553191
KWT,Kuwait,2006,AEIfull,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6
KWT,Kuwait,2006,Actually_Irrigated,81.97674419,81.97674419,81.97674419,81.97674419,81.97674419,81.97674419,81.97674419,81.97674419,81.97674419,81.97674419,81.97674419,81.97674419,81.97674419
KWT,Kuwait,2006,AEItot,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6
