ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
LBY,Libya,2000,Wheat ,70,22.15189873,22.15189873,22.15189873,22.15189873,22.15189873,0,0,0,0,0,22.15189873,22.15189873
LBY,Libya,2000,Barley and other cereals,50,15.82278481,15.82278481,15.82278481,15.82278481,0,0,0,0,0,0,15.82278481,15.82278481
LBY,Libya,2000,Vegetables one,30,0,0,0,0,9.493670886,9.493670886,9.493670886,0,0,0,0,0
LBY,Libya,2000,Vegetables two,30,0,0,0,0,0,0,0,9.493670886,9.493670886,9.493670886,0,0
LBY,Libya,2000,Fruits,10,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962
LBY,Libya,2000,Citrus ,10,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962
LBY,Libya,2000,Groundnuts,10,0,0,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,0,0,0,0,0
LBY,Libya,2000,Olives,105,33.2278481,33.2278481,33.2278481,33.2278481,33.2278481,33.2278481,33.2278481,33.2278481,33.2278481,33.2278481,33.2278481,33.2278481
LBY,Libya,2000,Potatoes and other tubers,10,0,0,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,0,0,0,0,0
LBY,Libya,2000,Pulses ,10,0,0,3.164556962,3.164556962,3.164556962,3.164556962,3.164556962,0,0,0,0,0
LBY,Libya,2000,Fodder temporary,70,22.15189873,22.15189873,0,0,0,0,0,0,0,22.15189873,22.15189873,22.15189873
LBY,Libya,2000,Tobacco,1,0,0,0.316455696,0.316455696,0.316455696,0.316455696,0.316455696,0,0,0,0,0
LBY,Libya,2000,AHIfull,406,0,0,0,0,0,0,0,0,0,0,0,0
LBY,Libya,2000,AAIfull,316,99.6835443,99.6835443,87.02531646,87.02531646,80.69620253,58.5443038,58.5443038,49.05063291,49.05063291,71.20253165,99.6835443,99.6835443
LBY,Libya,2000,Cropping_Intensity,128.4810127,128.4810127,128.4810127,128.4810127,128.4810127,128.4810127,128.4810127,128.4810127,128.4810127,128.4810127,128.4810127,128.4810127,128.4810127
LBY,Libya,2000,AEIfull,470,470,470,470,470,470,470,470,470,470,470,470,470
LBY,Libya,2000,Actually_Irrigated,67.23404255,67.23404255,67.23404255,67.23404255,67.23404255,67.23404255,67.23404255,67.23404255,67.23404255,67.23404255,67.23404255,67.23404255,67.23404255
LBY,Libya,2000,AEItot,470,470,470,470,470,470,470,470,470,470,470,470,470
