ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
LTU,Lithuania,2010,Vegetables,0.615,0,0,0,40.14360313,40.14360313,40.14360313,40.14360313,40.14360313,0,0,0,0
LTU,Lithuania,2010,Potatoes ,0.642,0,0,0,41.90600522,41.90600522,41.90600522,41.90600522,41.90600522,0,0,0,0
LTU,Lithuania,2010,Other temporary crops,0.101,0,0,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,0,0,0
LTU,Lithuania,2010,Fruits,0.082,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932
LTU,Lithuania,2010,Permanent meadows and pasture,0.092,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932,6.005221932
LTU,Lithuania,2010,AHIfull,1.532,0,0,0,0,0,0,0,0,0,0,0,0
LTU,Lithuania,2010,AAIfull,1.532,12.01044386,12.01044386,18.0156658,100.0652742,100.0652742,100.0652742,100.0652742,100.0652742,18.0156658,12.01044386,12.01044386,12.01044386
LTU,Lithuania,2010,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
LTU,Lithuania,2010,AEIfull,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
LTU,Lithuania,2010,Actually_Irrigated,34.81818182,34.81818182,34.81818182,34.81818182,34.81818182,34.81818182,34.81818182,34.81818182,34.81818182,34.81818182,34.81818182,34.81818182,34.81818182
LTU,Lithuania,2010,AEItot,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
