ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
MAR,Morocco,2011,Wheat ,370,27.58125101,27.58125101,27.58125101,27.58125101,0,0,0,0,0,27.58125101,27.58125101,27.58125101
MAR,Morocco,2011,Rice,7.8,0,0,0,0.581442589,0.581442589,0.581442589,0.581442589,0.581442589,0,0,0,0
MAR,Morocco,2011,Maize,64,0,0,0,4.770810986,4.770810986,4.770810986,4.770810986,4.770810986,0,0,0,0
MAR,Morocco,2011,Barley ,98,7.305304322,7.305304322,7.305304322,0,0,0,0,0,0,7.305304322,7.305304322,7.305304322
MAR,Morocco,2011,Vegetables,209,0,0,0,0,15.57967963,15.57967963,15.57967963,15.57967963,15.57967963,0,0,0
MAR,Morocco,2011,Fruits,147,10.95795648,10.95795648,10.95795648,10.95795648,10.95795648,10.95795648,10.95795648,10.95795648,10.95795648,10.95795648,10.95795648,10.95795648
MAR,Morocco,2011,Citrus ,101,7.528936087,7.528936087,7.528936087,7.528936087,7.528936087,7.528936087,7.528936087,7.528936087,7.528936087,7.528936087,7.528936087,7.528936087
MAR,Morocco,2011,Olive,330,24.59949414,24.59949414,24.59949414,24.59949414,24.59949414,24.59949414,24.59949414,24.59949414,24.59949414,24.59949414,24.59949414,24.59949414
MAR,Morocco,2011,Oil palm,70,5.218074516,5.218074516,5.218074516,5.218074516,5.218074516,5.218074516,5.218074516,5.218074516,5.218074516,5.218074516,5.218074516,5.218074516
MAR,Morocco,2011,Pulses,15,0,0,0,1.118158825,1.118158825,1.118158825,1.118158825,1.118158825,0,0,0,0
MAR,Morocco,2011,Sugarcane,11,0.819983138,0.819983138,0.819983138,0.819983138,0.819983138,0.819983138,0.819983138,0.819983138,0.819983138,0.819983138,0.819983138,0.819983138
MAR,Morocco,2011,Sugar beet ,44,0,0,0,3.279932553,3.279932553,3.279932553,3.279932553,3.279932553,0,0,0,0
MAR,Morocco,2011,Other temporary crops,23,0,0,0,1.714510198,1.714510198,1.714510198,1.714510198,1.714510198,0,0,0,0
MAR,Morocco,2011,Fodder temporary,200,14.90878433,14.90878433,14.90878433,0,0,0,0,0,0,14.90878433,14.90878433,14.90878433
MAR,Morocco,2011,Fodder permanent,21,1.565422355,1.565422355,1.565422355,1.565422355,1.565422355,1.565422355,1.565422355,1.565422355,1.565422355,1.565422355,1.565422355,1.565422355
MAR,Morocco,2011,AHIfull,1710.8,0,0,0,0,0,0,0,0,0,0,0,0
MAR,Morocco,2011,AAIfull,1341.491,100.4852064,100.4852064,100.4852064,89.73597288,77.7344015,77.7344015,77.7344015,77.7344015,66.26954635,100.4852064,100.4852064,100.4852064
MAR,Morocco,2011,Cropping_Intensity,127.5297412,127.5297412,127.5297412,127.5297412,127.5297412,127.5297412,127.5297412,127.5297412,127.5297412,127.5297412,127.5297412,127.5297412,127.5297412
MAR,Morocco,2011,AEIfull,1458.16,1458.16,1458.16,1458.16,1458.16,1458.16,1458.16,1458.16,1458.16,1458.16,1458.16,1458.16,1458.16
MAR,Morocco,2011,Actually_Irrigated,91.99888901,91.99888901,91.99888901,91.99888901,91.99888901,91.99888901,91.99888901,91.99888901,91.99888901,91.99888901,91.99888901,91.99888901,91.99888901
MAR,Morocco,2011,AEItot,1520.36,1520.36,1520.36,1520.36,1520.36,1520.36,1520.36,1520.36,1520.36,1520.36,1520.36,1520.36,1520.36
