ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
MDA,Republic of Moldova,2007,Cereals,7,0,0,0,21.875,21.875,21.875,21.875,21.875,0,0,0,0
MDA,Republic of Moldova,2007,Vegetables,3.5,0,0,0,10.9375,10.9375,10.9375,10.9375,10.9375,0,0,0,0
MDA,Republic of Moldova,2007,Potatoes,3.5,0,0,0,10.9375,10.9375,10.9375,10.9375,10.9375,0,0,0,0
MDA,Republic of Moldova,2007,Sugar beet,2.2,0,0,6.875,6.875,6.875,6.875,6.875,6.875,0,0,0,0
MDA,Republic of Moldova,2007,Fruits,4.8,15,15,15,15,15,15,15,15,15,15,15,15
MDA,Republic of Moldova,2007,Pasture permanent,11,34.375,34.375,34.375,34.375,34.375,34.375,34.375,34.375,34.375,34.375,34.375,34.375
MDA,Republic of Moldova,2007,AHIfull,32,0,0,0,0,0,0,0,0,0,0,0,0
MDA,Republic of Moldova,2007,AAIfull,32,49.375,49.375,56.25,100,100,100,100,100,49.375,49.375,49.375,49.375
MDA,Republic of Moldova,2007,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
MDA,Republic of Moldova,2007,AEIfull,228.3,228.3,228.3,228.3,228.3,228.3,228.3,228.3,228.3,228.3,228.3,228.3,228.3
MDA,Republic of Moldova,2007,Actually_Irrigated,14.01664477,14.01664477,14.01664477,14.01664477,14.01664477,14.01664477,14.01664477,14.01664477,14.01664477,14.01664477,14.01664477,14.01664477,14.01664477
MDA,Republic of Moldova,2007,AEItot,228.3,228.3,228.3,228.3,228.3,228.3,228.3,228.3,228.3,228.3,228.3,228.3,228.3
