ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
MKD,The former Yugoslav Republic of Macedonia,2007,Wheat,3.7,0,0,0,4.646081595,4.646081595,4.646081595,4.646081595,4.646081595,0,0,0,0
MKD,The former Yugoslav Republic of Macedonia,2007,Maize ,16.7,0,0,0,20.97015206,20.97015206,20.97015206,20.97015206,20.97015206,0,0,0,0
MKD,The former Yugoslav Republic of Macedonia,2007,Other cereals,6.627,0,0,0,8.321508846,8.321508846,8.321508846,8.321508846,8.321508846,0,0,0,0
MKD,The former Yugoslav Republic of Macedonia,2007,Vegetables ,15.962,0,0,0,20.04344714,20.04344714,20.04344714,20.04344714,20.04344714,0,0,0,0
MKD,The former Yugoslav Republic of Macedonia,2007,Fruits,18.607,23.36476763,23.36476763,23.36476763,23.36476763,23.36476763,23.36476763,23.36476763,23.36476763,23.36476763,23.36476763,23.36476763,23.36476763
MKD,The former Yugoslav Republic of Macedonia,2007,Oil crops,1.761,0,0,0,2.2112837,2.2112837,2.2112837,2.2112837,2.2112837,0,0,0,0
MKD,The former Yugoslav Republic of Macedonia,2007,Fodder temporary,6.892,0,0,0,8.654268744,8.654268744,8.654268744,8.654268744,8.654268744,0,0,0,0
MKD,The former Yugoslav Republic of Macedonia,2007,Pasture permanent,4.333,5.440938257,5.440938257,5.440938257,5.440938257,5.440938257,5.440938257,5.440938257,5.440938257,5.440938257,5.440938257,5.440938257,5.440938257
MKD,The former Yugoslav Republic of Macedonia,2007,Tobacco,5.055,0,0,0,6.347552017,6.347552017,6.347552017,6.347552017,6.347552017,0,0,0,0
MKD,The former Yugoslav Republic of Macedonia,2007,AHIfull,79.637,0,0,0,0,0,0,0,0,0,0,0,0
MKD,The former Yugoslav Republic of Macedonia,2007,AAIfull,79.637,28.80570589,28.80570589,28.80570589,100,100,100,100,100,28.80570589,28.80570589,28.80570589,28.80570589
MKD,The former Yugoslav Republic of Macedonia,2007,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
MKD,The former Yugoslav Republic of Macedonia,2007,AEIfull,127.8,127.8,127.8,127.8,127.8,127.8,127.8,127.8,127.8,127.8,127.8,127.8,127.8
MKD,The former Yugoslav Republic of Macedonia,2007,Actually_Irrigated,62.31377152,62.31377152,62.31377152,62.31377152,62.31377152,62.31377152,62.31377152,62.31377152,62.31377152,62.31377152,62.31377152,62.31377152,62.31377152
MKD,The former Yugoslav Republic of Macedonia,2007,AEItot,127.8,127.8,127.8,127.8,127.8,127.8,127.8,127.8,127.8,127.8,127.8,127.8,127.8
