ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
MLI,Mali,2011,Wheat,9.515,6.801286633,6.801286633,6.801286633,6.801286633,6.801286633,0,0,0,0,0,6.801286633,6.801286633
MLI,Mali,2011,Rice one,12.545,8.967119371,8.967119371,8.967119371,0,0,0,0,0,0,0,8.967119371,8.967119371
MLI,Mali,2011,Rice two,92.792,0,0,0,0,0,66.3273767,66.3273767,66.3273767,66.3273767,66.3273767,0,0
MLI,Mali,2011,Sorghum,1.505,0,0,0,0,0,1.075768406,1.075768406,1.075768406,1.075768406,1.075768406,0,0
MLI,Mali,2011,Maize,0.437,0.312365976,0.312365976,0.312365976,0,0,0,0,0,0,0,0.312365976,0.312365976
MLI,Mali,2011,Vegetables one,30,0,0,0,0,0,21.44388849,21.44388849,21.44388849,21.44388849,21.44388849,0,0
MLI,Mali,2011,Vegetables two,30,21.44388849,21.44388849,21.44388849,0,0,0,0,0,0,0,21.44388849,21.44388849
MLI,Mali,2011,Fruits,0.365,0.260900643,0.260900643,0.260900643,0.260900643,0.260900643,0.260900643,0.260900643,0.260900643,0.260900643,0.260900643,0.260900643,0.260900643
MLI,Mali,2011,Potatoes and sweet potatoes,16.936,12.10578985,12.10578985,12.10578985,0,0,0,0,0,0,0,12.10578985,12.10578985
MLI,Mali,2011,Other roots,6.2,0,0,0,0,0,4.431736955,4.431736955,4.431736955,4.431736955,4.431736955,4.431736955,0
MLI,Mali,2011,Pulses,0.265,0.189421015,0.189421015,0.189421015,0,0,0,0,0,0,0,0.189421015,0.189421015
MLI,Mali,2011,Sugarcane,5.035,3.598999285,3.598999285,3.598999285,3.598999285,3.598999285,3.598999285,3.598999285,3.598999285,3.598999285,3.598999285,3.598999285,3.598999285
MLI,Mali,2011,Tea,4,2.859185132,2.859185132,2.859185132,2.859185132,2.859185132,2.859185132,2.859185132,2.859185132,2.859185132,2.859185132,2.859185132,2.859185132
MLI,Mali,2011,AHIfull,209.595,0,0,0,0,0,0,0,0,0,0,0,0
MLI,Mali,2011,AAIfull,139.9,56.5389564,56.5389564,56.5389564,13.52037169,13.52037169,99.99785561,99.99785561,99.99785561,99.99785561,99.99785561,60.97069335,56.5389564
MLI,Mali,2011,Cropping_Intensity,149.8177269,149.8177269,149.8177269,149.8177269,149.8177269,149.8177269,149.8177269,149.8177269,149.8177269,149.8177269,149.8177269,149.8177269,149.8177269
MLI,Mali,2011,AEIfull,167.081,167.081,167.081,167.081,167.081,167.081,167.081,167.081,167.081,167.081,167.081,167.081,167.081
MLI,Mali,2011,Actually_Irrigated,83.73184264,83.73184264,83.73184264,83.73184264,83.73184264,83.73184264,83.73184264,83.73184264,83.73184264,83.73184264,83.73184264,83.73184264,83.73184264
MLI,Mali,2011,AEItot,371.031,371.031,371.031,371.031,371.031,371.031,371.031,371.031,371.031,371.031,371.031,371.031,371.031
