ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
MNG,Mongolia,1993,Wheat ,8.5,0,0,0,0,24.28571429,24.28571429,24.28571429,24.28571429,24.28571429,0,0,0
MNG,Mongolia,1993,Vegetables ,3.5,0,0,0,0,10,10,10,10,10,0,0,0
MNG,Mongolia,1993,Fruits,1,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857
MNG,Mongolia,1993,Potatoes,4,0,0,0,0,11.42857143,11.42857143,11.42857143,11.42857143,11.42857143,0,0,0
MNG,Mongolia,1993,Fodder temporary,18,0,0,0,0,51.42857143,51.42857143,51.42857143,51.42857143,51.42857143,0,0,0
MNG,Mongolia,1993,AHIfull,35,0,0,0,0,0,0,0,0,0,0,0,0
MNG,Mongolia,1993,AAIfull,35,2.857142857,2.857142857,2.857142857,2.857142857,100,100,100,100,100,2.857142857,2.857142857,2.857142857
MNG,Mongolia,1993,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
MNG,Mongolia,1993,AEIfull,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3
MNG,Mongolia,1993,Actually_Irrigated,61.08202443,61.08202443,61.08202443,61.08202443,61.08202443,61.08202443,61.08202443,61.08202443,61.08202443,61.08202443,61.08202443,61.08202443,61.08202443
MNG,Mongolia,1993,AEItot,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3
