ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
MOZ,Mozambique,2010,Rice,6.2,10,10,10,0,0,0,0,0,0,0,10,10
MOZ,Mozambique,2010,Vegetables ,11.16,0,0,0,18,18,18,18,18,0,0,0,0
MOZ,Mozambique,2010,Sugarcane,37.2,60,60,60,60,60,60,60,60,60,60,60,60
MOZ,Mozambique,2010,Other temporary crops,7.44,0,0,0,12,12,12,12,12,0,0,0,0
MOZ,Mozambique,2010,AHIfull,62,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,Mozambique,2010,AAIfull,62,70,70,70,78,78,78,78,78,60,60,70,70
MOZ,Mozambique,2010,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
MOZ,Mozambique,2010,AEIfull,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1
MOZ,Mozambique,2010,Actually_Irrigated,52.49788315,52.49788315,52.49788315,52.49788315,52.49788315,52.49788315,52.49788315,52.49788315,52.49788315,52.49788315,52.49788315,52.49788315,52.49788315
MOZ,Mozambique,2010,AEItot,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1
