ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
MRT,Mauritania,2004,Rice one,16.88,73.90542907,73.90542907,73.90542907,0,0,0,0,0,0,0,73.90542907,73.90542907
MRT,Mauritania,2004,Rice two,16.88,0,0,0,0,0,73.90542907,73.90542907,73.90542907,73.90542907,73.90542907,0,0
MRT,Mauritania,2004,Other cereals,1.21,0,0,0,0,0,5.297723292,5.297723292,5.297723292,5.297723292,5.297723292,0,0
MRT,Mauritania,2004,Vegetables,0.244,0,0,0,0,0,1.068301226,1.068301226,1.068301226,1.068301226,1.068301226,0,0
MRT,Mauritania,2004,Fruits (dates),4.75,20.79684764,20.79684764,20.79684764,20.79684764,20.79684764,20.79684764,20.79684764,20.79684764,20.79684764,20.79684764,20.79684764,20.79684764
MRT,Mauritania,2004,AHIfull,39.964,0,0,0,0,0,0,0,0,0,0,0,0
MRT,Mauritania,2004,AAIfull,22.84,94.70227671,94.70227671,94.70227671,20.79684764,20.79684764,101.0683012,101.0683012,101.0683012,101.0683012,101.0683012,94.70227671,94.70227671
MRT,Mauritania,2004,Cropping_Intensity,174.9737303,174.9737303,174.9737303,174.9737303,174.9737303,174.9737303,174.9737303,174.9737303,174.9737303,174.9737303,174.9737303,174.9737303,174.9737303
MRT,Mauritania,2004,AEIfull,45.012,45.012,45.012,45.012,45.012,45.012,45.012,45.012,45.012,45.012,45.012,45.012,45.012
MRT,Mauritania,2004,Actually_Irrigated,50.74202435,50.74202435,50.74202435,50.74202435,50.74202435,50.74202435,50.74202435,50.74202435,50.74202435,50.74202435,50.74202435,50.74202435,50.74202435
MRT,Mauritania,2004,AEItot,45.012,45.012,45.012,45.012,45.012,45.012,45.012,45.012,45.012,45.012,45.012,45.012,45.012
