ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
NER,Niger,2011,Wheat ,0.203,1.918714556,1.918714556,1.918714556,1.918714556,1.918714556,0,0,0,0,0,1.918714556,1.918714556
NER,Niger,2011,Rice one,6.594,62.32514178,62.32514178,62.32514178,0,0,0,0,0,0,0,62.32514178,62.32514178
NER,Niger,2011,Rice two,6.949,0,0,0,0,0,65.6805293,65.6805293,65.6805293,65.6805293,65.6805293,0,0
NER,Niger,2011,Maize,0.419,0,0,0,0,0,3.960302457,3.960302457,3.960302457,3.960302457,0,0,0
NER,Niger,2011,Millet,1.194,0,0,0,0,0,11.28544423,11.28544423,11.28544423,11.28544423,0,0,0
NER,Niger,2011,Sorghum,1.543,0,0,0,0,0,14.58412098,14.58412098,14.58412098,14.58412098,0,0,0
NER,Niger,2011,Roots,0.21,1.984877127,1.984877127,1.984877127,0,0,0,0,0,0,0,1.984877127,1.984877127
NER,Niger,2011,Vegetables,0.17,1.606805293,1.606805293,1.606805293,0,0,0,0,0,0,0,1.606805293,1.606805293
NER,Niger,2011,Sugarcane,0.053,0.50094518,0.50094518,0.50094518,0.50094518,0.50094518,0.50094518,0.50094518,0.50094518,0.50094518,0.50094518,0.50094518,0.50094518
NER,Niger,2011,Cotton ,0.415,0,0,0,0,0,3.922495274,3.922495274,3.922495274,3.922495274,3.922495274,3.922495274,0
NER,Niger,2011,AHIfull,17.75,0,0,0,0,0,0,0,0,0,0,0,0
NER,Niger,2011,AAIfull,10.58,68.33648393,68.33648393,68.33648393,2.419659735,2.419659735,99.93383743,99.93383743,99.93383743,99.93383743,70.10396975,72.25897921,68.33648393
NER,Niger,2011,Cropping_Intensity,167.7693762,167.7693762,167.7693762,167.7693762,167.7693762,167.7693762,167.7693762,167.7693762,167.7693762,167.7693762,167.7693762,167.7693762,167.7693762
NER,Niger,2011,AEIfull,13.744,13.744,13.744,13.744,13.744,13.744,13.744,13.744,13.744,13.744,13.744,13.744,13.744
NER,Niger,2011,Actually_Irrigated,76.9790454,76.9790454,76.9790454,76.9790454,76.9790454,76.9790454,76.9790454,76.9790454,76.9790454,76.9790454,76.9790454,76.9790454,76.9790454
NER,Niger,2011,AEItot,99.894,99.894,99.894,99.894,99.894,99.894,99.894,99.894,99.894,99.894,99.894,99.894,99.894
