ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
PER,Peru,1994,Rice,85.595,0,7.718214608,7.718214608,7.718214608,7.718214608,7.718214608,0,0,0,0,0,0
PER,Peru,1994,Maize,219.5255,0,19.79490532,19.79490532,19.79490532,19.79490532,19.79490532,0,0,0,0,0,0
PER,Peru,1994,Barley,15.053,0,1.357348963,1.357348963,1.357348963,1.357348963,1.357348963,0,0,0,0,0,0
PER,Peru,1994,Other cereals,26.612,0,2.399639315,2.399639315,2.399639315,2.399639315,2.399639315,0,0,0,0,0,0
PER,Peru,1994,Vegetables ,62.095,0,0,0,0,0,0,5.599188458,5.599188458,5.599188458,5.599188458,5.599188458,0
PER,Peru,1994,Fruits,86.035,7.757889991,7.757889991,7.757889991,7.757889991,7.757889991,7.757889991,7.757889991,7.757889991,7.757889991,7.757889991,7.757889991,7.757889991
PER,Peru,1994,Bananas,18.205,1.641568981,1.641568981,1.641568981,1.641568981,1.641568981,1.641568981,1.641568981,1.641568981,1.641568981,1.641568981,1.641568981,1.641568981
PER,Peru,1994,Citrus,26.06,2.349864743,2.349864743,2.349864743,2.349864743,2.349864743,2.349864743,2.349864743,2.349864743,2.349864743,2.349864743,2.349864743,2.349864743
PER,Peru,1994,Grapes,10.277,0.926690712,0.926690712,0.926690712,0.926690712,0.926690712,0.926690712,0.926690712,0.926690712,0.926690712,0.926690712,0.926690712,0.926690712
PER,Peru,1994,Potatoes,101.45,0,0,0,0,0,0,9.147880974,9.147880974,9.147880974,9.147880974,9.147880974,0
PER,Peru,1994,Other roots,34.783,0,0,0,0,0,0,3.136429216,3.136429216,3.136429216,3.136429216,3.136429216,0
PER,Peru,1994,Coffee,8.34,0.752028855,0.752028855,0.752028855,0.752028855,0.752028855,0.752028855,0.752028855,0.752028855,0.752028855,0.752028855,0.752028855,0.752028855
PER,Peru,1994,Pulses,63.532,0,0,0,0,0,0,5.728764653,5.728764653,5.728764653,5.728764653,5.728764653,0
PER,Peru,1994,Sugarcane,101.306,9.134896303,9.134896303,9.134896303,9.134896303,9.134896303,9.134896303,9.134896303,9.134896303,9.134896303,9.134896303,9.134896303,9.134896303
PER,Peru,1994,Fodder temporary,160.742,0,14.49431921,14.49431921,14.49431921,14.49431921,14.49431921,0,0,0,0,0,0
PER,Peru,1994,Cotton,83.534,7.532371506,7.532371506,7.532371506,7.532371506,7.532371506,7.532371506,0,0,0,0,0,7.532371506
PER,Peru,1994,Other temporary crops,20.834,0,0,0,0,0,0,1.878629396,1.878629396,1.878629396,1.878629396,1.878629396,0
PER,Peru,1994,AHIfull,1123.9785,0,0,0,0,0,0,0,0,0,0,0,0
PER,Peru,1994,AAIfull,1109,30.09531109,75.8597385,75.8597385,75.8597385,75.8597385,75.8597385,48.05383228,48.05383228,48.05383228,48.05383228,48.05383228,30.09531109
PER,Peru,1994,Cropping_Intensity,101.3506312,101.3506312,101.3506312,101.3506312,101.3506312,101.3506312,101.3506312,101.3506312,101.3506312,101.3506312,101.3506312,101.3506312,101.3506312
PER,Peru,1994,AEIfull,1729.069,1729.069,1729.069,1729.069,1729.069,1729.069,1729.069,1729.069,1729.069,1729.069,1729.069,1729.069,1729.069
PER,Peru,1994,Actually_Irrigated,64.13856243,64.13856243,64.13856243,64.13856243,64.13856243,64.13856243,64.13856243,64.13856243,64.13856243,64.13856243,64.13856243,64.13856243,64.13856243
PER,Peru,1994,AEItot,1729.069,1729.069,1729.069,1729.069,1729.069,1729.069,1729.069,1729.069,1729.069,1729.069,1729.069,1729.069,1729.069
