ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
PHL,Philippines,2006,Rice one,1117.8,0,0,0,0,59.48908994,59.48908994,59.48908994,59.48908994,59.48908994,0,0,0
PHL,Philippines,2006,Rice two,1304.1,69.40393827,69.40393827,0,0,0,0,0,0,0,69.40393827,69.40393827,69.40393827
PHL,Philippines,2006,Maize,96.6,5.141032464,5.141032464,0,0,0,0,0,0,0,5.141032464,5.141032464,5.141032464
PHL,Philippines,2006,Vegetables,37.861,2.014954763,2.014954763,0,0,0,0,0,0,0,2.014954763,2.014954763,2.014954763
PHL,Philippines,2006,Fruits,22,1.170835551,1.170835551,1.170835551,1.170835551,1.170835551,1.170835551,1.170835551,1.170835551,1.170835551,1.170835551,1.170835551,1.170835551
PHL,Philippines,2006,Bananas,14.21,0.756253326,0.756253326,0.756253326,0.756253326,0.756253326,0.756253326,0.756253326,0.756253326,0.756253326,0.756253326,0.756253326,0.756253326
PHL,Philippines,2006,Citrus,1.97,0.104843002,0.104843002,0.104843002,0.104843002,0.104843002,0.104843002,0.104843002,0.104843002,0.104843002,0.104843002,0.104843002,0.104843002
PHL,Philippines,2006,Groundnuts,12.4,0.659925492,0.659925492,0,0,0,0,0,0,0,0.659925492,0.659925492,0.659925492
PHL,Philippines,2006,Sugarcane ,65,3.459286855,3.459286855,3.459286855,3.459286855,3.459286855,3.459286855,3.459286855,3.459286855,3.459286855,3.459286855,3.459286855,3.459286855
PHL,Philippines,2006,Tobacco,23.884,1.27110165,1.27110165,0,0,0,0,0,0,0,1.27110165,1.27110165,1.27110165
PHL,Philippines,2006,AHIfull,2695.825,0,0,0,0,0,0,0,0,0,0,0,0
PHL,Philippines,2006,AAIfull,1879,83.98217137,83.98217137,5.491218733,5.491218733,64.98030867,64.98030867,64.98030867,64.98030867,64.98030867,83.98217137,83.98217137,83.98217137
PHL,Philippines,2006,Cropping_Intensity,143.4712613,143.4712613,143.4712613,143.4712613,143.4712613,143.4712613,143.4712613,143.4712613,143.4712613,143.4712613,143.4712613,143.4712613,143.4712613
PHL,Philippines,2006,AEIfull,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879
PHL,Philippines,2006,Actually_Irrigated,100,100,100,100,100,100,100,100,100,100,100,100,100
PHL,Philippines,2006,AEItot,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879
