ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
PRT,Portugal,2007,Wheat,13.55,3.214709371,3.214709371,3.214709371,3.214709371,3.214709371,0,0,0,0,0,3.214709371,3.214709371
PRT,Portugal,2007,Rice,23.49,0,0,0,5.572953737,5.572953737,5.572953737,5.572953737,5.572953737,0,0,0,0
PRT,Portugal,2007,Maize ,94.04,0,0,0,22.31079478,22.31079478,22.31079478,22.31079478,22.31079478,0,0,0,0
PRT,Portugal,2007,Other cereals,51.11,0,0,0,12.1257414,12.1257414,12.1257414,12.1257414,12.1257414,0,0,0,0
PRT,Portugal,2007,Vegetables ,54.69,0,0,0,12.97508897,12.97508897,12.97508897,12.97508897,12.97508897,0,0,0,0
PRT,Portugal,2007,Fruits,39.64,9.404507711,9.404507711,9.404507711,9.404507711,9.404507711,9.404507711,9.404507711,9.404507711,9.404507711,9.404507711,9.404507711,9.404507711
PRT,Portugal,2007,Citrus,16.9,4.009489917,4.009489917,4.009489917,4.009489917,4.009489917,4.009489917,4.009489917,4.009489917,4.009489917,4.009489917,4.009489917,4.009489917
PRT,Portugal,2007,Sunflower,8.63,0,0,0,2.047449585,2.047449585,2.047449585,2.047449585,2.047449585,0,0,0,0
PRT,Portugal,2007,Olive trees ,37.88,8.986951364,8.986951364,8.986951364,8.986951364,8.986951364,8.986951364,8.986951364,8.986951364,8.986951364,8.986951364,8.986951364,8.986951364
PRT,Portugal,2007,Potatoes,17.73,0,0,0,4.206405694,4.206405694,4.206405694,4.206405694,4.206405694,0,0,0,0
PRT,Portugal,2007,Pulses,22.18,0,0,0,5.262158956,5.262158956,5.262158956,5.262158956,5.262158956,0,0,0,0
PRT,Portugal,2007,Sugar beet,4.36,0,0,1.034400949,1.034400949,1.034400949,1.034400949,1.034400949,1.034400949,0,0,0,0
PRT,Portugal,2007,Pasture permanent,37.3,8.849347568,8.849347568,8.849347568,8.849347568,8.849347568,8.849347568,8.849347568,8.849347568,8.849347568,8.849347568,8.849347568,8.849347568
PRT,Portugal,2007,AHIfull,421.5,0,0,0,0,0,0,0,0,0,0,,
PRT,Portugal,2007,AAIfull,421.5,34.46500593,34.46500593,35.49940688,100,100,96.78529063,96.78529063,96.78529063,31.25029656,31.25029656,34.46500593,34.46500593
PRT,Portugal,2007,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
PRT,Portugal,2007,AEIfull,583.7,583.7,583.7,583.7,583.7,583.7,583.7,583.7,583.7,583.7,583.7,583.7,583.7
PRT,Portugal,2007,Actually_Irrigated,72.21175261,72.21175261,72.21175261,72.21175261,72.21175261,72.21175261,72.21175261,72.21175261,72.21175261,72.21175261,72.21175261,72.21175261,72.21175261
PRT,Portugal,2007,AEItot,583.7,583.7,583.7,583.7,583.7,583.7,583.7,583.7,583.7,583.7,583.7,583.7,583.7
