ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
PRY,Paraguay,2012,Rice,80,58.7500918,58.7500918,58.7500918,0,0,0,0,0,0,0,58.7500918,58.7500918
PRY,Paraguay,2012,Vegetables ,2.23,1.637658809,1.637658809,1.637658809,0,0,0,0,0,0,0,1.637658809,1.637658809
PRY,Paraguay,2012,Sugarcane,53.13,39.01740471,39.01740471,39.01740471,39.01740471,39.01740471,39.01740471,39.01740471,39.01740471,39.01740471,39.01740471,39.01740471,39.01740471
PRY,Paraguay,2012,Other permanent crops,0.81,0.594844679,0.594844679,0.594844679,0.594844679,0.594844679,0.594844679,0.594844679,0.594844679,0.594844679,0.594844679,0.594844679,0.594844679
PRY,Paraguay,2012,AHIfull,136.17,0,0,0,0,0,0,0,0,0,0,0,0
PRY,Paraguay,2012,AAIfull,136.17,100,100,100,39.61224939,39.61224939,39.61224939,39.61224939,39.61224939,39.61224939,39.61224939,100,100
PRY,Paraguay,2012,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
PRY,Paraguay,2012,AEIfull,136.17,136.17,136.17,136.17,136.17,136.17,136.17,136.17,136.17,136.17,136.17,136.17,136.17
PRY,Paraguay,2012,Actually_Irrigated,100,100,100,100,100,100,100,100,100,100,100,100,100
PRY,Paraguay,2012,AEItot,136.17,136.17,136.17,136.17,136.17,136.17,136.17,136.17,136.17,136.17,136.17,136.17,136.17
