ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
SOM,Somalia,2003,Maize,19.6,0,0,0,39.2,39.2,39.2,39.2,39.2,0,0,0,0
SOM,Somalia,2003,Sorghum,13.7,0,0,0,27.4,27.4,27.4,27.4,27.4,0,0,0,0
SOM,Somalia,2003,Other cereals,1.7,0,0,0,3.4,3.4,3.4,3.4,3.4,0,0,0,0
SOM,Somalia,2003,Vegetables ,3.9,7.8,7.8,0,0,0,0,0,0,0,7.8,7.8,7.8
SOM,Somalia,2003,Fruits,6.4,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8
SOM,Somalia,2003,Citrus,1.1,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
SOM,Somalia,2003,Sugarcane,1.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
SOM,Somalia,2003,Cotton,1.9,0,0,0,3.8,3.8,3.8,3.8,3.8,3.8,3.8,0,0
SOM,Somalia,2003,AHIfull,50,0,0,0,0,0,0,0,0,0,0,0,0
SOM,Somalia,2003,AAIfull,50,26.2,26.2,18.4,92.2,92.2,92.2,92.2,92.2,22.2,30,26.2,26.2
SOM,Somalia,2003,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
SOM,Somalia,2003,AEIfull,50,50,50,50,50,50,50,50,50,50,50,50,50
SOM,Somalia,2003,Actually_Irrigated,100,100,100,100,100,100,100,100,100,100,100,100,100
SOM,Somalia,2003,AEItot,200,200,200,200,200,200,200,200,200,200,200,200,200
