ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
SRB,Serbia,2011,Maize,10,0,0,0,29.26115582,29.26115582,29.26115582,29.26115582,29.26115582,0,0,0,0
SRB,Serbia,2011,Other cereals,7.8,0,0,0,22.82370154,22.82370154,22.82370154,22.82370154,22.82370154,0,0,0,0
SRB,Serbia,2011,Vegetables,6.2,0,0,0,18.14191661,18.14191661,18.14191661,18.14191661,18.14191661,0,0,0,0
SRB,Serbia,2011,Fruits,2.5,7.315288954,7.315288954,7.315288954,7.315288954,7.315288954,7.315288954,7.315288954,7.315288954,7.315288954,7.315288954,7.315288954,7.315288954
SRB,Serbia,2011,Grapes,0.7,2.048280907,2.048280907,2.048280907,2.048280907,2.048280907,2.048280907,2.048280907,2.048280907,2.048280907,2.048280907,2.048280907,2.048280907
SRB,Serbia,2011,Potatoes,1,0,0,0,2.926115582,2.926115582,2.926115582,2.926115582,2.926115582,0,0,0,0
SRB,Serbia,2011,Sugar beet,1.6,0,0,4.681784931,4.681784931,4.681784931,4.681784931,4.681784931,4.681784931,0,0,0,0
SRB,Serbia,2011,Fodder temporary,4.4,0,0,0,12.87490856,12.87490856,12.87490856,12.87490856,12.87490856,0,0,0,0
SRB,Serbia,2011,AHIfull,34.2,0,0,0,0,0,0,0,0,0,0,0,0
SRB,Serbia,2011,AAIfull,34.175,9.363569861,9.363569861,14.04535479,100.0731529,100.0731529,100.0731529,100.0731529,100.0731529,9.363569861,9.363569861,9.363569861,9.363569861
SRB,Serbia,2011,Cropping_Intensity,100.0731529,100.0731529,100.0731529,100.0731529,100.0731529,100.0731529,100.0731529,100.0731529,100.0731529,100.0731529,100.0731529,100.0731529,100.0731529
SRB,Serbia,2011,AEIfull,91.959,91.959,91.959,91.959,91.959,91.959,91.959,91.959,91.959,91.959,91.959,91.959,91.959
SRB,Serbia,2011,Actually_Irrigated,37.16330104,37.16330104,37.16330104,37.16330104,37.16330104,37.16330104,37.16330104,37.16330104,37.16330104,37.16330104,37.16330104,37.16330104,37.16330104
SRB,Serbia,2011,AEItot,91.959,91.959,91.959,91.959,91.959,91.959,91.959,91.959,91.959,91.959,91.959,91.959,91.959
