ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
SSD,South Sudan,2011,Wheat,4.74,25.64935065,25.64935065,25.64935065,25.64935065,25.64935065,0,0,0,0,0,25.64935065,25.64935065
SSD,South Sudan,2011,Sorghum,12.6,0,0,0,0,0,68.18181818,68.18181818,68.18181818,68.18181818,68.18181818,0,0
SSD,South Sudan,2011,Millet,0.15,0,0,0,0,0,0.811688312,0.811688312,0.811688312,0.811688312,0.811688312,0,0
SSD,South Sudan,2011,Maize and other cereals,1.15,0,0,0,0,0,6.222943723,6.222943723,6.222943723,6.222943723,6.222943723,0,0
SSD,South Sudan,2011,Vegetables,1.77,9.577922078,9.577922078,9.577922078,9.577922078,0,0,0,0,0,0,0,9.577922078
SSD,South Sudan,2011,Sunflower,0.39,0,0,0,0,0,2.11038961,2.11038961,2.11038961,2.11038961,2.11038961,0,0
SSD,South Sudan,2011,Groundnut,0.84,4.545454545,4.545454545,4.545454545,0,0,0,0,0,0,0,4.545454545,4.545454545
SSD,South Sudan,2011,Potatoes,0.3,1.623376623,1.623376623,1.623376623,0,0,0,0,0,0,0,1.623376623,1.623376623
SSD,South Sudan,2011,Other roots and tubers,0.3,1.623376623,1.623376623,1.623376623,0,0,0,0,0,0,0,1.623376623,1.623376623
SSD,South Sudan,2011,Sugarcane,1.31,7.088744589,7.088744589,7.088744589,7.088744589,7.088744589,7.088744589,7.088744589,7.088744589,7.088744589,7.088744589,7.088744589,7.088744589
SSD,South Sudan,2011,Fodder temporary,2.59,14.01515152,14.01515152,14.01515152,14.01515152,0,0,0,0,0,0,14.01515152,14.01515152
SSD,South Sudan,2011,Cotton,2.93,0,0,0,15.85497835,15.85497835,15.85497835,15.85497835,15.85497835,15.85497835,15.85497835,0,0
SSD,South Sudan,2011,AHIfull,29.07,0,0,0,0,0,0,0,0,0,0,0,0
SSD,South Sudan,2011,AAIfull,18.48,64.12337662,64.12337662,64.12337662,72.18614719,48.59307359,100.2705628,100.2705628,100.2705628,100.2705628,100.2705628,54.54545455,64.12337662
SSD,South Sudan,2011,Cropping_Intensity,157.3051948,157.3051948,157.3051948,157.3051948,157.3051948,157.3051948,157.3051948,157.3051948,157.3051948,157.3051948,157.3051948,157.3051948,157.3051948
SSD,South Sudan,2011,AEIfull,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1
SSD,South Sudan,2011,Actually_Irrigated,57.57009346,57.57009346,57.57009346,57.57009346,57.57009346,57.57009346,57.57009346,57.57009346,57.57009346,57.57009346,57.57009346,57.57009346,57.57009346
SSD,South Sudan,2011,AEItot,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1
