ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
SUR,Suriname,2011,Rice One,28,0,0,0,0,49.12280702,49.12280702,49.12280702,49.12280702,49.12280702,0,0,0
SUR,Suriname,2011,Rice Two,23,40.35087719,40.35087719,40.35087719,0,0,0,0,0,0,0,40.35087719,40.35087719
SUR,Suriname,2011,Bananas,2,3.50877193,3.50877193,3.50877193,3.50877193,3.50877193,3.50877193,3.50877193,3.50877193,3.50877193,3.50877193,3.50877193,3.50877193
SUR,Suriname,2011,Sugarcane,3,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895
SUR,Suriname,2011,Other temporary crops,1,0,0,0,0,1.754385965,1.754385965,1.754385965,1.754385965,1.754385965,0,0,0
SUR,Suriname,2011,AHIfull,57,0,0,0,0,0,0,0,0,0,0,0,0
SUR,Suriname,2011,AAIfull,57,49.12280702,49.12280702,49.12280702,8.771929825,59.64912281,59.64912281,59.64912281,59.64912281,59.64912281,8.771929825,49.12280702,49.12280702
SUR,Suriname,2011,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
SUR,Suriname,2011,AEIfull,57,57,57,57,57,57,57,57,57,57,57,57,57
SUR,Suriname,2011,Actually_Irrigated,100,100,100,100,100,100,100,100,100,100,100,100,100
SUR,Suriname,2011,AEItot,57,57,57,57,57,57,57,57,57,57,57,57,57
