ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
SVK,Slovakia,2007,Maize ,7.29,0,0,0,18.64927091,18.64927091,18.64927091,18.64927091,18.64927091,0,0,0,0
SVK,Slovakia,2007,Other cereals,2.2,0,0,0,5.628037861,5.628037861,5.628037861,5.628037861,5.628037861,0,0,0,0
SVK,Slovakia,2007,Vegetables ,4.1,0,0,0,10.48861601,10.48861601,10.48861601,10.48861601,10.48861601,0,0,0,0
SVK,Slovakia,2007,Fruits,1.3,3.325658736,3.325658736,3.325658736,3.325658736,3.325658736,3.325658736,3.325658736,3.325658736,3.325658736,3.325658736,3.325658736,3.325658736
SVK,Slovakia,2007,Rapeseed,7,0,0,0,17.9073932,17.9073932,17.9073932,17.9073932,17.9073932,0,0,0,0
SVK,Slovakia,2007,Sunflower,2,0,0,0,5.116398056,5.116398056,5.116398056,5.116398056,5.116398056,0,0,0,0
SVK,Slovakia,2007,Potatoes,1.2,0,0,0,3.069838833,3.069838833,3.069838833,3.069838833,3.069838833,0,0,0,0
SVK,Slovakia,2007,Pulses,2.8,0,0,0,7.162957278,7.162957278,7.162957278,7.162957278,7.162957278,0,0,0,0
SVK,Slovakia,2007,Sugar beet,4.8,0,0,12.27935533,12.27935533,12.27935533,12.27935533,12.27935533,12.27935533,0,0,0,0
SVK,Slovakia,2007,Fodder temporary,6.4,0,0,0,16.37247378,16.37247378,16.37247378,16.37247378,16.37247378,0,0,0,0
SVK,Slovakia,2007,AHIfull,39.09,0,0,0,0,0,0,0,0,0,0,0,0
SVK,Slovakia,2007,AAIfull,39.09,3.325658736,3.325658736,15.60501407,100,100,100,100,100,3.325658736,3.325658736,3.325658736,3.325658736
SVK,Slovakia,2007,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
SVK,Slovakia,2007,AEIfull,172,172,172,172,172,172,172,172,172,172,172,172,172
SVK,Slovakia,2007,Actually_Irrigated,22.72674419,22.72674419,22.72674419,22.72674419,22.72674419,22.72674419,22.72674419,22.72674419,22.72674419,22.72674419,22.72674419,22.72674419,22.72674419
SVK,Slovakia,2007,AEItot,172,172,172,172,172,172,172,172,172,172,172,172,172
