ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
SYR,Syrian Arab Republic,2000,Wheat ,694.469,57.37042544,57.37042544,57.37042544,57.37042544,57.37042544,0,0,0,0,0,57.37042544,57.37042544
SYR,Syrian Arab Republic,2000,Vegetables,87.508,0,0,0,0,0,7.229078893,7.229078893,7.229078893,7.229078893,7.229078893,0,0
SYR,Syrian Arab Republic,2000,Fruits ,63.883,5.277406031,5.277406031,5.277406031,5.277406031,5.277406031,5.277406031,5.277406031,5.277406031,5.277406031,5.277406031,5.277406031,5.277406031
SYR,Syrian Arab Republic,2000,Citrus ,27.338,2.258405618,2.258405618,2.258405618,2.258405618,2.258405618,2.258405618,2.258405618,2.258405618,2.258405618,2.258405618,2.258405618,2.258405618
SYR,Syrian Arab Republic,2000,Sunflower ,26.064,0,0,0,0,0,2.153159851,2.153159851,2.153159851,2.153159851,2.153159851,0,0
SYR,Syrian Arab Republic,2000,Olives,28.99,2.39487815,2.39487815,2.39487815,2.39487815,2.39487815,2.39487815,2.39487815,2.39487815,2.39487815,2.39487815,2.39487815,2.39487815
SYR,Syrian Arab Republic,2000,Pulses ,7.271,0,0,0,0,0,0.600660884,0.600660884,0.600660884,0.600660884,0.600660884,0,0
SYR,Syrian Arab Republic,2000,Sugar beet ,27.474,0,0,0,0,2.269640644,2.269640644,2.269640644,2.269640644,2.269640644,2.269640644,0,0
SYR,Syrian Arab Republic,2000,Fodder temporary,100.974,8.341511772,8.341511772,8.341511772,8.341511772,0,0,0,0,0,0,8.341511772,8.341511772
SYR,Syrian Arab Republic,2000,Cotton ,270.29,0,0,0,0,22.32878976,22.32878976,22.32878976,22.32878976,22.32878976,22.32878976,22.32878976,0
SYR,Syrian Arab Republic,2000,AHIfull,1334.261,0,0,0,0,0,0,0,0,0,0,0,0
SYR,Syrian Arab Republic,2000,AAIfull,1210.5,75.64262701,75.64262701,75.64262701,75.64262701,91.89954564,44.51201983,44.51201983,44.51201983,44.51201983,44.51201983,97.97141677,75.64262701
SYR,Syrian Arab Republic,2000,Cropping_Intensity,110.223957,110.223957,110.223957,110.223957,110.223957,110.223957,110.223957,110.223957,110.223957,110.223957,110.223957,110.223957,110.223957
SYR,Syrian Arab Republic,2000,AEIfull,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439
SYR,Syrian Arab Republic,2000,Actually_Irrigated,84.1209173,84.1209173,84.1209173,84.1209173,84.1209173,84.1209173,84.1209173,84.1209173,84.1209173,84.1209173,84.1209173,84.1209173,84.1209173
SYR,Syrian Arab Republic,2000,AEItot,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439
