ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
TJK,Tajikistan,2009,Wheat,179.742,26.65150293,26.65150293,26.65150293,26.65150293,26.65150293,0,0,0,0,0,26.65150293,26.65150293
TJK,Tajikistan,2009,Rice,14.126,0,0,0,2.094552917,2.094552917,2.094552917,2.094552917,2.094552917,0,0,0,0
TJK,Tajikistan,2009,Barley,18.017,2.671496524,2.671496524,2.671496524,0,0,0,0,0,0,0,2.671496524,2.671496524
TJK,Tajikistan,2009,Maize,14.743,0,0,0,2.186039477,2.186039477,2.186039477,2.186039477,2.186039477,0,0,0,0
TJK,Tajikistan,2009,Other cereals,7.225,0,0,0,1.071297241,1.071297241,1.071297241,1.071297241,1.071297241,0,0,0,0
TJK,Tajikistan,2009,Vegetables one,7.162,0,0,0,1.061955825,1.061955825,1.061955825,1.061955825,0,0,0,0,0
TJK,Tajikistan,2009,Vegetables two,30,0,0,0,0,0,0,0,4.448293042,4.448293042,4.448293042,4.448293042,0
TJK,Tajikistan,2009,Fruits,98.957,14.67299115,14.67299115,14.67299115,14.67299115,14.67299115,14.67299115,14.67299115,14.67299115,14.67299115,14.67299115,14.67299115,14.67299115
TJK,Tajikistan,2009,Sunflower,3.493,0,0,0,0.517929586,0.517929586,0.517929586,0.517929586,0.517929586,0,0,0,0
TJK,Tajikistan,2009,Potatoes,29.901,4.433613675,4.433613675,4.433613675,4.433613675,4.433613675,0,0,0,0,0,0,0
TJK,Tajikistan,2009,Pulses,4.667,0,0,0,0.692006121,0.692006121,0.692006121,0.692006121,0.692006121,0,0,0,0
TJK,Tajikistan,2009,Fodder temporary,8.323,1.234104766,1.234104766,1.234104766,0,0,0,0,0,0,0,1.234104766,1.234104766
TJK,Tajikistan,2009,Fodder permanent,34.043,5.047774667,5.047774667,5.047774667,5.047774667,5.047774667,5.047774667,5.047774667,5.047774667,5.047774667,5.047774667,5.047774667,5.047774667
TJK,Tajikistan,2009,Cotton,237.13,0,0,0,35.16079097,35.16079097,35.16079097,35.16079097,35.16079097,35.16079097,35.16079097,0,0
TJK,Tajikistan,2009,Tobacco,0.21,0,0,0,0.031138051,0.031138051,0.031138051,0.031138051,0.031138051,0,0,0,0
TJK,Tajikistan,2009,Other temporary crops,0.676,0,0,0,0.10023487,0.10023487,0.10023487,0.10023487,0.10023487,0,0,0,0
TJK,Tajikistan,2009,Pasture permanent,40.868,6.059761334,6.059761334,6.059761334,6.059761334,6.059761334,6.059761334,6.059761334,6.059761334,6.059761334,6.059761334,6.059761334,6.059761334
TJK,Tajikistan,2009,AHIfull,729.283,0,0,0,0,0,0,0,0,0,0,0,0
TJK,Tajikistan,2009,AAIfull,674.416,60.77124505,60.77124505,60.77124505,99.78158881,99.78158881,68.69647221,68.69647221,72.08280942,65.38961116,65.38961116,60.78592441,56.33763137
TJK,Tajikistan,2009,Cropping_Intensity,108.1354831,108.1354831,108.1354831,108.1354831,108.1354831,108.1354831,108.1354831,108.1354831,108.1354831,108.1354831,108.1354831,108.1354831,108.1354831
TJK,Tajikistan,2009,AEIfull,742.051,742.051,742.051,742.051,742.051,742.051,742.051,742.051,742.051,742.051,742.051,742.051,742.051
TJK,Tajikistan,2009,Actually_Irrigated,90.88539736,90.88539736,90.88539736,90.88539736,90.88539736,90.88539736,90.88539736,90.88539736,90.88539736,90.88539736,90.88539736,90.88539736,90.88539736
TJK,Tajikistan,2009,AEItot,742.051,742.051,742.051,742.051,742.051,742.051,742.051,742.051,742.051,742.051,742.051,742.051,742.051
