ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
TKM,Turkmenistan,2006,Wheat,917,46.06188467,46.06188467,46.06188467,46.06188467,46.06188467,0,0,0,0,0,46.06188467,46.06188467
TKM,Turkmenistan,2006,Rice,11,0,0,0,0,0,0.552541692,0.552541692,0.552541692,0.552541692,0.552541692,0,0
TKM,Turkmenistan,2006,Vegetables ,29.4,0,0,0,0,0,1.476793249,1.476793249,1.476793249,1.476793249,1.476793249,0,0
TKM,Turkmenistan,2006,Fruits,65,3.265019088,3.265019088,3.265019088,3.265019088,3.265019088,3.265019088,3.265019088,3.265019088,3.265019088,3.265019088,3.265019088,3.265019088
TKM,Turkmenistan,2006,Potatoes,8.8,0.442033353,0.442033353,0.442033353,0.442033353,0.442033353,0,0,0,0,0,0,0
TKM,Turkmenistan,2006,Sugar beet,12,0,0,0,0,0.602772755,0.602772755,0.602772755,0.602772755,0.602772755,0.602772755,0,0
TKM,Turkmenistan,2006,Fodder temporary,93,4.671488849,4.671488849,4.671488849,4.671488849,4.671488849,0,0,0,0,0,4.671488849,4.671488849
TKM,Turkmenistan,2006,Cotton,652,0,0,0,0,32.750653,32.750653,32.750653,32.750653,32.750653,32.750653,32.750653,0
TKM,Turkmenistan,2006,Other temporary crops,100.1,0,0,0,0,0,5.028129395,5.028129395,5.028129395,5.028129395,5.028129395,0,0
TKM,Turkmenistan,2006,Pasture permanent,125.5,6.303998393,6.303998393,6.303998393,6.303998393,6.303998393,6.303998393,6.303998393,6.303998393,6.303998393,6.303998393,6.303998393,6.303998393
TKM,Turkmenistan,2006,AHIfull,2013.8,0,0,0,0,0,0,0,0,0,0,0,0
TKM,Turkmenistan,2006,AAIfull,1990.8,60.74442435,60.74442435,60.74442435,60.74442435,94.09785011,49.97990757,49.97990757,49.97990757,49.97990757,49.97990757,93.053044,60.302391
TKM,Turkmenistan,2006,Cropping_Intensity,101.1553144,101.1553144,101.1553144,101.1553144,101.1553144,101.1553144,101.1553144,101.1553144,101.1553144,101.1553144,101.1553144,101.1553144,101.1553144
TKM,Turkmenistan,2006,AEIfull,1990.8,1990.8,1990.8,1990.8,1990.8,1990.8,1990.8,1990.8,1990.8,1990.8,1990.8,1990.8,1990.8
TKM,Turkmenistan,2006,Actually_Irrigated,100,100,100,100,100,100,100,100,100,100,100,100,100
TKM,Turkmenistan,2006,AEItot,1990.8,1990.8,1990.8,1990.8,1990.8,1990.8,1990.8,1990.8,1990.8,1990.8,1990.8,1990.8,1990.8
