ISO,Country,Year,Irrigated_Crops,Area,1,2,3,4,5,6,7,8,9,10,11,12
TUR,Turkey,2004,Wheat,172,4.089396101,4.089396101,4.089396101,4.089396101,4.089396101,0,0,0,0,0,4.089396101,4.089396101
TUR,Turkey,2004,Barley,86,2.04469805,2.04469805,2.04469805,2.04469805,2.04469805,0,0,0,0,0,2.04469805,2.04469805
TUR,Turkey,2004,Rice ,71,0,0,0,0,1.68806467,1.68806467,1.68806467,1.68806467,1.68806467,0,0,0
TUR,Turkey,2004,Maize,545,0,0,0,0,12.95767951,12.95767951,12.95767951,12.95767951,12.95767951,0,0,0
TUR,Turkey,2004,Vegetables,483,0,0,0,0,11.48359486,11.48359486,11.48359486,11.48359486,11.48359486,0,0,0
TUR,Turkey,2004,Fruits,150,3.566333809,3.566333809,3.566333809,3.566333809,3.566333809,3.566333809,3.566333809,3.566333809,3.566333809,3.566333809,3.566333809,3.566333809
TUR,Turkey,2004,Grapes ,79,1.878269139,1.878269139,1.878269139,1.878269139,1.878269139,1.878269139,1.878269139,1.878269139,1.878269139,1.878269139,1.878269139,1.878269139
TUR,Turkey,2004,Citrus,110,2.61531146,2.61531146,2.61531146,2.61531146,2.61531146,2.61531146,2.61531146,2.61531146,2.61531146,2.61531146,2.61531146,2.61531146
TUR,Turkey,2004,Groundnuts,24,0,0,0,0,0.570613409,0.570613409,0.570613409,0.570613409,0.570613409,0,0,0
TUR,Turkey,2004,Sunflower,550,0,0,0,0,13.0765573,13.0765573,13.0765573,13.0765573,13.0765573,0,0,0
TUR,Turkey,2004,Potatoes,179,0,0,0,0,4.255825012,4.255825012,4.255825012,4.255825012,4.255825012,0,0,0
TUR,Turkey,2004,Pulses,260,0,0,0,0,6.181645269,6.181645269,6.181645269,6.181645269,6.181645269,0,0,0
TUR,Turkey,2004,Sugar beet ,315,0,0,0,7.489300999,7.489300999,7.489300999,7.489300999,7.489300999,7.489300999,0,0,0
TUR,Turkey,2004,Fodder permanent,475,11.29339039,11.29339039,11.29339039,11.29339039,11.29339039,11.29339039,11.29339039,11.29339039,11.29339039,11.29339039,11.29339039,11.29339039
TUR,Turkey,2004,Cotton ,640,0,0,0,15.21635758,15.21635758,15.21635758,15.21635758,15.21635758,15.21635758,15.21635758,0,0
TUR,Turkey,2004,Flowers,17,0,0,0,0,0.404184498,0.404184498,0.404184498,0.404184498,0.404184498,0,0,0
TUR,Turkey,2004,Other temporary crops,50,0,0,0,0,1.188777936,1.188777936,1.188777936,1.188777936,1.188777936,0,0,0
TUR,Turkey,2004,AHIfull,4206,0,0,0,0,0,0,0,0,0,0,0,0
TUR,Turkey,2004,AAIfull,4206,25.48739895,25.48739895,25.48739895,48.19305754,100,93.86590585,93.86590585,93.86590585,93.86590585,34.56966239,25.48739895,25.48739895
TUR,Turkey,2004,Cropping_Intensity,100,100,100,100,100,100,100,100,100,100,100,100,100
TUR,Turkey,2004,AEIfull,4970,4970,4970,4970,4970,4970,4970,4970,4970,4970,4970,4970,4970
TUR,Turkey,2004,Actually_Irrigated,84.6277666,84.6277666,84.6277666,84.6277666,84.6277666,84.6277666,84.6277666,84.6277666,84.6277666,84.6277666,84.6277666,84.6277666,84.6277666
TUR,Turkey,2004,AEItot,4983,4983,4983,4983,4983,4983,4983,4983,4983,4983,4983,4983,4983
