"FCL code","FCL label","HS code","If partial"
"0015","Wheat","100110","*"
"0015","Wheat","100190","*"
"0016","Flour of Wheat","110100","*"
"0016","Flour of Wheat","110311","*"
"0016","Flour of Wheat","110320","*"
"0017","Bran of Wheat","230230","*"
"0018","Macaroni","190211","*"
"0018","Macaroni","190219","*"
"0019","Germ of Wheat","110430","*"
"0020","Bread","190590","*"
"0020","Bread","190510","*"
"0020","Bread","190540","*"
"0021","Bulgur","190430","*"
"0022","Pastry","190590","*"
"0022","Pastry","190520","*"
"0022","Pastry","190531","*"
"0022","Pastry","190532","*"
"0022","Pastry","190540","*"
"0023","Starch of Wheat","110811","*"
"0024","Wheat Gluten","110900","*"
"0026","Wheat-Fermented Beverages","220600","*"
"0027","Rice, paddy","100610","*"
"0028","Rice, Husked","100620","*"
"0029","Rice, Milled (Husked)","100630","*"
"0031","Rice, Milled","100630","*"
"0032","Rice, Broken","100640","*"
"0033","Rice, Gluten","230310","*"
"0034","Starch of Rice","110819","*"
"0035","Bran of Rice","230240","*"
"0036","Oil of Rice Bran","151590","*"
"0037","Cake of Rice Bran","230690","*"
"0038","Flour of Rice","110290","*"
"0038","Flour of Rice","110319","*"
"0038","Flour of Rice","110320","*"
"0039","Rice-Fermented Beverages","220600","*"
"0041","Breakfast Cereals","190410","*"
"0041","Breakfast Cereals","190420","*"
"0041","Breakfast Cereals","190490","*"
"0044","Barley","100300","*"
"0045","Pot Barley","110429","*"
"0046","Barley, Pearled","110419","*"
"0046","Barley, Pearled","110429","*"
"0047","Bran of Barley","230240","*"
"0048","Barley Flour and Grits","110290","*"
"0048","Barley Flour and Grits","110319","*"
"0048","Barley Flour and Grits","110320","*"
"0049","Malt","110710","*"
"0049","Malt","110720","*"
"0050","Malt Extract","190190","*"
"0051","Beer of Barley","220300","*"
"0056","Maize","100510","*"
"0056","Maize","100590","*"
"0057","Germ of Maize","110430","*"
"0058","Flour of Maize","110220","*"
"0058","Flour of Maize","110313","*"
"0058","Flour of Maize","110320","*"
"0059","Bran of Maize","230210","*"
"0060","Oil of Maize","151521","*"
"0060","Oil of Maize","151529","*"
"0061","Cake of Maize","230690","*"
"0063","Maize Gluten","230310","*"
"0064","Starch of Maize","110812","*"
"0066","Beer of Maize","220300","*"
"0067","White Maize","100510","*"
"0067","White Maize","100590","*"
"0068","Popcorn","100510","*"
"0068","Popcorn","100590","*"
"0071","Rye","100200","*"
"0072","Flour of Rye","110320","*"
"0072","Flour of Rye","110319","*"
"0072","Flour of Rye","110210","*"
"0073","Bran of Rye","230240","*"
"0075","Oats","100400","*"
"0076","Oats, Rolled","110412","*"
"0076","Oats, Rolled","110422","*"
"0077","Bran of Oats","230240","*"
"0079","Millet","100820","*"
"0080","Flour of Millet","110290","*"
"0080","Flour of Millet","110319","*"
"0080","Flour of Millet","110320","*"
"0081","Bran of Millet","230240","*"
"0082","Beer of Millet","220300","*"
"0083","Sorghum","100700","*"
"0084","Flour of Sorghum","110290","*"
"0084","Flour of Sorghum","110319","*"
"0084","Flour of Sorghum","110320","*"
"0085","Bran of Sorghum","230240","*"
"0086","Beer of Sorghum","220300","*"
"0089","Buckwheat","100810","*"
"0090","Flour of Buckwheat","110320","*"
"0090","Flour of Buckwheat","110319","*"
"0090","Flour of Buckwheat","110290","*"
"0091","Bran of Buckwheat","230240","*"
"0092","Quinoa","100890","*"
"0094","Fonio","100890","*"
"0095","Flour of Fonio","110290","*"
"0095","Flour of Fonio","110319","*"
"0095","Flour of Fonio","110320","*"
"0096","Bran of Fonio","230240","*"
"0097","Triticale","100890","*"
"0098","Flour of Triticale","110320","*"
"0098","Flour of Triticale","110290","*"
"0098","Flour of Triticale","110319","*"
"0099","Bran of Triticale","230240","*"
"0101","Canary seed","100830","*"
"0103","Mixed grain","100890","*"
"0104","Flour of Mixed Grain","110290","*"
"0104","Flour of Mixed Grain","110319","*"
"0104","Flour of Mixed Grain","110320","*"
"0105","Bran of Mixed Grain","230240","*"
"0108","Cereals, nes","100890","*"
"0109","Infant Food","190110","*"
"0110","Wafers","190590","*"
"0111","Flour of Cereals nes","110290","*"
"0111","Flour of Cereals nes","110319","*"
"0111","Flour of Cereals nes","110320","*"
"0112","Bran of Cereals nes","230240","*"
"0113","Cereal Preparations","110423","*"
"0113","Cereal Preparations","110419","*"
"0113","Cereal Preparations","110429","*"
"0114","Mixes and Doughs","190120","*"
"0115","Food Preparations of Flour, Meal or Malt Extract","190190","*"
"0116","Potatoes","070110","*"
"0116","Potatoes","070190","*"
"0117","Flour of Potatoes","110510","*"
"0117","Flour of Potatoes","110520","*"
"0118","Frozen Potatoes","071010","*"
"0119","Starch of Potatoes","110813","*"
"0120","Potato Offals","230310","*"
"0121","Tapioca of Potatoes","190300","*"
"0122","Sweet potatoes","071420","*"
"0125","Cassava","071410","*"
"0126","Flour of Cassava","110620","*"
"0127","Tapioca of Cassava","190300","*"
"0128","Cassava, Dried","071410","*"
"0129","Starch of Cassava","110814","*"
"0135","Yautia (Cocoyam)","071490","*"
"0136","Taro (Cocoyam)","071490","*"
"0137","Yams","071490","*"
"0149","Roots and tubers nes","071490","*"
"0150","Flour of Roots and Tubers nes","110620","*"
"0151","Roots and Tubers, Dried nes","071490","*"
"0154","Fructose, Chemically Pure","170250","*"
"0155","Maltose, Chemically Pure","170290","*"
"0156","Sugar cane","121299","*"
"0157","Sugar beet","121291","*"
"0158","Cane Sugar","170111","*"
"0159","Beet Sugar","170112","*"
"0160","Maple Sugar and Syrups","170220","*"
"0161","Sugar crops nes","121299","*"
"0162","Sugar, Raw Centrifugal","170112","*"
"0162","Sugar, Raw Centrifugal","170111","*"
"0163","Sugar, Non-Centrifugal","170111","*"
"0164","Sugar, Refined","170191","*"
"0164","Sugar, Refined","170199","*"
"0165","Molasses","170310","*"
"0165","Molasses","170390","*"
"0166","Other Fructose and Syrup","170260","*"
"0167","Sugar and Syrups nes","170290","*"
"0168","Sugar Confectionery","170410","*"
"0168","Sugar Confectionery","170490","*"
"0169","Beet Pulp","230320","*"
"0170","Bagasse","230320","*"
"0172","Glucose and Dextrose","170230","*"
"0172","Glucose and Dextrose","170240","*"
"0173","Lactose","170211","*"
"0173","Lactose","170219","*"
"0175","Isoglucose","170230","*"
"0175","Isoglucose","170240","*"
"0175","Isoglucose","170260","*"
"0175","Isoglucose","170290","*"
"0176","Beans, dry","071339","*"
"0176","Beans, dry","071333","*"
"0176","Beans, dry","071331","*"
"0176","Beans, dry","071332","*"
"0181","Broad beans, dry","071350","*"
"0187","Peas, dry","071310","*"
"0191","Chick-peas, dry","071320","*"
"0195","Cow peas, dry","071339","*"
"0197","Pigeon peas","071390","*"
"0201","Lentils, dry","071340","*"
"0203","Bambara beans","071339","*"
"0205","Vetches","121490","*"
"0210","Lupins","121490","*"
"0211","Pulses nes","071390","*"
"0212","Flour of Pulses","110610","*"
"0213","Bran of Pulses","230250","*"
"0216","Brazil nuts","080121","*"
"0217","Cashew nuts","080131","*"
"0220","Chestnuts","080240","*"
"0221","Almonds","080211","*"
"0222","Walnuts","080231","*"
"0223","Pistachios","080250","*"
"0224","Kolanuts","080290","*"
"0225","Hazelnuts (Filberts)","080221","*"
"0226","Areca nuts","080290","*"
"0229","Brazil Nuts, Shelled","080122","*"
"0230","Cashew Nuts, Shelled","080132","*"
"0231","Almonds, Shelled","080212","*"
"0232","Walnuts, Shelled","080232","*"
"0233","Hazelnuts, Shelled","080222","*"
"0234","Nuts nes","080290","*"
"0234","Nuts nes","080260","*"
"0235","Prepared Nuts","081190","*"
"0235","Prepared Nuts","081290","*"
"0235","Prepared Nuts","200190","*"
"0235","Prepared Nuts","200799","*"
"0235","Prepared Nuts","200819","*"
"0236","Soybeans","120100","*"
"0237","Oil of Soybeans","150710","*"
"0237","Oil of Soybeans","150790","*"
"0238","Cake of Soybeans","230400","*"
"0239","Soya Sauce","210310","*"
"0240","Soya Paste","210390","*"
"0240","Soya Paste","210610","*"
"0241","Soya Curd","210610","*"
"0242","Groundnuts, in shell","120210","*"
"0243","Groundnuts, Shelled","120220","*"
"0244","Oil of Groundnuts","150810","*"
"0244","Oil of Groundnuts","150890","*"
"0245","Cake of Groundnuts","230500","*"
"0246","Prepared Groundnuts","200811","*"
"0247","Peanut Butter","200811","*"
"0249","Coconuts","080119","*"
"0250","Coconuts, Desiccated","080111","*"
"0251","Copra","120300","*"
"0252","Oil of Coconuts","151311","*"
"0252","Oil of Coconuts","151319","*"
"0253","Cake of Copra","230650","*"
"0254","[Oil palm fruit]","120799","*"
"0256","Palm kernels","120999","*"
"0257","Oil of palm","151190","*"
"0257","Oil of palm","151110","*"
"0258","Oil of Palm Kernel","151321","*"
"0258","Oil of Palm Kernel","151329","*"
"0259","Cake of Palm Kernel","230660","*"
"0260","Olives","070990","*"
"0261","Oil of Olives, Virgin","150910","*"
"0262","Olives, Preserved","200490","*"
"0262","Olives, Preserved","071120","*"
"0262","Olives, Preserved","200190","*"
"0262","Olives, Preserved","200570","*"
"0263","Karite Nuts (Sheanuts)","120799","*"
"0264","Butter of Karite Nuts","151590","*"
"0265","Castor Beans","120799","*"
"0266","Oil of Castor Beans","151530","*"
"0267","Sunflower seed","120600","*"
"0268","Oil of Sunflower Seed","151211","*"
"0268","Oil of Sunflower Seed","151219","*"
"0269","Cake of Sunflower Seed","230630","*"
"0270","Rapeseed or colza seed","120510","*"
"0270","Rapeseed or colza seed","120590","*"
"0271","Oil of Rapeseed or Canola oil","151499","*"
