country_code,hemisphere,coverage
AD,northern,entirely
AE,northern,entirely
AF,northern,entirely
AG,northern,entirely
AI,northern,entirely
AL,northern,entirely
AM,northern,entirely
AO,southern,entirely
AQ,southern,entirely
AR,southern,entirely
AS,southern,entirely
AT,northern,entirely
AU,southern,entirely
AW,northern,entirely
AX,northern,entirely
AZ,northern,entirely
BA,northern,entirely
BB,northern,entirely
BD,northern,entirely
BE,northern,entirely
BF,northern,entirely
BG,northern,entirely
BH,northern,entirely
BI,southern,entirely
BJ,northern,entirely
BL,northern,entirely
BM,northern,entirely
BN,northern,entirely
BO,southern,entirely
BQ,northern,entirely
BR,southern,mostly
BS,northern,entirely
BT,northern,entirely
BV,southern,entirely
BW,southern,entirely
BY,northern,entirely
BZ,northern,entirely
CA,northern,entirely
CC,southern,entirely
CD,southern,mostly
CF,northern,entirely
CG,southern,mostly
CH,northern,entirely
CI,northern,entirely
CK,southern,entirely
CL,southern,entirely
CM,northern,entirely
CN,northern,entirely
CO,northern,mostly
CR,northern,entirely
CU,northern,entirely
CV,northern,entirely
CW,northern,entirely
CX,southern,entirely
CY,northern,entirely
CZ,northern,entirely
DE,northern,entirely
DJ,northern,entirely
DK,northern,entirely
DM,northern,entirely
DO,northern,entirely
DZ,northern,entirely
EC,southern,mostly
EE,northern,entirely
EG,northern,entirely
EH,northern,entirely
ER,northern,entirely
ES,northern,entirely
ET,northern,entirely
FI,northern,entirely
FJ,southern,entirely
FK,southern,entirely
FM,northern,entirely
FO,northern,entirely
FR,northern,entirely
GA,southern,mostly
GB,northern,entirely
GD,northern,entirely
GE,northern,entirely
GF,northern,entirely
GG,northern,entirely
GH,northern,entirely
GI,northern,entirely
GL,northern,entirely
GM,northern,entirely
GN,southern,entirely
GP,northern,entirely
GQ,northern,entirely
GR,northern,entirely
GS,southern,entirely
GT,northern,entirely
GU,northern,entirely
GW,northern,entirely
GY,northern,entirely
HK,northern,entirely
HM,southern,entirely
HN,northern,entirely
HR,northern,entirely
HT,northern,entirely
HU,northern,entirely
ID,southern,mostly
IE,northern,entirely
IL,northern,entirely
IM,northern,entirely
IN,northern,entirely
IO,southern,entirely
IQ,northern,entirely
IR,northern,entirely
IS,northern,entirely
IT,northern,entirely
JE,northern,entirely
JM,northern,entirely
JO,northern,entirely
JP,northern,entirely
KE,northern,mostly
KG,northern,entirely
KH,northern,entirely
KI,southern,mostly
KM,southern,entirely
KN,northern,entirely
KP,northern,entirely
KR,northern,entirely
KW,northern,entirely
KY,northern,entirely
KZ,northern,entirely
LA,northern,entirely
LB,northern,entirely
LC,northern,entirely
LI,northern,entirely
LK,northern,entirely
LR,northern,entirely
LS,southern,entirely
LT,northern,entirely
LU,northern,entirely
LV,northern,entirely
LY,northern,entirely
MA,northern,entirely
MC,northern,entirely
MD,northern,entirely
ME,northern,entirely
MF,northern,entirely
MG,southern,entirely
MH,northern,entirely
MK,northern,entirely
ML,northern,entirely
MM,northern,entirely
MN,northern,entirely
MO,northern,entirely
MP,southern,entirely
MQ,northern,entirely
MR,northern,entirely
MS,northern,entirely
MT,northern,entirely
MU,southern,entirely
MV,northern,entirely
MW,southern,entirely
MX,northern,entirely
MY,northern,entirely
MZ,southern,entirely
NA,southern,entirely
NC,southern,entirely
NE,northern,entirely
NF,southern,entirely
NG,northern,entirely
NI,northern,entirely
NL,northern,entirely
NO,northern,entirely
NP,northern,entirely
NR,southern,entirely
NU,southern,entirely
NZ,southern,entirely
OM,northern,entirely
PA,northern,entirely
PE,southern,entirely
PF,southern,entirely
PG,southern,entirely
PH,northern,entirely
PK,northern,entirely
PL,northern,entirely
PM,northern,entirely
PN,southern,entirely
PR,northern,entirely
PS,northern,entirely
PT,northern,entirely
PW,northern,entirely
PY,southern,entirely
QA,northern,entirely
RE,southern,entirely
RO,northern,entirely
RS,northern,entirely
RU,northern,entirely
RW,southern,entirely
SA,northern,entirely
SB,southern,entirely
SC,southern,entirely
SD,northern,entirely
SE,northern,entirely
SG,northern,entirely
SH,southern,entirely
SI,northern,entirely
SJ,northern,entirely
SK,northern,entirely
SL,northern,entirely
SM,northern,entirely
SN,northern,entirely
SO,northern,mostly
SR,northern,entirely
SS,northern,entirely
ST,northern,entirely
SV,northern,entirely
SX,northern,entirely
SY,northern,entirely
SZ,southern,entirely
TC,northern,entirely
TD,northern,entirely
TF,southern,entirely
TG,northern,entirely
TH,northern,entirely
TJ,northern,entirely
TK,southern,entirely
TL,southern,entirely
TM,northern,entirely
TN,northern,entirely
TO,southern,entirely
TR,northern,entirely
TT,northern,entirely
TV,southern,entirely
TW,northern,entirely
TZ,southern,entirely
UA,northern,entirely
UG,northern,mostly
UM,northern,mostly
US,northern,entirely
UY,southern,entirely
UZ,northern,entirely
VA,northern,entirely
VC,northern,entirely
VE,northern,entirely
VG,northern,entirely
VI,northern,entirely
VN,northern,entirely
VU,southern,entirely
WF,southern,entirely
WS,southern,entirely
YE,northern,entirely
YT,southern,entirely
ZA,southern,entirely
ZM,southern,entirely
ZW,southern,entirely
