"HS code","HS label","FCL code","If partial"
"010110","Horses, asses, mules and hinnies; live, pure-bred breeding animals","1096","*"
"010110","Horses, asses, mules and hinnies; live, pure-bred breeding animals","1107","*"
"010190","Horses, asses, mules and hinnies; live, other than pure-bred breeding animals","1096","*"
"010190","Horses, asses, mules and hinnies; live, other than pure-bred breeding animals","1107","*"
"010190","Horses, asses, mules and hinnies; live, other than pure-bred breeding animals","1110","*"
"010190","Mules and hinnies; live","1096","*"
"010190","Mules and hinnies; live","1107","*"
"010190","Mules and hinnies; live","1110","*"
"010210","Bovine animals; live, pure-bred breeding animals","0866","*"
"010210","Bovine animals; live, pure-bred breeding animals","0946","*"
"010290","Bovine animals; live, other than pure-bred breeding animals","0946","*"
"010290","Bovine animals; live, other than pure-bred breeding animals","0866","*"
"010290","Bovine animals; live, other than cattle and buffalo","0866","*"
"010290","Bovine animals; live, other than cattle and buffalo","0946","*"
"010310","Swine; live, pure-bred breeding animals","1034","*"
"010391","Swine; live, (other than pure-bred breeding animals), weighing less than 50kg","1034","*"
"010391","Swine; live, other than pure-bred breeding animals, weighing less than 50kg","1034","*"
"010392","Swine; live, (other than pure-bred breeding animals), weighing 50kg or more","1034","*"
"010392","Swine; live, other than pure-bred breeding animals, weighing 50kg or more","1034","*"
"010410","Sheep; live","0976","*"
"010420","Goats; live","1016","*"
"010511","Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g","1057","*"
"010512","Poultry; live, turkeys, weighing not more than 185g","1079","*"
"010512","Poultry; live, weighing not more than 185g, turkeys","1079","*"
"010519","Poultry; live, weighing not more than 185g, ducks, geese and guinea fowls","1057","*"
"010519","Poultry; live, weighing not more than 185g, ducks, geese and guinea fowls","1068","*"
"010519","Poultry; live, weighing not more than 185g, ducks, geese and guinea fowls","1072","*"
"010594","Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g","1057","*"
"010599","Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","1057","*"
"010599","Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","1068","*"
"010599","Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","1072","*"
"010599","Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","1079","*"
"010611","Mammals; live, primates","1171","*"
"010611","Mammals; live, primates","1169","*"
"010612","Mammals; live, whales, dolphins and porpoises ( mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)","1169","*"
"010612","Mammals; live, whales, dolphins and porpoises ( mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)","1171","*"
"010612","Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","1169","*"
"010612","Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","1171","*"
"010619","Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares","1171","*"
"010619","Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares","1169","*"
"010619","Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares","1157","*"
"010619","Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares","1140","*"
"010619","Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares","1126","*"
"010619","Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares","1150","*"
"010619","Mammals; live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)","1169","*"
"010619","Mammals; live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)","1126","*"
"010619","Mammals; live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)","1140","*"
"010619","Mammals; live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)","1171","*"
"010619","Mammals; live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)","1157","*"
"010619","Mammals; live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)","1150","*"
"010620","Reptiles; live (including snakes and turtles)","1169","*"
"010620","Reptiles; live (including snakes and turtles)","1171","*"
"010631","Animals; live, birds of prey","1083","*"
"010631","Birds; live, birds of prey","1083","*"
"010632","Animals; live, birds, Psittaciformes","1083","*"
"010632","Birds; live, Psittaciformes","1083","*"
"010639","Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)","1083","*"
"010639","Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)","1171","*"
"010639","Animals; live, birds, other than birds of prey and Psittaciformes","1083","*"
"010639","Animals; live, birds, other than birds of prey and Psittaciformes","1171","*"
"010690","Animals; live, n.e.c. in chapter 01, other than mammals, reptiles and birds","1171","*"
"010690","Animals; live, n.e.c. in chapter 01, other than mammals, reptiles and birds","1181","*"
"010690","Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects","1171","*"
"010690","Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects","1181","*"
"020110","Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled","0867","*"
"020110","Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled","0947","*"
"020120","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled","0947","*"
"020120","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled","0867","*"
"020130","Meat; of bovine animals, boneless cuts, fresh or chilled","0947","*"
"020130","Meat; of bovine animals, boneless cuts, fresh or chilled","0870","*"
"020210","Meat; of bovine animals, carcasses and half-carcasses, frozen","0867","*"
"020210","Meat; of bovine animals, carcasses and half-carcasses, frozen","0947","*"
"020220","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen","0867","*"
"020220","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen","0947","*"
"020230","Meat; of bovine animals, boneless cuts, frozen","0870","*"
"020230","Meat; of bovine animals, boneless cuts, frozen","0947","*"
"020311","Meat; of swine, carcasses and half-carcasses, fresh or chilled","1035","*"
"020312","Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled","1035","*"
"020319","Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled","1035","*"
"020319","Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled","1038","*"
"020321","Meat; of swine, carcasses and half-carcasses, frozen","1035","*"
"020322","Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen","1035","*"
"020329","Meat; of swine, n.e.c. in item no. 0203.2, frozen","1035","*"
"020329","Meat; of swine, n.e.c. in item no. 0203.2, frozen","1038","*"
"020410","Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled","0977","*"
"020421","Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled","0977","*"
"020422","Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled","0977","*"
"020423","Meat; of sheep (including lamb), boneless cuts, fresh or chilled","0977","*"
"020430","Meat; of sheep, lamb carcasses and half-carcasses, frozen","0977","*"
"020441","Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen","0977","*"
"020442","Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen","0977","*"
"020443","Meat; of sheep (including lamb), boneless cuts, frozen","0977","*"
"020450","Meat; of goats, fresh, chilled or frozen","1017","*"
"020500","Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen","1111","*"
"020500","Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen","1097","*"
"020500","Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen","1108","*"
"020610","Offal, edible; of bovine animals, fresh or chilled","0868","*"
"020610","Offal, edible; of bovine animals, fresh or chilled","0948","*"
"020621","Offal, edible; of bovine animals, tongues, frozen","0868","*"
"020621","Offal, edible; of bovine animals, tongues, frozen","0948","*"
"020622","Offal, edible; of bovine animals, livers, frozen","0868","*"
"020622","Offal, edible; of bovine animals, livers, frozen","0948","*"
"020629","Offal, edible; of bovine animals, (other than tongues and livers), frozen","0868","*"
"020629","Offal, edible; of bovine animals, (other than tongues and livers), frozen","0948","*"
"020630","Offal, edible; of swine, fresh or chilled","1036","*"
"020641","Offal, edible; of swine, livers, frozen","1036","*"
"020649","Offal, edible; of swine, (other than livers), frozen","1036","*"
"020680","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled","0978","*"
"020680","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled","1018","*"
"020680","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled","1098","*"
"020680","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled","1167","*"
"020690","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen","0978","*"
"020690","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen","1018","*"
"020690","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen","1098","*"
"020690","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen","1167","*"
"020711","Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled","1058","*"
"020711","Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species Gallus domesticus, (not cut in pieces), fresh or chilled","1058","*"
"020712","Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species Gallus domesticus, (not cut in pieces), frozen","1058","*"
"020712","Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen","1058","*"
"020713","Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled","1058","*"
"020713","Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled","1059","*"
"020713","Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled","1058","*"
"020713","Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled","1059","*"
"020714","Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen","1058","*"
"020714","Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen","1059","*"
"020714","Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species Gallus domesticus, cuts and offal, frozen","1058","*"
"020714","Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species Gallus domesticus, cuts and offal, frozen","1059","*"
"020724","Meat and edible offal; of the poultry of heading no. 0105, of turkeys, (not cut in pieces), fresh or chilled","1080","*"
"020724","Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled","1080","*"
"020725","Meat and edible offal; of turkeys, not cut in pieces, frozen","1080","*"
"020725","Meat and edible offal; of the poultry of heading no. 0105, of turkeys, (not cut in pieces), frozen","1080","*"
"020726","Meat and edible offal; of the poultry of heading no. 0105, of turkeys, cuts and offal, fresh or chilled","1080","*"
"020726","Meat and edible offal; of the poultry of heading no. 0105, of turkeys, cuts and offal, fresh or chilled","1081","*"
"020726","Meat and edible offal; of turkeys, cuts and offal, fresh or chilled","1080","*"
"020726","Meat and edible offal; of turkeys, cuts and offal, fresh or chilled","1081","*"
"020727","Meat and edible offal; of the poultry of heading no. 0105, of turkeys, cuts and offal, frozen","1080","*"
"020727","Meat and edible offal; of the poultry of heading no. 0105, of turkeys, cuts and offal, frozen","1081","*"
"020727","Meat and edible offal; of turkeys, cuts and offal, frozen","1080","*"
"020727","Meat and edible offal; of turkeys, cuts and offal, frozen","1081","*"
"020732","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, (not cut in pieces), fresh or chilled","1073","*"
"020732","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, (not cut in pieces), fresh or chilled","1069","*"
"020732","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, (not cut in pieces), fresh or chilled","1058","*"
"020733","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, (not cut in pieces), frozen","1058","*"
"020733","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, (not cut in pieces), frozen","1069","*"
"020733","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, (not cut in pieces), frozen","1073","*"
"020734","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, fatty livers, fresh or chilled (foie gras from ducks or geese only)","1074","*"
"020734","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, fatty livers, fresh or chilled (foie gras from ducks or geese only)","1075","*"
"020735","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, fresh or chilled, poultry cuts or offal (excluding fatty livers)","1074","*"
"020735","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, fresh or chilled, poultry cuts or offal (excluding fatty livers)","1073","*"
"020735","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, fresh or chilled, poultry cuts or offal (excluding fatty livers)","1075","*"
"020735","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, fresh or chilled, poultry cuts or offal (excluding fatty livers)","1059","*"
"020735","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, fresh or chilled, poultry cuts or offal (excluding fatty livers)","1058","*"
"020735","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, fresh or chilled, poultry cuts or offal (excluding fatty livers)","1069","*"
"020736","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, frozen","1058","*"
"020736","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, frozen","1059","*"
"020736","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, frozen","1069","*"
"020736","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, frozen","1073","*"
"020736","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, frozen","1074","*"
"020736","Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, frozen","1075","*"
"020810","Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen","1141","*"
"020810","Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen","1167","*"
"020830","Meat and edible meat offal; of primates, fresh, chilled or frozen","1166","*"
"020830","Meat and edible meat offal; of primates, fresh, chilled or frozen","1167","*"
"020840","Meat and edible meat offal; of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia), fresh, chilled or frozen","1167","*"
"020840","Meat and edible meat offal; of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia), fresh, chilled or frozen","1166","*"
