FCL code,FCL label,HS code,If partial,Irrigated_Crops,Match,,,HS6
254,[Oil palm fruit],120799,*,Grapes,80610,80610,,HS080610
328,[Seed Cotton],520100,*,Sunflower,#N/A,230630,,HS230630
1437,"2,4,5-T and its salts and esters (Trade)",291891,*,Wheat,100110,230240,,HS230240
809,Abaca manila hemp,530500,*,Rice,#N/A,230240,,HS230240
800,Agave fibres nes,530500,*,Barley,100300,100300,,HS100300
2455017,Agricultural machinery nes (trade),843699,*,Vegetables,#N/A,200980,,HS200980
2455017,Agricultural machinery nes (trade),843510,*,Fruits,#N/A,110630,,HS110630
2455017,Agricultural machinery nes (trade),843590,*,Maize,100510,220300,,HS220300
2455017,Agricultural machinery nes (trade),843610,*,Pulses,#N/A,230250,,HS230250
2455017,Agricultural machinery nes (trade),843621,*,Sugar beets,121291,121291,,HS121291
2455017,Agricultural machinery nes (trade),843629,*,Sesame,#N/A,230690,,HS230690
2455017,Agricultural machinery nes (trade),843680,*,Potatoes,70110,110510,,HS110510
2455017,Agricultural machinery nes (trade),843691,*,Sugarcane,121299,121299,,HS121299
2455011,Agricultural tractors,870130,*,Cotton,#N/A,520100,,HS520100
2455011,Agricultural tractors,870190,*,Sweet potatoes,71420,71420,,HS071420
2455009,"Agricultural tractors, total",870110,*,Other temporary crops,#N/A,,,HS
2455009,"Agricultural tractors, total",870130,*,Cassava,71410,71410,,HS071410
2455009,"Agricultural tractors, total",870190,*,Fodder temporary,#N/A,,,HS
632,"Alcohol, Non-Food Purposes",220710,*,Rapeseed,#N/A,230641,,HS230641
632,"Alcohol, Non-Food Purposes",220720,*,Other cereals,#N/A,,,HS
1426,"Aldrin, Chlordane, Heptachlor (Trade)",290352,*,"Fruits (citrus, mango)",#N/A,,,HS
641,Alfalfa for forage,121490,*,Fodder permanent,#N/A,,,HS
862,Alfalfa Meal and Pellets,121410,*,Date palm,#N/A,,,HS
221,Almonds,80211,*,Tobacco,#N/A,240110,,HS240110
231,"Almonds, Shelled",80212,*,Citrus,#N/A,80590,,HS080590
2814,"Ammonia, anhydrous",281410,*,Sorghum,100700,220300,,HS220300
2814,"Ammonia, anhydrous",281420,*,Oil crops,#N/A,,,HS
310230,Ammonium nitrate,310230,*,Wheat winter,#N/A,,,HS
310221,Ammonium sulphate,310221,*,Wheat spring,#N/A,,,HS
1168,Animal Oils and Fats nes,150600,*,Barley winter,#N/A,,,HS
711,"Anise, badian, fennel",90950,*,Barley spring,#N/A,,,HS
711,"Anise, badian, fennel",90940,*,Vineyards,#N/A,,,HS
711,"Anise, badian, fennel",90920,*,Pasture permanent,#N/A,,,HS
711,"Anise, badian, fennel",90930,*,Flowers,#N/A,70410,,HS070410
711,"Anise, badian, fennel",90910,*,Other permanent crops,#N/A,,,HS
518,Apple Juice,200971,*,Sugar beet,#N/A,121291,,HS121291
519,"Apple Juice, Concentrated",200979,*,Tea,90240,210120,,HS210120
515,Apples,80810,*,Rice one,#N/A,,,HS
526,Apricots,80910,*,Vegetables two,#N/A,,,HS
527,"Apricots, Dried",81310,*,Coffee,#N/A,210111,,HS210111
1291,Arabic gum,130120,*,Rice two,#N/A,,,HS
226,Areca nuts,80290,*,Vegetables one,#N/A,,,HS
366,Artichokes,70990,*,Roots,#N/A,121299,,HS121299
367,Asparagus,70920,*,Rice one (Aman),#N/A,,,HS
1107,Asses,10110,*,Rice two (Boro),#N/A,,,HS
1107,Asses,10190,*,Fruits (dates),#N/A,,,HS
572,Avocados,80440,*,Bananas and plantains,#N/A,,,HS
1039,Bacon and Ham,21011,*,Other fruits,#N/A,,,HS
1039,Bacon and Ham,21012,*,Plantains,80300,80300,,HS080300
1039,Bacon and Ham,21019,*,Bananas,80300,80300,,HS080300
170,Bagasse,230320,*,Other roots and tubercules,#N/A,,,HS
2455005,Balers,843340,*,Groundnuts,#N/A,230500,,HS230500
203,Bambara beans,71339,*,Cocoa,#N/A,180100,,HS180100
486,Bananas,80300,*,Soybeans,120100,230400,,HS230400
44,Barley,100300,*,"Fruits (Citrus, etc.)",#N/A,,,HS
48,Barley Flour and Grits,110290,*,Potatoes and other roots,#N/A,,,HS
48,Barley Flour and Grits,110319,*,Rice (Hsien),#N/A,,,HS
48,Barley Flour and Grits,110320,*,Groundnut,#N/A,230500,,HS230500
46,"Barley, Pearled",110419,*,Rice one (Hsien),#N/A,,,HS
46,"Barley, Pearled",110429,*,Vegetables three,#N/A,,,HS
176,"Beans, dry",71339,*,Rice (Keng),#N/A,,,HS
176,"Beans, dry",71333,*,Maize and other cereals two,#N/A,,,HS
176,"Beans, dry",71331,*,Maize and other cereals one,#N/A,,,HS
176,"Beans, dry",71332,*,Potatoes and other tubers,#N/A,,,HS
414,"Beans, green",70820,*,Soybean,#N/A,230400,,HS230400
875,Beef and Veal Preparations nes,160250,*,Leguminous,#N/A,121490,,HS121490
872,"Beef and Veal, Dried, Salted, Smoked",21020,*,Roots and tubers,#N/A,110620,,HS110620
1181,Beehives,10690,*,Permanent fodder,#N/A,,,HS
51,Beer of Barley,220300,*,Barley and other cereals,#N/A,,,HS
66,Beer of Maize,220300,*,Vegetable two,#N/A,,,HS
82,Beer of Millet,220300,*,Vegetable one,#N/A,,,HS
86,Beer of Sorghum,220300,*,"Fruits (lemon, mango, date)",#N/A,,,HS
1183,Beeswax,152190,*,Pasture temporary,#N/A,,,HS
169,Beet Pulp,230320,*,Oil palms,#N/A,,,HS
159,Beet Sugar,170112,*,Industrial crops,#N/A,,,HS
629,Beet Tops,230800,*,Olives,70990,150910,,HS150910
647,Beets for fodder,121490,*,Winter cereals,#N/A,,,HS
558,Berries nes,81020,*,Summer cereals,#N/A,,,HS
558,Berries nes,81040,*,Dates,80410,80410,,HS080410
634,"Beverages, Distilled Alcoholic",220820,*,Figs,80420,80420,,HS080420
634,"Beverages, Distilled Alcoholic",220830,*,Mangoes,80450,80450,,HS080450
634,"Beverages, Distilled Alcoholic",220840,*,Other oil crops,#N/A,,,HS
634,"Beverages, Distilled Alcoholic",220850,*,Sorghum and other cereals,#N/A,,,HS
634,"Beverages, Distilled Alcoholic",220860,*,Other permanent crop,#N/A,,,HS
634,"Beverages, Distilled Alcoholic",220870,*,Cereals,#N/A,230240,,HS230240
634,"Beverages, Distilled Alcoholic",220890,*,Oil palm,#N/A,120799,,HS120799
633,"Beverages, Non-Alcoholic",220290,*,Rubber,#N/A,400110,,HS400110
633,"Beverages, Non-Alcoholic",220210,*,"Fruits (citrus, bananas, mangoes, etc.)",#N/A,,,HS
1435,Binapacryl (Trade),291636,*,Palm (African),#N/A,,,HS
1175,Blood Meal,230110,*,Maize one,#N/A,,,HS
552,Blueberries,81040,*,Maize two,#N/A,,,HS
47,Bran of Barley,230240,*,Rice three,#N/A,,,HS
91,Bran of Buckwheat,230240,*,Potatoes and sweet potatoes,#N/A,,,HS
112,Bran of Cereals nes,230240,*,Millet,100820,220300,,HS220300
96,Bran of Fonio,230240,*,Fibre crops,#N/A,530500,,HS530500
59,Bran of Maize,230210,*,Strawberry,#N/A,,,HS
81,Bran of Millet,230240,*,Maize and other cereals,#N/A,,,HS
105,Bran of Mixed Grain,230240,*,Sunflowers,#N/A,,,HS
