Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,33.30,16.70,9.00,16.90,20.10,19.90,25.80,22.60,41.90,72.20,83.50,59.00
1902,33.30,16.70,9.00,16.90,20.10,19.90,25.80,22.60,41.90,72.20,83.50,59.00
1903,33.30,16.70,9.00,16.90,20.10,19.90,25.80,22.60,41.90,72.20,83.50,59.00
1904,33.30,16.70,9.00,16.90,20.10,19.90,25.80,22.60,41.90,72.20,83.50,59.00
1905,33.30,16.70,9.00,16.90,20.10,19.90,25.80,22.60,41.90,72.20,83.50,59.00
1906,33.30,16.70,9.00,16.90,20.10,19.90,25.80,22.60,41.90,72.20,83.50,59.00
1907,33.30,16.70,9.00,16.90,20.10,19.90,25.80,22.60,41.90,72.20,83.50,59.00
1908,33.30,16.70,9.00,16.90,20.10,19.90,25.80,22.60,41.90,72.20,83.50,59.00
1909,33.30,16.70,9.00,16.90,20.10,19.90,25.80,22.60,41.90,72.20,83.50,59.00
1910,33.30,16.70,9.00,16.90,20.10,19.90,25.80,22.60,41.90,72.20,83.50,59.00
1911,11.10,5.50,3.00,21.90,20.20,44.00,54.80,15.10,39.60,123.80,156.00,74.70
1912,11.10,5.50,3.00,5.60,28.10,25.30,43.90,37.70,26.60,144.20,67.50,88.50
1913,11.10,5.50,3.00,5.60,25.50,25.30,38.10,29.70,51.00,100.90,84.20,33.40
1914,11.10,5.50,3.00,19.70,23.20,20.30,53.50,18.20,42.50,115.10,55.20,26.50
1915,11.10,5.50,3.00,16.50,11.00,53.80,41.30,40.30,24.30,87.20,49.10,36.80
1916,13.10,6.20,3.40,7.40,16.90,13.30,56.00,31.50,33.90,73.20,117.00,70.40
1917,12.50,6.10,10.80,11.50,26.00,13.60,68.20,27.00,40.30,43.30,86.90,101.50
1918,20.40,5.90,5.80,7.40,18.00,22.20,63.60,9.60,30.40,48.30,182.30,20.40
1919,11.10,5.50,5.70,14.50,13.90,8.50,34.90,19.00,39.60,39.80,37.70,23.10
1920,11.10,20.10,7.00,5.60,24.70,26.70,40.00,14.30,40.40,67.70,40.00,26.50
1921,1.80,9.00,10.40,3.80,15.00,4.30,23.30,17.90,33.00,135.70,31.40,77.50
