Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,48.10,31.64,52.19,34.85,54.05,17.20,4.44,2.54,3.09,9.65,12.58,19.31
1902,33.66,35.19,52.92,37.11,16.18,5.82,4.19,2.59,1.72,14.91,39.93,25.54
1903,49.25,51.92,67.34,40.49,56.36,9.42,5.47,5.18,5.24,3.00,13.45,24.40
1904,59.29,33.15,73.13,37.24,35.19,3.03,4.88,4.02,7.72,13.89,18.84,25.59
1905,55.76,35.97,62.09,34.09,26.18,6.76,3.42,3.06,4.55,3.75,8.58,41.11
1906,30.22,76.53,55.01,48.30,26.93,5.16,4.78,5.51,2.34,4.34,9.53,36.64
1907,50.64,51.15,50.94,58.17,38.68,13.82,6.04,4.32,3.10,12.68,12.10,13.19
1908,68.80,51.66,55.47,66.99,21.91,5.76,5.12,6.00,4.12,4.30,6.20,36.53
1909,40.98,53.21,52.99,51.68,31.73,6.50,10.42,3.45,2.58,6.30,9.87,32.02
1910,71.11,43.93,63.68,44.45,25.48,6.33,12.30,12.14,0.93,3.60,7.41,25.88
1911,61.82,43.57,81.20,38.45,33.54,3.11,2.83,2.48,1.17,6.24,16.08,23.52
1912,56.79,45.64,57.20,53.47,24.81,6.45,4.73,4.85,7.72,5.34,9.60,34.06
1913,38.79,51.47,40.93,46.03,24.77,4.23,3.75,5.24,2.73,14.74,19.95,44.18
1914,39.03,61.70,60.19,58.85,18.97,10.48,10.92,4.31,4.38,23.98,44.03,23.38
1915,17.14,54.83,54.88,94.40,12.43,5.12,6.13,2.78,2.45,5.01,7.06,18.72
1916,51.01,38.34,67.08,62.01,24.37,6.38,3.66,14.32,2.67,3.43,5.49,13.37
1917,32.59,33.01,46.27,16.00,13.15,4.37,3.22,9.48,6.63,5.50,5.82,21.44
1918,32.67,49.17,80.92,49.17,17.42,6.71,3.84,3.52,2.96,6.49,17.44,37.47
1919,50.22,48.67,61.82,42.75,24.51,4.29,4.76,10.12,2.30,5.59,11.61,57.98
1920,58.67,51.42,67.93,46.11,25.21,6.39,3.79,3.02,2.75,6.40,17.67,24.29
1921,35.74,40.55,58.43,45.50,22.16,6.95,5.38,7.22,1.06,8.25,16.87,56.61
1922,41.89,69.21,61.93,33.38,34.73,6.93,5.96,6.16,4.97,8.08,12.71,30.21
1923,51.68,66.77,67.38,54.93,31.68,4.59,3.96,10.11,2.59,16.23,9.86,19.51
1924,45.14,74.01,54.97,65.91,47.61,4.22,6.34,3.30,7.30,5.42,15.09,52.49
1925,37.12,42.58,42.06,36.09,30.38,2.24,8.36,5.17,4.59,18.57,18.71,12.60
1926,38.83,53.61,76.58,59.94,23.71,8.77,4.15,6.04,5.34,3.54,12.27,29.21
