Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,92.60,27.20,59.10,49.50,88.30,89.10,125.60,97.40,163.30,123.60,192.20,120.10
1902,94.60,19.40,48.40,78.40,129.90,142.90,74.70,80.40,120.40,72.40,132.00,103.20
1903,47.60,29.70,48.70,57.80,83.50,50.30,111.60,129.80,109.70,114.50,119.40,126.30
1904,64.30,76.40,59.70,71.50,72.00,51.10,77.60,111.00,158.60,117.90,147.30,64.60
1905,94.30,43.30,55.90,49.30,100.60,50.10,82.50,117.00,148.20,149.10,134.50,72.40
1906,42.40,35.90,50.40,68.30,57.10,91.80,112.10,74.40,188.10,73.90,99.70,123.80
1907,63.50,51.70,37.40,36.40,80.80,67.20,79.20,86.00,118.70,100.90,111.40,137.30
1908,87.30,57.00,59.30,50.60,71.90,55.50,69.90,86.60,172.10,79.80,144.90,99.20
1909,73.50,63.50,45.30,54.50,63.00,99.00,69.80,166.70,109.40,104.70,206.50,65.20
1910,96.30,47.70,59.00,60.80,82.60,59.70,66.00,112.80,211.80,75.30,86.10,156.70
1911,82.80,64.40,30.70,73.50,122.50,47.20,90.60,81.70,126.20,90.40,107.50,185.20
1912,60.50,33.10,43.60,91.00,62.20,49.30,52.50,72.10,114.50,140.50,153.50,71.70
1913,85.10,50.40,75.20,71.10,84.20,59.10,56.70,82.70,137.70,130.00,101.50,70.20
1914,58.40,73.90,55.00,58.00,146.00,60.30,65.30,87.40,103.30,79.30,141.10,98.40
1915,72.40,67.50,38.30,106.30,70.40,88.40,82.80,71.30,124.60,77.70,163.00,103.70
1916,66.40,41.70,23.30,58.40,82.60,65.40,103.50,138.10,176.70,138.90,184.60,52.70
1917,49.80,39.40,28.80,61.40,103.00,65.90,86.20,91.10,125.40,76.20,146.90,73.30
1918,51.70,66.90,38.10,56.40,64.90,59.20,78.90,63.80,140.10,105.80,123.10,107.60
1919,66.60,31.80,35.00,100.40,66.50,89.70,120.70,56.60,167.70,89.50,112.70,107.30
1920,97.40,61.00,56.70,34.60,75.70,56.20,68.30,92.10,137.50,94.60,110.60,91.70
1921,102.30,48.30,58.70,53.00,83.00,53.40,115.60,88.30,147.70,99.40,96.10,69.00
1922,87.60,67.20,68.00,50.70,64.90,55.80,69.30,107.10,124.90,90.50,86.60,138.00
1923,52.20,47.80,32.50,86.80,50.50,63.30,64.80,81.10,119.10,108.10,121.30,63.50
1924,62.50,65.60,28.70,65.70,81.70,66.30,77.60,99.50,117.80,84.40,205.60,98.80
1925,59.80,54.80,41.60,86.00,63.60,59.30,77.70,78.20,123.90,84.60,136.10,46.40
1926,78.70,39.70,44.00,54.80,81.50,44.30,105.40,114.00,110.30,125.00,94.70,65.30
1927,75.80,42.60,51.70,71.80,78.10,76.60,114.10,89.60,115.00,165.70,153.90,60.70
1928,62.90,41.10,39.00,42.30,137.30,44.70,83.70,131.90,258.30,95.60,159.80,110.90
1929,79.70,33.90,51.90,43.00,111.00,65.60,55.10,128.10,143.90,85.70,94.00,70.50
1930,121.00,40.20,41.00,46.00,73.80,54.20,51.30,72.00,128.90,88.70,124.00,82.00
1931,44.10,77.00,38.70,91.50,139.90,114.30,107.70,107.60,213.80,122.80,187.20,83.00
1932,86.10,24.40,37.60,84.60,147.00,100.00,94.60,110.60,168.80,104.40,138.50,82.10
1933,61.50,24.60,53.00,74.50,161.10,82.40,73.70,99.70,193.90,96.40,135.10,92.50
1934,87.20,32.10,50.60,44.40,60.20,58.40,97.40,113.40,148.50,84.80,102.90,132.20
1935,60.50,80.90,29.80,61.10,91.80,56.60,74.90,103.00,147.80,112.10,85.60,90.30
1936,55.20,36.70,29.90,51.30,157.00,75.50,124.10,141.20,164.40,103.80,114.70,127.90
1937,65.40,27.40,32.10,63.30,67.70,48.10,65.00,110.80,114.40,87.20,152.20,61.60
