Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,121.31,155.33,131.27,36.56,103.95,140.62,29.18,43.51,73.00,172.81,172.79,200.32
1902,98.41,215.05,134.93,76.17,126.35,37.54,14.05,23.21,110.10,143.55,130.78,140.41
1903,67.54,57.87,108.53,165.39,73.96,70.90,27.72,20.82,23.94,104.82,146.33,219.57
1904,122.58,135.02,98.63,76.78,75.91,86.24,22.68,21.58,83.27,193.96,97.36,121.45
1905,130.46,95.13,103.62,66.75,68.65,57.99,22.20,66.95,61.06,218.07,141.18,61.62
1906,151.16,137.67,85.94,43.98,109.67,168.11,21.50,29.15,67.55,120.59,100.57,250.40
1907,177.17,153.49,65.39,118.13,50.85,71.75,16.66,31.52,26.97,120.90,129.83,168.85
1908,102.42,115.97,81.81,115.21,38.08,20.23,33.52,17.47,48.79,81.76,141.51,202.05
1909,130.51,105.43,116.30,46.64,153.72,35.71,63.17,59.26,125.32,81.02,245.01,154.77
1910,127.94,125.61,91.27,129.98,106.22,46.99,41.80,24.29,131.28,89.60,165.02,166.34
1911,95.27,61.91,66.21,108.97,129.08,43.44,44.15,51.42,111.08,88.57,101.97,128.23
1912,124.70,65.58,86.63,110.10,81.80,47.04,48.02,27.11,113.30,87.67,235.94,106.04
1913,160.93,78.65,49.54,74.10,113.22,83.91,80.37,75.25,66.04,53.33,84.60,155.99
1914,167.75,55.80,123.72,44.44,92.05,69.22,48.54,68.00,56.75,105.70,216.06,186.64
1915,268.67,151.93,113.03,86.59,88.29,159.31,117.54,51.98,102.94,223.37,139.60,136.12
1916,55.12,103.98,130.17,81.98,68.43,31.65,32.77,84.78,115.60,144.64,163.75,225.14
1917,175.21,66.72,102.14,65.75,65.44,17.86,19.16,18.48,27.19,125.35,186.80,168.67
1918,89.93,62.07,85.97,89.68,71.01,57.13,54.27,38.46,33.33,220.46,177.22,122.57
1919,169.87,137.49,128.37,149.79,153.73,31.18,54.31,17.36,85.87,181.36,175.41,119.67
1920,130.18,59.30,88.90,151.26,52.19,70.59,32.85,48.22,29.60,140.42,94.39,122.20
1921,81.53,89.48,59.81,99.00,60.58,88.29,14.60,27.37,31.40,55.61,189.28,137.99
1922,182.27,106.71,103.72,109.43,73.77,27.25,11.99,16.99,77.55,168.62,153.73,114.60
1923,154.92,174.75,106.81,103.83,53.84,78.46,20.89,53.36,51.77,77.24,264.27,237.85
1924,119.62,164.53,97.21,87.03,50.68,52.75,37.65,68.76,62.89,156.70,143.80,83.89
1925,42.76,83.43,110.92,82.34,127.73,52.05,38.11,19.07,76.42,89.92,228.70,141.83
1926,121.78,50.30,64.76,70.62,83.40,125.47,62.27,26.25,42.12,75.93,114.84,246.58
1927,225.41,82.03,115.44,66.13,62.95,20.88,23.99,34.53,78.16,164.18,105.34,258.41
1928,79.85,62.91,171.84,115.91,75.46,18.84,9.15,13.21,103.08,148.87,259.97,160.30
1929,162.45,101.37,59.49,117.18,45.45,76.08,8.31,68.03,84.02,102.16,188.69,115.56
1930,122.48,144.11,77.19,124.24,102.09,78.93,43.70,52.68,57.64,132.33,82.33,183.38
1931,177.27,167.41,96.47,162.18,77.10,26.99,18.70,13.13,85.96,115.26,171.47,152.60
1932,47.97,90.85,159.84,117.09,52.06,34.55,25.21,19.46,54.19,96.46,147.94,116.54
1933,140.28,133.72,55.15,70.36,90.52,72.98,20.58,35.21,47.28,141.34,210.43,231.63
1934,144.96,72.59,90.41,59.20,71.27,77.36,34.52,38.25,61.06,157.79,190.93,150.81
1935,244.40,112.90,94.55,38.84,41.78,36.11,14.06,23.75,45.35,135.32,156.50,292.24
1936,124.47,141.62,113.07,117.07,145.96,114.18,35.96,24.39,73.69,154.63,123.99,109.50
1937,120.61,126.23,99.88,150.61,81.32,82.57,31.74,66.95,84.88,152.06,297.34,258.67
1938,97.07,105.72,33.42,133.82,77.06,16.54,17.51,56.51,55.91,148.55,124.37,237.26
1939,179.24,63.99,176.49,79.50,100.10,80.63,13.45,41.22,146.72,151.85,146.68,238.05
1940,166.72,100.06,72.59,135.93,160.22,89.20,40.04,36.25,38.92,166.51,165.17,223.60
1941,189.85,158.70,48.24,101.70,64.41,35.99,29.05,24.59,64.88,180.54,154.25,107.21
1942,276.96,174.73,71.48,61.51,65.88,60.23,33.73,31.59,35.13,88.21,170.18,113.65
1943,204.45,63.01,46.11,69.83,83.92,63.56,23.93,10.67,74.13,80.73,237.81,163.89
1944,92.91,217.36,163.59,119.79,42.61,60.01,46.78,41.89,77.32,182.65,130.94,145.26
1945,231.65,25.15,44.43,70.77,31.91,36.72,11.98,39.97,135.31,84.53,150.54,201.88
1946,152.46,67.89,71.51,43.22,74.03,19.74,15.98,17.07,29.89,150.21,174.50,223.32
1947,140.55,124.39,45.68,39.41,48.93,76.51,18.71,48.89,64.38,106.04,112.69,223.02
1948,151.25,83.63,23.39,101.15,73.02,69.90,28.32,24.03,62.69,82.97,124.38,55.26
1949,146.53,25.92,152.64,42.04,86.10,52.01,22.95,84.72,99.01,100.89,293.39,106.98
1950,168.05,91.97,95.72,84.91,60.84,29.38,11.58,24.56,77.57,139.43,165.76,259.12
1951,142.12,141.38,113.60,72.99,104.92,37.98,21.90,36.88,90.49,249.70,127.25,143.23
1952,201.42,112.92,53.36,32.74,48.43,12.11,49.42,7.54,57.98,133.08,239.74,252.19
1953,126.34,86.61,55.46,79.05,129.10,76.30,27.13,49.43,69.90,97.45,85.79,148.66
1954,230.71,221.54,137.59,85.88,149.86,25.58,5.70,17.32,37.04,149.23,209.51,130.82
1955,182.94,122.32,107.39,95.09,17.31,35.08,44.67,97.98,167.44,208.91,173.82,64.35
1956,161.68,251.08,104.91,86.46,83.67,92.55,9.06,17.40,23.30,108.45,244.43,102.09
1957,151.88,78.44,37.05,44.95,133.13,33.34,49.97,39.78,78.77,174.45,136.90,161.05
1958,129.04,59.62,154.11,128.81,80.78,49.31,41.99,12.25,62.69,115.34,239.74,174.13
1959,173.38,36.86,84.47,128.48,115.53,104.18,55.47,69.92,105.89,108.46,183.45,173.40
1960,185.25,141.11,106.03,131.74,97.67,32.59,26.82,5.24,127.20,113.14,187.97,232.82
1961,121.89,41.84,53.49,91.91,95.15,63.16,38.84,13.82,9.39,98.37,209.53,129.61
1962,75.26,95.42,220.45,97.06,50.68,42.20,29.55,15.75,71.58,162.12,336.24,181.38
1963,223.00,229.34,102.40,70.87,121.35,80.38,27.67,64.20,61.72,130.18,94.00,184.80
1964,25.28,79.13,144.71,61.24,118.10,72.00,47.34,26.49,86.56,133.33,174.05,196.75
1965,117.25,128.76,58.76,146.20,59.01,37.81,19.44,32.26,31.39,7.77,188.57,179.87
1966,243.57,75.54,84.73,50.45,81.89,40.09,50.76,33.31,57.33,165.74,240.53,199.58
1967,147.22,28.73,42.49,115.67,68.06,74.23,88.83,16.26,115.88,52.14,66.70,210.16
1968,167.90,94.80,73.76,24.50,119.59,101.58,7.81,102.65,59.79,58.32,168.92,255.07
1969,130.43,191.48,171.17,74.96,70.44,78.79,26.70,78.52,74.87,7.74,93.71,346.29
1970,184.44,133.62,108.34,85.47,91.24,33.82,72.72,60.76,46.61,146.94,91.48,133.65
1971,187.73,136.03,180.49,62.30,59.31,40.14,54.94,10.97,143.44,55.50,116.68,80.89
1972,164.12,134.39,66.88,122.57,55.42,25.59,119.78,109.93,116.95,203.57,60.15,69.82
1973,136.99,160.02,130.52,96.68,27.15,33.67,54.79,49.15,133.68,96.63,112.76,175.94
1974,94.68,155.30,93.72,137.15,109.22,50.00,13.19,49.07,120.28,238.62,131.74,66.33
1975,38.99,61.31,101.46,41.29,84.22,53.85,34.47,42.08,32.96,169.00,127.00,80.41
1976,100.39,92.75,76.07,102.58,103.14,89.20,84.92,53.22,47.00,151.87,226.11,163.80
1977,103.01,110.46,42.84,63.55,35.77,23.08,25.14,51.93,97.29,51.14,161.06,101.13
1978,164.89,135.61,114.12,157.88,115.61,31.76,7.87,21.41,143.23,68.79,67.26,160.16
1979,193.79,167.40,75.07,159.15,72.30,56.57,50.69,87.44,38.11,135.36,320.66,142.34
1980,159.79,59.42,137.40,71.30,159.56,50.32,16.76,35.96,34.11,200.36,191.01,167.01
1981,122.60,126.23,79.99,69.00,75.84,28.53,23.72,52.24,93.84,168.43,119.15,225.73
1982,31.46,106.98,122.24,109.48,49.68,20.66,32.82,74.79,71.42,155.02,166.47,184.89
1983,36.20,96.22,51.60,53.18,63.21,138.38,42.68,43.28,74.11,82.79,145.32,199.74
1984,173.07,167.11,116.33,93.85,47.81,18.10,11.01,60.46,92.06,43.82,123.88,70.03
1985,197.48,60.23,139.03,62.04,56.76,24.82,6.81,24.12,25.82,62.90,341.95,65.13
1986,174.28,223.78,109.17,67.59,61.06,94.26,46.32,10.36,52.28,79.78,87.73,83.99
1987,168.01,91.39,167.68,56.01,125.08,47.36,23.73,20.92,33.08,128.90,227.40,117.82
1988,88.34,138.36,97.59,83.78,31.63,46.91,5.33,23.54,79.94,68.25,166.29,110.31
1989,20.62,32.91,62.97,104.77,60.57,93.64,68.34,47.38,57.37,108.90,126.00,82.82
1990,24.71,42.44,17.75,123.45,61.21,23.31,12.12,35.50,42.15,111.83,167.09,267.84
1991,46.24,142.47,72.45,137.86,93.16,34.52,63.36,40.06,59.17,103.02,177.48,54.38
1992,40.28,26.32,47.60,144.42,70.37,93.43,49.24,11.47,43.02,130.21,112.02,142.59
1993,43.45,53.98,110.78,66.57,111.22,32.20,8.69,13.05,79.42,90.33,252.85,133.29
1994,178.80,129.79,27.80,140.57,60.84,57.82,29.09,44.99,35.64,124.52,104.10,132.02
1995,169.39,70.67,120.15,86.78,80.57,51.68,66.42,116.48,105.88,10.63,129.59,262.66
1996,147.67,168.62,127.06,98.86,75.28,25.32,11.02,56.36,160.23,132.35,144.28,180.24
1997,100.46,50.83,36.44,103.93,39.99,31.67,25.45,57.45,20.11,160.91,153.67,172.17
1998,94.74,77.42,35.48,56.84,118.47,26.62,29.70,33.25,138.55,102.59,246.61,147.26
1999,134.75,120.71,120.48,84.45,46.05,61.79,58.24,55.74,77.95,92.70,159.59,234.96
2000,40.90,98.96,47.60,57.83,31.55,34.01,34.56,10.34,70.79,125.57,193.80,129.17
2001,160.31,78.88,67.95,133.95,72.11,29.68,21.55,25.75,70.87,17.45,108.27,127.15
2002,66.08,36.58,79.73,124.30,73.89,25.29,70.87,87.67,161.51,108.93,90.06,263.74
