Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,73.44,62.17,104.35,86.16,66.10,78.51,189.48,55.66,174.68,130.51,36.23,99.62
1902,15.70,79.56,33.33,141.79,109.85,123.73,73.33,142.49,67.05,56.92,112.42,128.85
1903,142.30,13.79,82.33,56.76,82.94,158.02,43.88,25.42,90.02,56.14,39.44,167.01
1904,122.94,58.21,77.27,56.22,40.06,161.28,17.76,48.12,74.28,34.45,50.18,60.50
1905,114.14,19.72,41.85,56.69,122.84,122.90,66.89,81.36,142.25,57.07,162.05,43.50
1906,53.69,78.44,102.55,160.46,40.12,27.19,116.72,9.97,45.48,114.47,75.79,196.27
1907,70.63,45.02,23.72,83.77,119.27,58.47,60.06,25.42,146.70,248.60,160.50,71.82
1908,70.29,41.46,103.75,96.95,70.71,151.73,73.53,94.63,82.12,62.36,106.93,130.22
1909,34.94,32.88,80.22,49.91,92.83,119.76,19.94,68.28,87.26,66.75,125.09,95.01
1910,48.06,67.28,111.83,73.01,175.36,121.60,64.87,78.42,84.15,79.77,92.29,67.45
1911,81.75,30.75,115.85,58.99,177.30,115.03,19.94,31.13,41.99,165.73,100.25,47.78
1912,83.12,53.89,46.54,110.61,60.58,107.95,94.90,69.91,60.34,64.24,60.33,33.84
1913,88.98,114.70,112.63,112.89,123.54,94.85,41.03,69.46,192.61,104.09,45.34,50.07
1914,28.73,60.96,84.44,67.28,171.74,109.48,143.22,127.35,70.89,106.88,133.96,59.37
1915,93.33,82.82,82.65,127.71,233.00,133.74,110.95,58.17,74.66,99.33,122.08,99.20
1916,12.55,148.99,68.31,103.26,58.37,50.83,115.61,36.35,83.91,76.91,114.12,142.62
1917,62.97,141.60,56.61,102.43,182.10,126.71,46.00,63.69,39.79,68.10,69.24,250.89
1918,42.98,5.48,158.20,105.30,81.93,82.27,72.68,51.28,64.38,154.76,190.36,23.14
1919,88.65,101.45,86.01,57.63,119.02,116.13,63.75,16.65,154.10,192.45,126.82,38.25
1920,59.49,77.62,115.34,32.02,58.36,165.19,114.06,48.61,99.19,172.84,172.78,129.46
1921,14.51,114.62,88.29,75.79,236.92,47.78,51.98,95.71,95.12,63.69,112.05,44.12
1922,78.78,49.49,115.88,87.30,53.82,254.90,96.77,74.78,82.34,79.65,53.74,28.87
1923,28.14,48.70,99.84,148.80,116.69,36.54,30.94,53.75,110.36,21.84,134.17,83.33
1924,68.40,47.00,67.76,53.84,42.22,70.88,35.01,107.84,56.54,60.59,128.17,55.48
1925,14.53,58.17,89.09,71.04,127.60,29.98,74.78,56.84,32.66,123.84,142.91,40.59
1926,115.56,42.54,46.81,113.38,149.70,61.98,61.90,162.09,87.65,135.99,153.14,48.76
1927,23.36,60.69,91.07,26.54,113.06,76.71,49.09,46.46,124.82,91.37,91.06,207.77
1928,32.16,75.20,171.41,105.07,52.90,23.85,14.88,27.20,54.62,127.67,117.52,62.23
1929,29.92,43.34,36.33,55.50,90.40,113.16,20.52,95.52,83.73,108.82,78.22,51.28
1930,240.37,140.70,145.63,72.47,132.38,120.79,84.67,77.10,70.03,128.47,53.68,88.51
1931,24.61,52.86,226.68,70.56,105.37,29.60,24.05,68.85,98.54,118.63,148.55,20.82
1932,33.35,59.08,159.05,102.62,146.39,185.08,222.21,103.88,137.19,41.39,125.76,279.88
1933,65.95,49.11,89.56,68.34,77.99,152.90,39.21,15.63,204.60,77.60,152.63,139.41
1934,22.69,38.16,51.46,163.01,45.13,81.31,57.02,109.31,50.09,47.04,250.58,76.96
1935,33.56,35.73,164.97,48.06,187.25,28.07,54.11,122.30,90.33,63.80,79.93,108.67
1936,64.54,64.42,165.02,133.00,203.81,115.65,61.19,44.36,174.49,63.13,202.01,26.04
1937,78.60,45.65,118.61,57.53,69.12,149.52,28.76,75.69,86.96,179.92,36.07,33.63
1938,18.63,39.25,33.09,65.09,175.23,58.75,59.76,194.39,162.18,96.30,56.59,121.27
1939,110.99,55.01,102.33,80.22,120.36,138.91,36.05,152.83,149.80,47.54,76.89,203.72
1940,61.28,56.82,55.52,50.88,131.66,154.05,85.19,57.95,112.80,135.11,33.90,47.50
1941,206.11,70.05,40.69,82.07,125.14,93.98,92.31,141.39,126.03,50.35,155.06,26.66
1942,41.90,44.53,77.41,203.69,31.04,101.97,20.12,67.39,116.21,128.98,26.11,77.53
1943,48.28,35.00,129.13,36.20,91.47,56.39,156.25,82.09,88.50,174.65,104.51,195.09
1944,4.80,165.90,27.62,105.18,105.17,90.87,45.35,130.83,134.21,33.75,65.32,113.49
1945,111.35,2.59,49.68,20.36,75.88,40.22,40.89,104.69,53.32,38.58,81.21,166.19
1946,90.85,3.24,46.14,164.32,188.45,105.70,17.79,118.09,67.01,98.17,28.71,59.71
1947,43.12,161.92,97.74,18.52,82.48,35.81,112.98,92.65,89.89,128.27,50.30,79.57
1948,103.82,66.64,81.19,64.04,155.66,56.91,77.19,48.26,94.13,87.99,5.11,84.22
1949,16.77,18.33,95.22,21.38,197.34,112.17,36.69,102.22,109.12,47.75,108.23,75.23
1950,20.75,43.45,71.24,77.03,84.73,51.51,27.79,139.99,71.94,41.52,43.80,109.75
1951,60.18,145.29,147.97,89.12,162.77,99.24,66.49,136.40,82.80,163.52,146.95,63.17
1952,41.53,57.71,94.13,77.02,104.04,63.20,137.13,49.72,50.15,133.83,55.42,68.92
1953,4.37,10.38,25.85,40.13,65.64,227.13,56.46,103.95,117.75,122.87,16.67,139.07
1954,17.54,78.70,143.37,83.73,156.15,106.96,56.85,48.12,87.24,31.01,38.14,49.94
1955,232.05,112.93,43.62,16.62,66.30,179.28,113.67,128.51,92.47,71.96,67.97,120.63
1956,45.71,38.90,206.98,105.60,85.32,113.35,76.36,89.23,124.05,45.17,58.46,12.95
1957,20.22,54.23,46.98,151.91,163.88,165.03,60.60,107.06,60.47,98.67,77.64,72.31
1958,69.71,10.82,95.45,47.56,42.44,71.26,86.07,70.90,78.60,59.01,94.21,225.35
1959,19.59,172.27,217.59,74.25,93.04,74.25,51.94,157.14,181.34,149.64,69.77,152.35
1960,114.47,93.34,200.26,18.54,58.71,156.76,156.75,79.37,135.72,160.20,77.16,139.62
1961,62.16,26.42,15.50,94.80,105.66,107.84,42.75,57.30,85.30,81.12,165.65,51.78
1962,126.50,79.99,103.54,122.84,94.30,121.74,28.40,33.27,132.82,110.74,270.77,93.31
1963,139.14,88.04,35.36,129.15,73.07,190.35,104.17,162.28,211.19,55.09,138.97,110.22
1964,9.82,148.25,114.86,80.39,148.40,82.99,98.12,90.57,112.41,60.24,123.52,97.92
1965,61.88,35.58,94.44,32.33,88.66,49.19,65.38,92.18,174.15,232.23,112.39,115.76
1966,73.26,135.33,23.69,85.74,137.95,51.90,86.90,100.81,59.99,183.65,99.14,49.12
1967,47.32,74.97,84.82,65.50,69.33,54.45,45.44,65.28,78.17,70.42,208.55,28.96
1968,20.45,103.73,57.81,73.82,143.73,134.85,38.14,163.21,59.07,15.68,280.22,104.40
1969,56.80,89.40,192.98,193.13,94.46,104.05,153.19,98.22,172.60,85.39,66.75,77.85
1970,106.08,23.46,69.97,40.44,127.07,105.92,28.93,51.49,22.61,183.84,64.95,103.89
1971,86.69,34.99,106.93,140.64,161.15,90.15,80.07,46.77,175.65,67.10,92.89,283.04
1972,145.85,143.24,89.69,98.27,135.93,171.31,94.60,99.02,148.28,79.60,81.16,74.29
1973,49.55,37.76,26.81,51.51,48.00,119.53,72.72,69.97,58.61,19.58,38.15,285.37
1974,52.55,78.31,169.59,102.58,107.18,112.29,86.66,96.16,123.59,91.07,65.09,8.88
1975,72.81,59.51,99.29,39.58,166.83,146.98,33.86,218.69,95.24,38.29,52.29,70.68
1976,22.67,60.42,34.00,131.21,95.87,56.57,86.30,133.19,109.10,142.10,66.77,130.91
1977,144.70,38.93,53.89,103.43,279.16,159.73,162.88,100.48,25.53,150.51,57.62,88.69
1978,86.92,106.11,122.11,129.59,94.90,107.91,33.81,52.44,48.78,28.40,4.21,103.11
1979,316.75,82.46,115.83,68.83,80.23,103.93,31.98,78.27,64.82,222.91,33.01,52.84
1980,69.43,51.15,70.65,55.94,136.21,77.97,55.98,97.85,59.85,64.98,141.74,42.98
1981,75.94,62.22,72.05,117.71,84.57,150.59,78.78,38.72,102.50,52.80,8.27,179.51
1982,130.72,181.10,137.17,45.82,62.18,72.13,78.28,167.71,77.24,103.51,180.50,45.41
1983,6.15,80.95,19.81,77.12,51.20,111.81,18.26,164.74,25.66,84.98,165.07,90.17
1984,42.00,61.88,151.80,46.52,203.57,66.30,27.97,89.80,95.65,30.06,198.95,59.94
1985,46.59,44.29,55.60,76.12,160.18,84.37,69.00,44.79,14.37,71.90,101.46,60.24
1986,124.88,56.48,44.97,111.79,66.90,30.18,37.16,46.31,74.60,88.99,36.38,43.29
1987,96.57,91.61,49.83,61.40,93.28,38.99,133.28,72.51,46.79,248.74,55.18,108.81
1988,188.18,21.63,38.87,206.28,133.85,180.37,25.99,19.21,60.51,62.57,129.72,12.29
1989,33.17,74.05,58.10,132.05,47.89,60.34,28.87,116.57,103.51,31.00,241.84,65.45
