Variable:,pr
Country:,"United Arab Emirates"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,5.69,18.73,23.39,7.06,1.85,0.17,0.15,0.87,0.08,0.21,1.08,7.37
1902,5.39,17.10,13.29,7.96,1.75,0.17,0.15,0.87,0.08,0.37,1.09,7.12
1903,6.24,17.21,13.60,8.64,1.75,0.54,0.15,0.87,0.08,0.21,1.21,5.64
1904,5.53,16.49,15.24,6.79,2.33,0.17,0.15,0.87,0.08,0.21,4.23,5.18
1905,7.90,25.12,32.75,6.69,1.75,0.17,0.15,0.87,0.08,0.21,1.92,5.96
1906,6.75,23.40,27.33,6.69,1.86,0.22,0.15,1.38,0.08,0.21,1.06,11.46
1907,5.86,32.99,13.24,10.12,1.85,0.17,0.15,0.87,0.08,0.21,1.92,5.69
1908,6.25,15.85,16.77,7.27,1.75,0.17,0.15,0.87,0.08,0.21,1.04,5.87
1909,14.92,15.75,13.24,7.05,1.75,0.17,0.15,0.87,0.08,0.21,1.19,13.96
1910,7.90,15.85,17.49,6.73,1.89,0.17,0.15,0.87,0.08,0.21,1.04,11.38
1911,10.93,16.43,18.53,6.78,1.75,0.17,0.15,0.87,0.08,0.21,4.28,6.24
1912,10.49,18.62,13.54,21.76,1.75,0.17,0.15,1.07,0.08,0.21,1.92,10.51
1913,5.63,37.37,20.72,6.69,1.77,0.17,0.15,0.87,0.08,0.21,1.04,7.72
1914,5.93,24.54,14.54,7.06,1.85,0.22,0.54,1.38,0.08,0.34,1.59,8.81
1915,6.25,16.58,14.89,11.68,1.85,0.17,0.15,0.87,0.08,0.21,1.08,6.40
1916,13.48,22.23,15.56,21.19,1.85,0.17,0.15,1.07,0.08,0.34,1.08,5.28
1917,10.47,20.08,13.87,7.36,1.85,0.17,0.15,0.87,0.08,0.21,1.08,9.12
1918,6.00,16.40,17.29,8.20,1.85,0.17,0.15,0.87,0.08,0.21,1.08,11.55
1919,7.44,20.66,20.68,7.06,2.16,0.17,0.15,0.87,0.08,0.21,1.08,5.28
1920,6.17,19.12,14.21,7.06,1.85,0.17,0.15,0.87,0.08,0.21,1.77,5.28
1921,6.00,16.40,13.87,7.06,1.85,0.17,0.15,0.87,0.08,0.21,5.51,7.69
1922,6.17,17.56,13.87,7.06,1.85,0.17,0.15,0.87,0.08,0.21,1.08,5.28
1923,6.25,17.93,13.87,12.24,1.85,0.17,0.15,0.87,0.08,0.21,4.62,11.55
1924,5.93,17.56,13.87,7.06,1.85,0.17,0.15,0.87,0.08,0.21,1.08,8.33
1925,6.25,16.77,15.56,7.06,1.85,0.17,0.15,0.87,0.08,0.34,1.25,5.28
1926,7.68,16.40,16.92,7.92,1.85,0.17,0.15,0.87,0.08,0.21,1.08,10.43
1927,5.69,19.69,13.87,8.52,1.85,0.17,0.68,0.87,0.08,0.21,2.87,6.73
1928,9.19,26.60,13.41,6.69,1.75,0.17,0.15,0.87,0.08,0.21,1.59,8.71
1929,6.02,16.94,13.46,6.69,1.75,0.17,0.15,0.87,0.08,0.21,7.08,7.77
1930,7.31,16.00,13.73,7.76,1.75,0.17,0.15,0.87,0.08,0.21,1.04,5.70
1931,7.62,23.16,17.15,8.96,2.27,0.22,0.25,1.07,0.08,0.34,1.55,6.76
1932,6.95,20.35,18.39,8.42,2.92,0.22,0.25,1.07,0.08,0.34,1.55,8.33
1933,7.16,20.90,17.17,9.12,2.36,0.22,0.25,1.07,0.08,0.34,1.55,6.71
1934,6.95,20.38,19.14,8.70,2.27,0.22,0.25,1.07,0.08,0.34,1.74,7.30
1935,6.95,21.70,17.66,8.69,2.27,0.22,0.25,1.07,0.08,0.34,1.60,7.37
1936,7.30,17.35,23.56,6.72,1.82,0.17,0.15,0.87,0.08,0.21,3.20,5.28
1937,7.91,24.72,13.99,6.85,1.75,0.17,0.15,0.87,0.08,0.21,1.29,9.37
1938,5.70,16.86,13.26,6.69,1.75,0.17,0.15,0.87,0.08,0.34,1.04,8.73
1939,5.52,30.61,14.17,9.25,1.75,0.17,0.15,0.87,0.08,0.21,1.04,9.09
1940,7.30,16.04,16.73,6.74,1.84,0.17,0.15,0.87,0.08,0.21,1.08,13.87
1941,5.39,17.07,18.69,9.99,1.75,0.17,0.15,0.87,0.08,0.21,1.04,5.08
1942,5.71,23.66,13.24,6.77,1.75,0.17,0.15,0.87,0.08,0.21,1.04,6.56
1943,12.57,20.69,17.64,8.45,2.27,0.22,0.25,1.07,0.08,0.34,1.55,7.35
1944,6.95,20.35,17.20,8.42,2.27,0.22,0.25,1.07,0.08,0.34,1.27,8.31
1945,6.29,15.82,13.51,6.69,1.75,0.17,0.25,1.07,0.08,0.34,1.55,6.90
1946,5.42,20.35,17.16,6.69,1.76,0.17,0.15,0.87,0.08,0.21,1.04,7.29
1947,5.72,16.67,18.51,6.69,2.67,0.17,0.15,1.07,0.08,0.34,1.59,7.89
1948,7.72,25.35,23.21,7.72,1.76,0.17,0.25,1.07,0.08,0.34,1.55,7.30
1949,7.07,20.72,17.61,8.42,2.35,0.22,0.25,1.07,0.08,0.34,1.70,8.38
1950,6.73,16.51,14.64,6.92,1.99,0.17,0.23,0.87,0.08,0.34,1.55,6.72
1951,5.46,16.33,35.29,6.71,1.76,0.17,0.15,0.87,0.08,0.34,1.04,6.73
1952,9.64,15.75,13.78,7.07,2.10,0.17,0.15,0.87,0.08,0.21,1.04,7.85
1953,5.56,21.37,13.49,6.69,2.24,0.17,0.15,0.87,0.08,0.21,1.04,7.60
1954,6.22,21.49,13.48,6.95,1.76,0.17,0.15,0.87,0.08,0.21,1.28,5.51
1955,14.03,17.17,39.27,6.70,2.08,0.17,0.15,0.87,0.08,0.21,1.04,8.91
1956,6.73,18.29,13.59,6.77,1.75,0.17,0.25,0.87,0.08,0.21,1.04,6.89
1957,15.75,15.28,12.10,18.01,2.22,0.17,0.10,0.82,0.02,0.21,3.36,18.10
1958,14.28,14.28,11.53,5.99,1.69,0.17,0.58,0.82,0.02,0.09,0.76,8.42
