Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.96,20.41,35.86,46.52,125.84,88.39,20.56,21.66,53.66,100.16,45.50,25.09
1902,17.93,26.97,40.21,54.65,85.78,57.61,34.27,54.98,52.55,40.30,40.45,15.26
1903,36.10,37.59,28.67,47.25,72.78,81.93,75.00,38.34,21.42,19.29,21.36,27.07
1904,20.91,9.87,55.46,59.50,130.08,70.98,47.78,38.71,60.20,55.76,57.53,49.91
1905,28.73,12.52,35.06,55.18,78.93,84.24,55.93,67.16,21.75,40.58,19.91,43.77
1906,23.28,16.96,25.95,23.09,99.53,63.32,105.76,44.60,28.76,28.26,41.34,53.33
1907,25.76,24.86,40.03,41.41,47.51,39.76,76.78,32.76,59.16,33.62,61.28,18.41
1908,36.01,13.36,55.42,62.64,86.60,72.07,30.16,12.34,27.76,31.71,70.24,33.59
1909,21.44,24.32,39.59,49.68,54.26,102.68,26.30,80.52,59.31,63.53,24.87,13.90
1910,21.85,27.38,34.64,61.51,106.93,54.39,46.60,30.33,57.88,14.71,30.62,7.41
1911,17.76,16.80,38.63,72.04,105.47,74.93,26.80,37.52,41.24,21.23,28.85,20.30
1912,14.74,35.17,32.86,77.84,110.97,66.33,62.19,28.49,15.98,88.40,25.15,20.56
1913,25.39,29.63,31.73,46.79,106.44,26.47,40.60,4.65,35.48,41.98,32.15,14.51
1914,32.72,4.23,37.89,81.43,79.55,119.39,59.71,30.91,38.39,53.89,53.29,26.47
1915,20.17,17.90,72.95,100.48,96.71,153.58,72.81,46.46,22.17,41.59,13.54,11.75
1916,12.18,29.95,25.27,60.30,126.26,51.23,56.44,20.28,61.17,10.06,25.25,22.93
1917,14.58,28.00,26.27,50.89,90.14,43.99,9.91,62.66,24.27,26.09,26.88,12.75
1918,16.16,23.28,11.88,62.93,90.88,99.91,42.68,69.75,14.63,36.03,33.31,29.29
1919,15.92,35.53,58.57,80.20,98.64,102.65,56.60,21.87,34.52,44.09,42.71,19.81
1920,30.36,28.50,46.48,61.04,134.42,117.32,71.14,57.58,96.33,77.81,54.99,9.77
1921,17.05,23.06,44.58,106.44,30.27,81.41,56.81,40.78,29.79,23.73,55.50,30.61
1922,41.88,26.25,21.85,80.63,49.65,106.00,104.52,84.44,53.94,44.26,38.16,14.58
