Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,67.60,36.40,40.30,56.60,91.10,69.90,79.10,123.90,140.00,134.20,113.40,87.90
1902,59.10,28.20,40.80,48.50,142.10,95.50,89.60,116.30,129.90,110.60,134.30,89.90
1903,51.00,33.60,29.80,95.50,75.80,94.80,77.70,155.50,141.30,114.10,92.00,95.10
1904,81.70,35.50,49.20,46.00,90.90,51.10,79.60,113.10,172.40,128.50,79.30,79.30
1905,61.60,30.60,46.90,52.20,75.30,68.60,66.50,112.50,155.20,152.00,118.80,67.10
1906,58.00,31.20,37.30,56.70,85.40,80.00,80.10,123.50,174.80,125.90,111.40,72.00
1907,57.50,30.60,39.70,52.60,91.80,59.60,75.40,107.90,123.50,138.70,93.90,91.80
1908,56.10,23.50,30.10,54.70,63.90,72.10,82.90,101.60,138.40,111.80,81.90,120.00
1909,67.00,36.80,40.20,56.60,90.90,69.90,78.90,125.30,139.30,134.10,113.50,87.40
1910,71.40,44.50,46.60,35.50,157.10,75.50,80.60,127.70,127.20,96.00,87.00,71.50
1911,67.30,36.80,40.00,56.70,91.30,69.30,79.30,124.20,139.60,133.90,112.30,88.80
1912,66.90,36.50,40.10,56.80,90.90,69.40,78.80,123.80,139.30,134.40,113.00,87.50
1913,67.30,36.70,40.30,56.70,90.90,69.50,78.90,123.80,139.60,135.00,112.60,87.50
1914,67.00,36.80,40.30,56.60,91.80,69.50,78.80,124.20,139.30,133.80,112.70,88.00
1915,67.30,36.70,40.20,56.90,91.00,69.60,79.20,123.90,139.60,134.00,113.20,87.60
1916,67.30,36.60,40.00,56.70,91.00,69.60,79.10,125.00,140.70,134.30,112.90,87.50
1917,67.00,36.50,40.10,56.60,91.40,69.60,79.40,124.10,139.70,133.60,113.00,87.60
1918,67.20,36.50,40.10,56.50,90.80,69.50,79.00,123.70,139.60,133.90,112.70,87.80
1919,67.10,36.40,40.20,57.00,90.80,69.70,79.70,123.80,140.70,134.00,112.70,87.70
1920,67.60,36.70,40.30,56.40,90.80,69.40,79.10,124.30,139.50,134.10,112.50,87.60
1921,67.60,36.60,40.30,56.70,90.90,69.40,79.80,124.10,140.00,134.10,112.40,87.50
1922,67.50,36.70,40.30,56.60,90.80,69.30,79.20,124.20,139.40,134.00,112.30,87.90
1923,67.10,36.40,40.10,56.70,90.80,69.70,79.00,124.10,139.30,134.40,112.70,87.30
1924,67.10,36.50,40.10,56.70,91.00,69.60,79.00,124.30,139.10,133.80,113.10,87.60
1925,67.00,36.50,40.10,56.70,90.80,69.60,79.10,124.00,139.50,133.90,113.30,87.30
1926,67.30,36.50,40.20,56.50,90.80,69.30,79.30,124.20,139.20,134.40,112.30,87.50
1927,67.30,36.70,40.40,56.80,90.90,69.60,79.10,124.00,139.50,135.30,112.90,87.50
1928,67.20,36.40,40.10,56.50,91.40,69.30,79.10,124.50,141.00,134.10,113.00,87.80
