Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,52.24,89.83,88.30,30.48,21.40,23.86,18.17,27.00,15.70,18.92,15.40,23.92
1902,68.04,57.55,25.93,8.00,10.75,16.81,11.17,11.66,13.72,18.57,25.67,51.06
1903,64.89,58.11,75.77,47.80,30.58,23.35,25.23,17.17,30.72,23.65,39.91,86.36
1904,88.09,86.07,60.94,40.06,38.51,21.60,32.90,11.59,16.23,38.64,17.58,47.96
1905,71.68,44.34,31.47,42.69,33.04,22.04,21.20,10.74,13.34,20.34,20.19,31.98
1906,61.77,84.32,65.93,11.93,25.04,26.52,20.10,26.88,32.16,29.41,36.12,66.80
1907,78.94,73.24,56.41,18.32,22.15,36.53,25.59,16.17,9.49,17.39,37.08,88.00
1908,58.46,94.74,79.37,39.87,26.29,26.13,20.97,19.12,16.20,25.25,28.92,43.83
1909,72.83,56.91,52.00,38.03,22.72,45.80,17.45,35.06,12.12,23.74,42.09,47.02
1910,86.78,79.44,74.15,27.06,30.39,43.38,28.97,11.67,20.80,24.48,43.90,70.48
1911,88.28,91.09,39.01,34.43,25.04,18.21,21.22,12.44,14.28,17.39,30.55,58.22
1912,40.06,76.41,70.31,12.36,11.83,37.28,35.26,11.80,13.96,19.88,32.13,33.93
1913,78.53,102.22,75.03,28.45,27.87,28.35,13.49,13.54,16.50,20.40,15.52,55.71
1914,97.72,48.21,58.14,27.84,26.98,21.27,17.41,6.64,7.04,19.73,38.23,69.95
1915,82.68,55.60,23.69,16.92,36.80,29.87,19.08,19.57,21.72,17.04,15.09,55.05
1916,77.66,66.98,48.13,24.44,19.71,41.73,38.21,21.46,20.17,48.17,54.70,81.84
1917,104.08,80.03,72.37,21.36,23.06,30.54,25.08,24.96,34.01,29.58,60.90,68.40
1918,126.54,109.47,34.44,29.28,24.57,19.41,17.21,24.66,8.96,12.70,19.05,32.56
1919,71.80,88.44,36.09,32.22,27.54,13.72,11.43,17.28,9.89,12.72,19.59,49.84
1920,95.46,47.42,36.83,40.90,25.56,37.63,36.12,29.63,28.00,31.87,46.53,62.04
1921,66.97,89.04,97.11,26.04,51.72,42.26,28.16,19.06,21.72,25.55,23.98,64.54
1922,56.10,85.32,57.28,22.57,26.46,22.03,24.27,12.59,12.71,21.84,16.55,79.01
1923,61.59,33.44,57.22,30.88,24.09,54.27,23.81,10.92,15.29,17.87,16.40,72.53
1924,53.73,93.13,49.43,27.05,13.43,19.89,16.01,21.44,19.56,31.56,53.40,45.15
1925,94.83,82.46,68.91,18.38,26.60,21.14,19.49,14.97,13.31,9.15,28.37,35.87
1926,77.90,33.86,68.51,31.78,33.73,18.56,17.65,13.96,21.95,11.82,17.74,63.80
1927,82.69,64.26,61.99,17.02,13.96,33.77,17.73,12.05,15.10,23.13,33.64,53.45
1928,51.33,91.07,57.63,27.56,14.66,24.75,20.45,8.56,9.17,17.07,22.16,47.71
1929,67.47,71.50,64.22,34.15,21.66,25.07,9.29,14.43,10.48,14.50,25.81,43.99
1930,83.73,87.92,46.90,20.58,30.31,29.42,21.23,22.16,9.78,42.44,26.59,65.66
1931,69.05,32.93,68.43,44.01,41.42,36.85,20.46,14.34,17.75,15.98,38.54,46.24
1932,49.95,49.45,57.12,31.83,35.53,21.98,16.98,22.07,15.61,24.25,26.23,52.88
1933,50.22,65.90,51.68,28.13,25.82,25.40,31.70,22.56,20.95,23.16,48.67,62.15
1934,70.74,87.69,61.31,42.99,10.83,23.44,30.36,17.16,13.42,35.03,45.13,25.90
1935,64.97,46.00,66.09,19.98,13.20,19.72,22.97,17.25,20.58,27.22,16.79,27.95
1936,67.87,77.48,63.35,19.59,27.44,25.33,26.65,16.00,9.80,16.08,21.23,63.72
1937,103.81,51.44,65.27,15.64,16.91,23.16,9.72,17.92,10.35,18.53,32.60,38.94
1938,77.51,91.41,22.06,14.49,22.59,27.35,27.45,16.56,6.82,21.65,37.36,20.73
1939,89.66,97.28,66.48,38.69,16.95,37.99,24.81,26.71,7.39,27.70,39.19,30.43
1940,94.15,97.84,56.33,29.60,12.34,9.83,13.08,9.41,11.49,9.94,21.44,43.81
1941,112.74,49.03,103.07,33.19,23.71,31.25,17.27,13.21,12.03,20.15,33.67,40.90
1942,74.81,95.04,40.88,23.42,51.56,33.69,22.89,16.08,14.10,28.74,31.39,80.03
1943,50.47,92.92,51.35,37.47,17.13,18.30,17.19,18.21,21.12,24.04,31.77,41.15
1944,57.51,88.02,48.28,22.33,22.03,10.93,23.10,16.89,7.78,12.85,19.45,58.57
1945,63.77,72.10,57.75,16.38,21.22,42.06,26.69,21.90,11.83,22.81,19.00,58.62
1946,95.96,107.94,35.43,15.01,12.62,18.30,21.57,9.44,12.31,8.76,25.11,45.58
1947,40.55,115.29,88.40,17.66,18.99,19.87,20.86,28.51,29.16,33.46,35.15,54.68
